NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
12;1;1;2:11.195;0;;49.254;0;50.628;0;31.313;0;114.8;2:11.195;08:57;0:49.254;0:50.628;0:31.313;;Nicolas Prost;;
12;1;2;1:37.602;0;;19.943;0;46.431;0;31.228;0;154.3;3:48.797;08:58;0:19.943;0:46.431;0:31.228;272.0;Nicolas Prost;;
12;1;3;1:38.129;0;;20.822;0;47.918;0;29.389;0;153.4;5:26.926;09:00;0:20.822;0:47.918;0:29.389;255.6;Nicolas Prost;;
12;1;4;1:34.751;0;;19.041;0;46.047;0;29.663;0;158.9;7:01.677;09:02;0:19.041;0:46.047;0:29.663;274.7;Nicolas Prost;;
12;1;5;1:33.165;0;;18.934;0;44.915;0;29.316;0;161.6;8:34.842;09:03;0:18.934;0:44.915;0:29.316;276.1;Nicolas Prost;;
12;1;6;1:42.387;0;B;18.908;0;44.952;0;38.527;0;147.0;10:17.229;09:05;0:18.908;0:44.952;0:38.527;270.7;Nicolas Prost;;
12;1;7;2:55.149;0;;1:41.922;0;44.611;0;28.616;0;86.0;13:12.378;09:08;1:41.922;0:44.611;0:28.616;;Nicolas Prost;0:01:25;
12;1;8;1:32.589;0;;18.841;0;44.949;0;28.799;0;162.6;14:44.967;09:09;0:18.841;0:44.949;0:28.799;276.8;Nicolas Prost;;
12;1;9;1:37.456;0;;19.287;0;48.579;0;29.590;0;154.5;16:22.423;09:11;0:19.287;0:48.579;0:29.590;276.8;Nicolas Prost;;
12;1;10;1:31.244;0;;18.470;1;44.352;1;28.422;1;165.0;17:53.667;09:12;0:18.470;0:44.352;0:28.422;276.1;Nicolas Prost;;
12;1;11;1:32.560;0;;18.842;0;44.703;0;29.015;0;162.7;19:26.227;09:14;0:18.842;0:44.703;0:29.015;278.9;Nicolas Prost;;
12;1;12;1:34.562;0;;18.893;0;46.241;0;29.428;0;159.2;21:00.789;09:16;0:18.893;0:46.241;0:29.428;277.5;Nicolas Prost;;
