NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;
10;0;1;3:59.302;0;;2:22.123;0;52.636;0;44.543;0;73.8;3:59.302;08:04;2:22.123;0:52.636;0:44.543;163.1;Simone Gatto;
10;0;2;1:57.910;0;;25.149;0;48.640;0;44.121;0;149.9;5:57.212;08:06;0:25.149;0:48.640;0:44.121;225.9;Simone Gatto;
10;0;3;1:55.068;0;;24.745;0;47.411;0;42.912;0;153.6;7:52.280;08:08;0:24.745;0:47.411;0:42.912;225.9;Simone Gatto;
10;0;4;1:54.516;0;;24.881;0;46.983;0;42.652;0;154.3;9:46.796;08:10;0:24.881;0:46.983;0:42.652;228.3;Simone Gatto;
10;0;5;1:54.230;0;;24.533;0;47.171;0;42.526;0;154.7;11:41.026;08:11;0:24.533;0:47.171;0:42.526;228.8;Simone Gatto;
10;0;6;1:53.739;0;;24.360;0;46.758;0;42.621;0;155.4;13:34.765;08:13;0:24.360;0:46.758;0:42.621;228.3;Simone Gatto;
10;0;7;1:52.535;0;;24.342;0;46.270;0;41.923;0;157.0;15:27.300;08:15;0:24.342;0:46.270;0:41.923;229.3;Simone Gatto;
10;0;8;1:52.714;0;;24.138;0;46.436;0;42.140;0;156.8;17:20.014;08:17;0:24.138;0:46.436;0:42.140;230.3;Simone Gatto;
10;0;9;6:20.647;0;B;24.308;0;46.619;0;5:09.720;0;46.4;23:40.661;08:23;0:24.308;0:46.619;5:09.720;228.3;Simone Gatto;
10;0;10;6:05.704;0;B;49.723;0;54.091;0;4:21.890;0;48.3;29:46.365;08:29;0:49.723;0:54.091;4:21.890;159.3;Simone Gatto;
10;0;11;2:10.723;0;;41.017;0;47.532;0;42.174;0;135.2;31:57.088;08:32;0:41.017;0:47.532;0:42.174;169.5;Simone Gatto;
10;0;12;1:52.463;0;;24.365;0;46.244;0;41.854;0;157.1;33:49.551;08:34;0:24.365;0:46.244;0:41.854;228.3;Simone Gatto;
10;0;13;1:52.063;0;;24.249;0;46.180;0;41.634;0;157.7;35:41.614;08:35;0:24.249;0:46.180;0:41.634;229.8;Simone Gatto;
10;0;14;1:52.213;0;;24.179;0;46.118;0;41.916;0;157.5;37:33.827;08:37;0:24.179;0:46.118;0:41.916;229.8;Simone Gatto;
10;0;15;1:52.712;0;;23.978;0;46.826;0;41.908;0;156.8;39:26.539;08:39;0:23.978;0:46.826;0:41.908;229.3;Simone Gatto;
