NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;
1;1;1;31:50.516;0;;30:33.481;0;41.247;0;35.788;0;9.3;31:50.516;14:31;30:33.481;0:41.247;0:35.788;206.5;Marcel Fassler;
1;1;2;1:33.274;0;;19.846;0;38.737;0;34.691;0;189.5;33:23.790;14:33;0:19.846;0:38.737;0:34.691;289.5;Marcel Fassler;
1;1;3;1:33.433;0;;19.728;0;38.633;0;35.072;0;189.1;34:57.223;14:34;0:19.728;0:38.633;0:35.072;289.5;Marcel Fassler;
1;1;4;1:32.354;2;;19.605;2;38.181;0;34.568;2;191.4;36:29.577;14:36;0:19.605;0:38.181;0:34.568;291.1;Marcel Fassler;
1;1;5;1:34.391;0;;19.653;0;39.374;0;35.364;0;187.2;38:03.968;14:38;0:19.653;0:39.374;0:35.364;290.3;Marcel Fassler;
1;1;6;1:33.675;0;;19.999;0;38.108;3;35.568;0;188.7;39:37.643;14:39;0:19.999;0:38.108;0:35.568;290.3;Marcel Fassler;
1;1;7;1:54.510;0;B;19.618;0;39.403;0;55.489;0;154.3;41:32.153;14:41;0:19.618;0:39.403;0:55.489;290.3;Marcel Fassler;
12;0;1;36:40.223;0;;35:18.312;0;46.026;0;35.885;0;8.0;36:40.223;14:36;35:18.312;0:46.026;0:35.885;192.9;Neel Jani;
12;0;2;1:39.121;0;;20.805;0;41.692;0;36.624;0;178.3;38:19.344;14:38;0:20.805;0:41.692;0:36.624;277.6;Neel Jani;
12;0;3;1:36.955;0;;20.612;0;40.493;0;35.850;0;182.3;39:56.299;14:39;0:20.612;0:40.493;0:35.850;282.7;Neel Jani;
12;0;4;1:35.995;0;;20.378;0;39.898;0;35.719;0;184.1;41:32.294;14:41;0:20.378;0:39.898;0:35.719;282.0;Neel Jani;
12;0;5;1:37.656;0;;20.215;0;40.861;0;36.580;0;181.0;43:09.950;14:43;0:20.215;0:40.861;0:36.580;285.0;Neel Jani;
12;0;6;1:35.823;0;;20.288;0;39.667;0;35.868;0;184.4;44:45.773;14:44;0:20.288;0:39.667;0:35.868;282.7;Neel Jani;
12;0;7;1:35.442;0;;20.044;2;39.710;0;35.688;0;185.2;46:21.215;14:46;0:20.044;0:39.710;0:35.688;284.2;Neel Jani;
12;0;8;1:35.047;2;;20.078;0;39.539;2;35.430;2;185.9;47:56.262;14:47;0:20.078;0:39.539;0:35.430;281.2;Neel Jani;
13;0;1;37:54.013;0;;36:31.923;0;43.059;0;39.031;0;7.8;37:54.013;14:37;36:31.923;0:43.059;0:39.031;182.4;Andrea Belicchi;
13;0;2;1:36.361;0;;20.725;0;39.809;0;35.827;0;183.4;39:30.374;14:39;0:20.725;0:39.809;0:35.827;276.2;Andrea Belicchi;
