NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;
1009;2;1;32:38.012;0;B;30:57.855;0;32.196;2;1:07.961;2;10.6;32:38.012;17:02;
12;0;1;3:44.656;0;;2:09.244;0;30.964;0;1:04.448;0;92.8;3:44.656;16:33;
12;0;2;1:51.425;0;;34.242;0;28.180;0;49.003;0;187.1;5:36.081;16:35;
12;0;3;1:50.551;0;;33.418;0;27.847;0;49.286;0;188.6;7:26.632;16:37;
12;0;4;1:53.688;0;;34.200;0;28.983;0;50.505;0;183.4;9:20.320;16:39;
12;0;5;1:51.600;0;;33.206;0;27.774;1;50.620;0;186.8;11:11.920;16:41;
12;0;6;1:49.088;0;;33.087;1;27.806;0;48.195;1;191.1;13:01.008;16:43;
12;0;7;8:59.837;0;B;32.990;0;27.664;0;7:59.183;0;38.6;22:00.845;16:52;
12;1;8;2:10.782;0;;51.086;0;29.611;0;50.085;0;159.4;24:11.627;16:54;
12;1;9;1:49.207;0;;33.031;0;28.274;0;47.902;0;190.9;26:00.834;16:56;
12;1;10;1:48.601;0;;32.895;0;27.857;0;47.849;0;192.0;27:49.435;16:57;
12;1;11;1:50.602;0;;33.183;0;27.872;0;49.547;0;188.5;29:40.037;16:59;
12;1;12;6:42.999;0;B;33.309;0;28.145;0;5:41.545;0;51.7;36:23.036;17:06;
12;1;13;2:09.188;0;;52.449;0;27.815;0;48.924;0;161.4;38:32.224;17:08;
12;1;14;1:50.854;0;;33.699;0;27.802;0;49.353;0;188.1;40:23.078;17:10;
12;1;15;1:50.844;0;;32.865;0;27.701;0;50.278;0;188.1;42:13.922;17:12;
12;1;16;1:48.681;0;;33.197;0;27.700;0;47.784;0;191.8;44:02.603;17:14;
12;1;17;1:52.927;0;;33.481;0;30.601;0;48.845;0;184.6;45:55.530;17:15;
12;1;18;1:49.002;0;;32.836;0;27.592;0;48.574;0;191.3;47:44.532;17:17;
12;1;19;6:50.017;0;B;32.786;0;27.493;4;5:49.738;0;50.8;54:34.549;17:24;
12;1;20;2:17.486;0;;50.257;0;33.923;0;53.306;0;151.6;56:52.035;17:26;
12;1;21;1:48.476;0;;32.646;2;27.876;0;47.954;0;192.2;58:40.511;17:28;
12;1;22;1:48.173;2;;32.855;0;27.553;1;47.765;2;192.7;1:00:28.684;17:30;
13;1;1;2:58.656;0;;1:34.853;0;28.988;0;54.815;0;116.7;2:58.656;16:32;
13;1;2;1:52.069;0;;33.767;0;29.263;0;49.039;0;186.0;4:50.725;16:34;
13;1;3;1:49.693;0;;33.361;0;27.925;0;48.407;0;190.1;6:40.418;16:36;
13;1;4;1:58.422;0;;34.278;0;28.009;0;56.135;0;176.0;8:38.840;16:38;
13;1;5;1:48.797;0;;32.857;0;28.038;0;47.902;0;191.6;10:27.637;16:40;
13;1;6;6:05.856;0;B;33.327;0;28.506;0;5:04.023;0;57.0;16:33.493;16:46;
13;1;7;2:15.102;0;;53.566;0;30.756;0;50.780;0;154.3;18:48.595;16:48;
13;1;8;1:48.956;0;;33.097;0;27.890;0;47.969;0;191.3;20:37.551;16:50;
13;1;9;1:48.659;0;;32.744;0;27.874;0;48.041;0;191.9;22:26.210;16:52;
13;1;10;1:48.011;2;;32.619;0;27.897;0;47.495;2;193.0;24:14.221;16:54;
13;1;11;1:48.391;0;;32.710;0;28.037;0;47.644;0;192.3;26:02.612;16:56;
13;1;12;1:49.248;0;;32.609;2;27.745;2;48.894;0;190.8;27:51.860;16:57;
13;1;13;5:18.676;0;B;33.156;0;27.801;0;4:17.719;0;65.4;33:10.536;17:03;
13;1;14;2:17.161;0;;55.394;0;29.323;0;52.444;0;152.0;35:27.697;17:05;
13;1;15;1:49.308;0;;33.190;0;28.217;0;47.901;0;190.7;37:17.005;17:07;
13;1;16;1:51.113;0;;33.977;0;28.316;0;48.820;0;187.6;39:08.118;17:09;
13;1;17;14:19.576;0;B;34.295;0;29.440;0;13:15.841;0;24.3;53:27.694;17:23;
13;1;18;2:12.736;0;;53.424;0;28.528;0;50.784;0;157.1;55:40.430;17:25;
13;1;19;1:48.623;0;;33.075;0;27.949;0;47.599;0;191.9;57:29.053;17:27;
13;1;20;1:51.803;0;;33.235;0;28.112;0;50.456;0;186.5;59:20.856;17:29;
13;1;21;1:50.612;0;;32.792;0;28.405;0;49.415;0;188.5;1:01:11.468;17:31;
16;1;1;2:40.287;0;;1:20.103;0;29.215;0;50.969;0;130.1;2:40.287;16:32;
16;1;2;1:52.806;0;;34.422;0;28.667;0;49.717;0;184.8;4:33.093;16:34;
16;1;3;1:50.078;0;;34.221;0;27.850;0;48.007;0;189.4;6:23.171;16:36;
16;1;4;1:49.027;0;;33.368;0;27.802;0;47.857;0;191.2;8:12.198;16:38;
16;1;5;1:48.897;0;;33.232;0;27.881;0;47.784;0;191.4;10:01.095;16:40;
16;1;6;2:00.235;0;B;33.131;0;27.626;2;59.478;0;173.4;12:01.330;16:42;
16;1;7;7:49.461;0;;6:32.799;0;27.827;0;48.835;0;44.4;19:50.791;16:49;
16;1;8;1:49.761;0;;33.481;0;27.895;0;48.385;0;189.9;21:40.552;16:51;
16;1;9;1:48.688;0;;33.200;0;27.710;1;47.778;0;191.8;23:29.240;16:53;
16;1;10;1:53.049;0;;33.352;0;30.129;0;49.568;0;184.4;25:22.289;16:55;
16;1;11;1:50.691;0;;33.019;0;27.898;0;49.774;0;188.3;27:12.980;16:57;
16;1;12;2:00.648;0;B;33.718;0;27.712;0;59.218;0;172.8;29:13.628;16:59;
16;1;13;7:09.246;0;;5:52.360;0;28.007;0;48.879;0;48.6;36:22.874;17:06;
16;1;14;1:48.547;0;;33.043;0;27.847;0;47.657;0;192.1;38:11.421;17:08;
16;1;15;1:48.226;2;;33.011;0;27.815;0;47.400;2;192.6;39:59.647;17:09;
16;1;16;1:48.422;0;;32.964;0;27.788;0;47.670;0;192.3;41:48.069;17:11;
16;1;17;1:48.849;0;;32.904;2;27.763;0;48.182;0;191.5;43:36.918;17:13;
16;1;18;1:59.614;0;B;33.116;0;27.835;0;58.663;0;174.3;45:36.532;17:15;
16;2;19;5:16.275;0;;3:57.991;0;28.474;0;49.810;0;65.9;50:52.807;17:20;
16;2;20;1:49.987;0;;33.693;0;27.890;0;48.404;0;189.5;52:42.794;17:22;
16;2;21;1:49.341;0;;33.447;0;27.820;0;48.074;0;190.7;54:32.135;17:24;
16;2;22;1:49.560;0;;33.173;1;27.708;1;48.679;0;190.3;56:21.695;17:26;
16;2;23;1:50.319;0;;33.878;0;27.774;0;48.667;0;189.0;58:12.014;17:28;
16;2;24;1:49.180;0;;33.291;0;27.825;0;48.064;1;190.9;1:00:01.194;17:30;
20;1;1;2:14.098;0;;52.710;0;30.667;0;50.721;0;155.5;2:14.098;16:32;
20;1;2;1:52.906;0;;33.707;0;28.082;0;51.117;0;184.6;4:07.004;16:34;
20;1;3;1:50.451;0;;33.486;0;27.869;0;49.096;0;188.7;5:57.455;16:35;
20;1;4;1:51.166;0;;33.268;0;28.612;0;49.286;0;187.5;7:48.621;16:37;
20;1;5;1:51.635;0;;34.837;0;28.441;0;48.357;0;186.7;9:40.256;16:39;
20;1;6;1:50.092;0;;33.575;0;27.974;0;48.543;0;189.4;11:30.348;16:41;
20;1;7;9:52.235;0;B;34.924;0;28.785;0;8:48.526;0;35.2;21:22.583;16:51;
20;1;8;2:10.240;0;;52.697;0;27.957;0;49.586;0;160.1;23:32.823;16:53;
20;1;9;6:10.304;0;B;33.629;0;28.058;0;5:08.617;0;56.3;29:43.127;16:59;
20;1;10;2:14.209;0;;51.434;0;31.490;0;51.285;0;155.3;31:57.336;17:01;
20;1;11;1:48.236;0;;32.922;0;27.750;0;47.564;0;192.6;33:45.572;17:03;
20;1;12;1:48.054;0;;32.599;3;27.709;2;47.746;0;192.9;35:33.626;17:05;
20;1;13;1:51.592;0;;33.011;0;27.844;0;50.737;0;186.8;37:25.218;17:07;
20;1;14;1:48.004;4;;32.880;0;27.739;0;47.385;4;193.0;39:13.222;17:09;
20;1;15;4:29.459;0;B;34.502;0;38.116;0;3:16.841;0;77.4;43:42.681;17:13;
20;0;16;2:15.410;0;;53.150;0;31.851;0;50.409;0;154.0;45:58.091;17:15;
20;0;17;1:52.217;0;;34.384;0;28.292;0;49.541;0;185.8;47:50.308;17:17;
20;0;18;3:35.294;0;B;34.622;0;29.865;0;2:30.807;0;96.8;51:25.602;17:21;
20;0;19;2:09.189;0;;51.068;0;28.423;0;49.698;0;161.4;53:34.791;17:23;
20;0;20;2:24.897;0;;1:02.869;0;28.949;0;53.079;0;143.9;55:59.688;17:25;
20;0;21;1:52.678;0;;34.748;0;28.200;0;49.730;0;185.0;57:52.366;17:27;
20;0;22;1:51.754;0;;33.724;1;28.235;0;49.795;0;186.5;59:44.120;17:29;
20;0;23;1:51.155;0;;34.018;0;28.106;1;49.031;1;187.6;1:01:35.275;17:31;
36;0;1;3:55.950;0;;2:31.014;0;31.332;0;53.604;0;88.4;3:55.950;16:33;
36;0;2;1:57.139;0;;36.699;0;30.372;0;50.068;0;178.0;5:53.089;16:35;
36;0;3;1:56.449;0;;34.958;0;30.436;0;51.055;0;179.0;7:49.538;16:37;
36;0;4;1:54.899;0;;34.454;0;30.444;0;50.001;2;181.4;9:44.437;16:39;
36;0;5;1:55.660;0;;34.238;2;30.304;1;51.118;0;180.2;11:40.097;16:41;
36;0;6;5:42.972;0;B;34.308;0;30.400;0;4:38.264;0;60.8;17:23.069;16:47;
36;2;7;2:25.605;0;;1:00.685;0;30.618;0;54.302;0;143.2;19:48.674;16:49;
36;2;8;1:58.013;0;;36.235;0;30.522;0;51.256;0;176.7;21:46.687;16:51;
36;2;9;2:07.224;0;;34.915;0;30.156;0;1:02.153;0;163.9;23:53.911;16:53;
36;2;10;1:56.364;0;;35.271;0;30.243;0;50.850;0;179.2;25:50.275;16:55;
36;2;11;1:55.497;0;;34.559;0;30.365;0;50.573;0;180.5;27:45.772;16:57;
36;2;12;1:56.196;0;;34.554;0;30.099;0;51.543;0;179.4;29:41.968;16:59;
36;2;13;1:54.874;2;;34.389;1;30.324;0;50.161;1;181.5;31:36.842;17:01;
36;2;14;1:54.969;0;;34.527;0;30.214;0;50.228;0;181.3;33:31.811;17:03;
36;2;15;1:56.962;0;;34.983;0;29.956;2;52.023;0;178.2;35:28.773;17:05;
36;2;16;2:10.286;0;B;34.785;0;30.298;0;1:05.203;0;160.0;37:39.059;17:07;
