NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;
1009;0;1;34:41.686;0;;33:03.788;0;36.413;0;1:01.485;0;10.0;34:41.686;14:19;
1009;0;2;1:53.866;0;;34.884;0;29.549;0;49.433;0;183.1;36:35.552;14:21;
1009;0;3;1:52.808;0;;34.220;0;29.337;0;49.251;0;184.8;38:28.360;14:23;
1009;0;4;1:52.869;0;;34.051;1;29.148;0;49.670;0;184.7;40:21.229;14:25;
1009;0;5;1:52.267;2;;34.166;0;28.987;2;49.114;2;185.7;42:13.496;14:27;
1009;0;6;2:04.633;0;;38.295;0;34.557;0;51.781;0;167.3;44:18.129;14:29;
1009;0;7;1:52.704;0;;34.143;0;29.283;0;49.278;0;185.0;46:10.833;14:31;
1009;0;8;2:00.707;0;B;33.747;2;29.128;0;57.832;0;172.7;48:11.540;14:33;
12;0;1;39:11.471;0;B;;0;;0;;0;8.9;39:11.471;14:24;
12;0;2;2:36.464;0;;1:02.684;0;34.224;0;59.556;0;133.2;41:47.935;14:26;
12;0;3;1:47.714;0;;32.876;0;27.873;0;46.965;0;193.5;43:35.649;14:28;
12;0;4;1:47.412;0;;32.700;0;27.843;2;46.869;0;194.1;45:23.061;14:30;
12;0;5;1:51.272;0;;32.853;0;27.956;0;50.463;0;187.4;47:14.333;14:32;
12;0;6;1:46.783;3;;32.378;3;27.871;0;46.534;3;195.2;49:01.116;14:34;
13;1;1;37:15.869;0;;35:57.250;0;28.868;0;49.751;0;9.3;37:15.869;14:22;
13;1;2;1:49.387;0;;33.221;0;28.135;0;48.031;0;190.6;39:05.256;14:24;
13;1;3;1:49.587;0;;33.385;0;28.091;0;48.111;0;190.2;40:54.843;14:25;
13;1;4;1:48.491;2;;32.666;2;27.964;2;47.861;2;192.2;42:43.334;14:27;
16;0;1;42:10.468;0;;40:54.560;0;27.707;0;48.201;0;8.2;42:10.468;14:27;
16;0;2;1:47.374;0;;32.760;0;27.675;0;46.939;0;194.2;43:57.842;14:28;
16;0;3;1:47.074;0;;32.531;0;27.644;0;46.899;2;194.7;45:44.916;14:30;
16;0;4;1:47.025;2;;32.502;2;27.456;3;47.067;0;194.8;47:31.941;14:32;
16;0;5;2:01.036;0;B;32.831;0;27.650;0;1:00.555;0;172.2;49:32.977;14:34;
20;0;1;40:34.480;0;B;;0;;0;;0;8.6;40:34.480;14:25;
20;1;2;2:21.779;0;;1:00.490;0;31.660;0;49.629;0;147.0;42:56.259;14:27;
20;1;3;1:47.787;0;;32.757;0;27.850;0;47.180;0;193.4;44:44.046;14:29;
20;1;4;1:47.837;0;;32.612;0;27.762;2;47.463;0;193.3;46:31.883;14:31;
20;1;5;1:47.513;0;;32.452;2;27.802;0;47.259;0;193.9;48:19.396;14:33;
20;1;6;1:47.231;2;;32.544;0;27.802;0;46.885;2;194.4;50:06.627;14:35;
36;0;1;37:25.077;0;B;;0;;0;;0;9.3;37:25.077;14:22;
36;0;2;2:29.131;0;;1:06.504;0;31.121;2;51.506;2;139.8;39:54.208;14:24;
39;1;1;35:11.192;0;;33:49.589;0;30.644;0;50.959;0;9.9;35:11.192;14:20;
39;1;2;1:52.627;0;;33.990;0;29.945;0;48.692;0;185.1;37:03.819;14:22;
39;1;3;1:52.199;0;;33.664;0;29.882;0;48.653;0;185.8;38:56.018;14:23;
39;1;4;1:51.744;2;;33.484;0;29.873;0;48.387;2;186.6;40:47.762;14:25;
39;1;5;1:54.802;0;;33.390;2;29.719;2;51.693;0;181.6;42:42.564;14:27;
39;1;6;2:02.053;0;B;33.548;0;30.047;0;58.458;0;170.8;44:44.617;14:29;
40;0;1;38:16.388;0;B;;0;;0;;0;9.1;38:16.388;14:23;
40;2;2;2:23.574;0;;1:02.509;0;29.931;0;51.134;0;145.2;40:39.962;14:25;
40;2;3;1:54.332;0;;35.308;0;29.517;0;49.507;0;182.3;42:34.294;14:27;
40;2;4;1:50.961;0;;33.107;0;29.274;0;48.580;0;187.9;44:25.255;14:29;
40;2;5;1:51.391;0;;33.201;0;29.385;0;48.805;0;187.2;46:16.646;14:31;
40;2;6;1:50.758;0;;33.078;0;29.190;0;48.490;0;188.2;48:07.404;14:33;
40;2;7;1:50.356;2;;32.990;2;29.166;2;48.200;2;188.9;49:57.760;14:34;
41;2;1;39:22.018;0;;37:57.908;0;29.596;0;54.514;0;8.8;39:22.018;14:24;
41;2;2;1:50.632;0;;33.349;0;28.946;0;48.337;0;188.4;41:12.650;14:26;
41;2;3;1:57.598;0;;36.473;0;29.489;0;51.636;0;177.3;43:10.248;14:28;
41;2;4;1:50.282;0;;33.372;0;28.762;2;48.148;0;189.0;45:00.530;14:30;
41;2;5;1:50.008;2;;33.217;2;28.789;0;48.002;2;189.5;46:50.538;14:31;
41;2;6;2:01.559;0;B;33.919;0;29.011;0;58.629;0;171.5;48:52.097;14:33;
42;0;1;42:58.874;0;B;;0;;0;;0;8.1;42:58.874;14:27;
42;1;2;2:33.807;0;;1:06.880;0;31.816;0;55.111;0;135.5;45:32.681;14:30;
42;1;3;1:55.052;0;;34.248;0;30.243;0;50.561;0;181.2;47:27.733;14:32;
42;1;4;1:53.582;2;;34.244;2;30.194;2;49.144;2;183.5;49:21.315;14:34;
43;1;1;35:51.000;0;B;34:06.198;0;38.188;0;1:06.614;0;9.7;35:51.000;14:20;
43;1;2;3:34.333;0;;2:08.061;0;31.988;0;54.284;0;97.3;39:25.333;14:24;
43;1;3;1:54.516;0;;34.705;0;30.244;0;49.567;0;182.0;41:19.849;14:26;
43;1;4;1:54.662;0;;35.003;0;30.178;0;49.481;0;181.8;43:14.511;14:28;
43;1;5;1:53.944;0;;34.247;1;30.194;0;49.503;0;183.0;45:08.455;14:30;
43;1;6;1:53.717;0;;34.302;0;30.085;2;49.330;0;183.3;47:02.172;14:32;
43;1;7;1:53.414;2;;34.300;0;30.163;0;48.951;2;183.8;48:55.586;14:33;
43;1;8;2:03.618;0;B;34.103;2;30.266;0;59.249;0;168.6;50:59.204;14:35;
44;0;1;32:34.505;0;;31:10.593;0;30.496;0;53.416;0;10.7;32:34.505;14:17;
44;0;2;1:52.825;0;;34.427;0;29.619;0;48.779;2;184.8;34:27.330;14:19;
44;0;3;2:05.061;0;;44.125;0;30.687;0;50.249;0;166.7;36:32.391;14:21;
44;0;4;1:53.470;0;;34.173;0;29.155;2;50.142;0;183.7;38:25.861;14:23;
44;0;5;1:53.160;0;;34.577;0;29.327;0;49.256;0;184.2;40:19.021;14:25;
44;0;6;1:53.587;0;;33.664;2;29.275;0;50.648;0;183.5;42:12.608;14:27;
44;0;7;1:52.787;0;;34.322;0;29.265;0;49.200;0;184.8;44:05.395;14:29;
44;0;8;1:52.158;2;;33.794;0;29.283;0;49.081;0;185.9;45:57.553;14:30;
44;0;9;1:52.360;0;;34.013;0;29.299;0;49.048;0;185.5;47:49.913;14:32;
44;0;10;2:32.399;0;B;39.505;0;39.925;0;1:12.969;0;136.8;50:22.312;14:35;
45;0;1;30:36.598;0;B;;0;;0;;0;11.4;30:36.598;14:15;
45;0;2;2:30.920;0;;1:10.967;0;30.241;0;49.712;0;138.1;33:07.518;14:18;
45;0;3;1:50.061;0;;33.174;0;29.219;0;47.668;0;189.4;34:57.579;14:19;
45;0;4;1:49.806;0;;32.854;2;29.205;2;47.747;0;189.9;36:47.385;14:21;
45;0;5;1:49.908;0;;33.048;0;29.291;0;47.569;0;189.7;38:37.293;14:23;
45;0;6;1:49.692;2;;32.881;0;29.355;0;47.456;2;190.1;40:26.985;14:25;
46;0;1;32:42.496;0;;31:23.455;0;29.775;0;49.266;0;10.6;32:42.496;14:17;
46;0;2;1:50.314;0;;33.034;0;29.095;0;48.185;0;189.0;34:32.810;14:19;
46;0;3;1:49.744;0;;32.799;0;28.858;2;48.087;0;190.0;36:22.554;14:21;
46;0;4;1:48.928;2;;32.657;2;28.901;0;47.370;2;191.4;38:11.482;14:23;
46;0;5;1:50.926;0;;32.832;0;28.939;0;49.155;0;187.9;40:02.408;14:25;
46;0;6;1:59.768;0;;32.743;0;33.646;0;53.379;0;174.1;42:02.176;14:27;
46;0;7;2:23.985;0;B;41.611;0;36.619;0;1:05.755;0;144.8;44:26.161;14:29;
51;1;1;5:35.800;0;;4:10.015;0;31.905;0;53.880;0;62.1;5:35.800;13:50;
51;1;2;2:00.457;0;;36.387;0;31.046;0;53.024;0;173.1;7:36.257;13:52;
51;1;3;1:59.232;0;;35.865;0;31.038;0;52.329;0;174.8;9:35.489;13:54;
51;1;4;1:58.616;0;;35.516;0;30.845;2;52.255;2;175.8;11:34.105;13:56;
51;1;5;1:58.522;2;;35.407;2;30.853;0;52.262;0;175.9;13:32.627;13:58;
51;1;6;2:13.109;0;B;35.719;0;32.801;0;1:04.589;0;156.6;15:45.736;14:00;
61;1;1;3:26.090;0;;1:59.092;0;32.182;0;54.816;0;101.2;3:26.090;13:48;
61;1;2;2:01.072;0;;36.676;0;31.156;0;53.240;0;172.2;5:27.162;13:50;
61;1;3;2:00.602;0;;36.104;0;31.187;0;53.311;0;172.9;7:27.764;13:52;
61;1;4;2:00.570;0;;35.992;2;31.120;0;53.458;0;172.9;9:28.334;13:54;
61;1;5;2:00.792;0;;36.282;0;31.179;0;53.331;0;172.6;11:29.126;13:56;
61;1;6;2:00.470;2;;36.183;0;31.114;2;53.173;0;173.1;13:29.596;13:58;
61;1;7;2:28.220;0;;41.818;0;43.924;0;1:02.478;0;140.7;15:57.816;14:00;
61;1;8;2:05.262;0;;38.570;0;32.336;0;54.356;0;166.4;18:03.078;14:03;
61;1;9;2:00.694;0;;36.415;0;31.166;0;53.113;2;172.7;20:03.772;14:05;
66;0;1;12:55.795;0;;11:31.578;0;31.159;0;53.058;0;26.9;12:55.795;13:57;
66;0;2;2:00.134;0;;36.028;0;31.002;0;53.104;0;173.5;14:55.929;13:59;
66;0;3;1:59.119;2;;35.613;2;30.973;2;52.533;2;175.0;16:55.048;14:01;
66;0;4;1:59.414;0;;35.750;0;30.976;0;52.688;0;174.6;18:54.462;14:03;
66;0;5;2:37.012;0;B;39.358;0;37.226;0;1:20.428;0;132.8;21:31.474;14:06;
67;0;1;2:28.168;0;B;;0;;0;;0;140.7;2:28.168;13:47;
67;0;2;2:30.878;0;;1:05.966;0;30.976;0;53.936;0;138.2;4:59.046;13:49;
67;0;3;1:59.607;0;;35.844;0;30.758;0;53.005;0;174.3;6:58.653;13:51;
67;0;4;1:59.370;2;;35.697;2;30.674;0;52.999;2;174.6;8:58.023;13:53;
67;0;5;1:59.689;0;;35.807;0;30.703;0;53.179;0;174.2;10:57.712;13:55;
67;0;6;1:59.682;0;;35.769;0;30.618;2;53.295;0;174.2;12:57.394;13:57;
70;0;1;5:25.509;0;B;;0;;0;;0;64.0;5:25.509;13:50;
70;1;2;2:29.542;0;;1:02.201;0;32.210;0;55.131;0;139.4;7:55.051;13:52;
70;1;3;2:01.676;0;;36.836;0;31.173;0;53.667;0;171.3;9:56.727;13:54;
70;1;4;2:00.888;0;;36.331;0;30.967;0;53.590;0;172.5;11:57.615;13:56;
70;1;5;2:00.698;2;;36.319;0;30.894;2;53.485;2;172.7;13:58.313;13:58;
70;1;6;2:00.828;0;;36.217;2;30.979;0;53.632;0;172.5;15:59.141;14:00;
70;1;7;2:08.460;0;;36.786;0;34.677;0;56.997;0;162.3;18:07.601;14:03;
71;1;1;7:43.094;0;;6:16.602;0;32.006;0;54.486;0;45.0;7:43.094;13:52;
71;1;2;2:00.900;0;;36.226;0;31.177;0;53.497;0;172.4;9:43.994;13:54;
71;1;3;1:59.800;0;;35.880;0;31.069;2;52.851;0;174.0;11:43.794;13:56;
71;1;4;1:59.321;0;;35.626;0;31.125;0;52.570;2;174.7;13:43.115;13:58;
71;1;5;1:59.144;2;;35.502;2;31.071;0;52.571;0;175.0;15:42.259;14:00;
71;1;6;1:59.339;0;;35.616;0;31.127;0;52.596;0;174.7;17:41.598;14:02;
71;1;7;2:26.842;0;B;40.655;0;35.959;0;1:10.228;0;142.0;20:08.440;14:05;
72;1;1;7:41.122;0;;6:10.379;0;34.493;0;56.250;0;45.2;7:41.122;13:52;
72;1;2;2:07.423;0;;36.904;0;34.041;0;56.478;0;163.6;9:48.545;13:54;
72;1;3;2:02.034;0;;36.591;0;31.450;0;53.993;0;170.8;11:50.579;13:56;
72;1;4;2:01.691;2;;36.485;0;31.468;0;53.738;2;171.3;13:52.270;13:58;
72;1;5;2:01.829;0;;36.423;2;31.442;2;53.964;0;171.1;15:54.099;14:00;
72;1;6;2:19.736;0;;43.333;0;36.600;0;59.803;0;149.2;18:13.835;14:03;
72;1;7;2:02.270;0;;36.729;0;31.583;0;53.958;0;170.5;20:16.105;14:05;
75;0;1;6:10.074;0;B;;0;;0;;0;56.3;6:10.074;13:51;
75;1;2;2:32.586;0;;1:03.742;0;33.017;0;55.827;0;136.6;8:42.660;13:53;
75;1;3;1:59.527;0;;36.059;0;30.838;0;52.630;2;174.4;10:42.187;13:55;
75;1;4;1:59.567;0;;35.928;0;30.763;0;52.876;0;174.4;12:41.754;13:57;
