NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;0;1;35:13.094;0;;33:52.796;0;49.735;0;30.563;0;10.0;35:13.094;14:10;33:52.796;0:49.735;0:30.563;263.4;Timo Bernhard;;
1;0;2;1:47.936;0;;32.818;0;45.911;0;29.207;0;196.4;37:01.030;14:12;0:32.818;0:45.911;0:29.207;266.7;Timo Bernhard;;
1;0;3;1:46.621;2;;32.722;0;45.013;0;28.886;2;198.9;38:47.651;14:13;0:32.722;0:45.013;0:28.886;266.0;Timo Bernhard;;
1;0;4;1:47.842;0;;32.210;2;44.015;2;31.617;0;196.6;40:35.493;14:15;0:32.210;0:44.015;0:31.617;267.3;Timo Bernhard;;
1;0;5;2:13.381;0;B;38.476;0;59.521;0;35.384;0;159.0;42:48.874;14:17;0:38.476;0:59.521;0:35.384;259.6;Timo Bernhard;;
1007;0;1;32:32.126;0;;30:53.465;0;1:02.236;0;36.425;0;10.9;32:32.126;14:07;30:53.465;1:02.236;0:36.425;245.5;Adrian Fernandez;;
1007;0;2;2:05.631;0;;37.535;0;54.750;0;33.346;0;168.8;34:37.757;14:09;0:37.535;0:54.750;0:33.346;254.1;Adrian Fernandez;;
1007;0;3;1:59.094;0;;36.621;0;50.643;0;31.830;0;178.0;36:36.851;14:11;0:36.621;0:50.643;0:31.830;255.3;Adrian Fernandez;;
1007;0;4;1:52.151;2;;33.752;2;47.678;2;30.721;2;189.1;38:29.002;14:13;0:33.752;0:47.678;0:30.721;254.7;Adrian Fernandez;;
1007;0;5;1:55.074;0;;33.869;0;48.037;0;33.168;0;184.3;40:24.076;14:15;0:33.869;0:48.037;0:33.168;255.3;Adrian Fernandez;;
1007;0;6;2:29.437;0;B;43.727;0;1:05.143;0;40.567;0;141.9;42:53.513;14:17;0:43.727;1:05.143;0:40.567;208.9;Adrian Fernandez;;
