NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;0;1;1:58.911;0;;38.012;0;48.874;0;32.025;0;178.3;1:58.911;12:20;0:38.012;0:48.874;0:32.025;229.3;Marco WITTMANN;;
1;0;2;1:55.539;2;;35.239;2;48.472;0;31.828;2;183.5;3:54.450;12:22;0:35.239;0:48.472;0:31.828;228.8;Marco WITTMANN;;
1;0;3;1:55.698;0;;35.301;0;48.501;0;31.896;0;183.3;5:50.148;12:24;0:35.301;0:48.501;0:31.896;229.3;Marco WITTMANN;;
1;0;4;1:55.709;0;;35.320;0;48.472;0;31.917;0;183.3;7:45.857;12:26;0:35.320;0:48.472;0:31.917;229.3;Marco WITTMANN;;
1;0;5;1:55.582;0;;35.300;0;48.371;2;31.911;0;183.5;9:41.439;12:27;0:35.300;0:48.371;0:31.911;229.8;Marco WITTMANN;;
1;0;6;1:55.792;0;;35.309;0;48.581;0;31.902;0;183.1;11:37.231;12:29;0:35.309;0:48.581;0:31.902;229.3;Marco WITTMANN;;
1;0;7;1:57.293;0;;35.325;0;49.570;0;32.398;0;180.8;13:34.524;12:31;0:35.325;0:49.570;0:32.398;227.4;Marco WITTMANN;;
1;0;8;2:02.311;0;;35.983;0;53.257;0;33.071;0;173.4;15:36.835;12:33;0:35.983;0:53.257;0:33.071;226.9;Marco WITTMANN;;
1;0;9;2:05.225;0;;36.929;0;54.284;0;34.012;0;169.3;17:42.060;12:35;0:36.929;0:54.284;0:34.012;226.4;Marco WITTMANN;;
1;0;10;2:04.560;0;;37.443;0;53.671;0;33.446;0;170.2;19:46.620;12:38;0:37.443;0:53.671;0:33.446;227.8;Marco WITTMANN;;
1;0;11;2:01.130;0;;36.230;0;52.324;0;32.576;0;175.1;21:47.750;12:40;0:36.230;0:52.324;0:32.576;226.4;Marco WITTMANN;;
1;0;12;1:57.359;0;;35.505;0;49.748;0;32.106;0;180.7;23:45.109;12:42;0:35.505;0:49.748;0:32.106;227.8;Marco WITTMANN;;
1;0;13;1:56.356;0;;35.312;0;48.982;0;32.062;0;182.2;25:41.465;12:43;0:35.312;0:48.982;0:32.062;228.3;Marco WITTMANN;;
1;0;14;1:56.321;0;;35.426;0;48.820;0;32.075;0;182.3;27:37.786;12:45;0:35.426;0:48.820;0:32.075;229.3;Marco WITTMANN;;
1;0;15;1:56.492;0;;35.399;0;48.895;0;32.198;0;182.0;29:34.278;12:47;0:35.399;0:48.895;0:32.198;229.8;Marco WITTMANN;;
1;0;16;1:57.200;0;;35.531;0;49.132;0;32.537;0;180.9;31:31.478;12:49;0:35.531;0:49.132;0:32.537;229.3;Marco WITTMANN;;
1;0;17;1:57.064;0;;35.569;0;49.054;0;32.441;0;181.1;33:28.542;12:51;0:35.569;0:49.054;0:32.441;228.3;Marco WITTMANN;;
1;0;18;1:57.257;0;;35.486;0;49.469;0;32.302;0;180.8;35:25.799;12:53;0:35.486;0:49.469;0:32.302;228.8;Marco WITTMANN;;
1;0;19;1:58.097;0;;35.762;0;49.575;0;32.760;0;179.5;37:23.896;12:55;0:35.762;0:49.575;0:32.760;227.4;Marco WITTMANN;;
10;0;1;2:00.178;0;;39.028;0;49.082;0;32.068;0;176.4;2:00.178;12:20;0:39.028;0:49.082;0:32.068;232.3;Daniel ABT;;
10;0;2;1:56.430;0;;35.975;0;48.615;0;31.840;2;182.1;3:56.608;12:22;0:35.975;0:48.615;0:31.840;230.8;Daniel ABT;;
10;0;3;1:56.134;0;;35.325;0;48.714;0;32.095;0;182.6;5:52.742;12:24;0:35.325;0:48.714;0:32.095;228.8;Daniel ABT;;
10;0;4;1:55.925;0;;35.291;2;48.699;0;31.935;0;182.9;7:48.667;12:26;0:35.291;0:48.699;0:31.935;230.3;Daniel ABT;;
10;0;5;1:55.917;2;;35.412;0;48.561;2;31.944;0;182.9;9:44.584;12:28;0:35.412;0:48.561;0:31.944;230.3;Daniel ABT;;
10;0;6;1:56.288;0;;35.361;0;48.794;0;32.133;0;182.3;11:40.872;12:29;0:35.361;0:48.794;0:32.133;229.8;Daniel ABT;;
10;0;7;1:57.300;0;;35.523;0;49.346;0;32.431;0;180.8;13:38.172;12:31;0:35.523;0:49.346;0:32.431;227.4;Daniel ABT;;
10;0;8;2:02.939;0;;36.040;0;53.793;0;33.106;0;172.5;15:41.111;12:33;0:36.040;0:53.793;0:33.106;225.9;Daniel ABT;;
10;0;9;2:08.398;0;;37.445;0;55.750;0;35.203;0;165.1;17:49.509;12:36;0:37.445;0:55.750;0:35.203;225.5;Daniel ABT;;
10;0;10;2:05.700;0;;37.717;0;54.132;0;33.851;0;168.7;19:55.209;12:38;0:37.717;0:54.132;0:33.851;227.8;Daniel ABT;;
10;0;11;2:00.425;0;;36.562;0;51.575;0;32.288;0;176.1;21:55.634;12:40;0:36.562;0:51.575;0:32.288;230.3;Daniel ABT;;
10;0;12;1:57.356;0;;35.520;0;49.709;0;32.127;0;180.7;23:52.990;12:42;0:35.520;0:49.709;0:32.127;229.3;Daniel ABT;;
10;0;13;1:56.519;0;;35.506;0;48.962;0;32.051;0;182.0;25:49.509;12:44;0:35.506;0:48.962;0:32.051;228.3;Daniel ABT;;
10;0;14;1:56.568;0;;35.488;0;48.898;0;32.182;0;181.9;27:46.077;12:46;0:35.488;0:48.898;0:32.182;229.3;Daniel ABT;;
10;0;15;1:57.045;0;;35.427;0;49.242;0;32.376;0;181.2;29:43.122;12:48;0:35.427;0:49.242;0:32.376;227.8;Daniel ABT;;
10;0;16;1:57.267;0;;35.704;0;49.245;0;32.318;0;180.8;31:40.389;12:49;0:35.704;0:49.245;0:32.318;229.3;Daniel ABT;;
