NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;
1;0;1;2:34.728;0;;53.054;0;1:05.629;0;36.045;0;163.0;2:34.728;16:57;0:53.054;1:05.629;0:36.045;220.4;Timo Bernhard;
1;0;2;2:12.320;0;;37.862;0;1:00.224;0;34.234;0;190.6;4:47.048;16:59;0:37.862;1:00.224;0:34.234;252.3;Timo Bernhard;
1;0;3;2:09.345;0;;36.680;0;59.699;0;32.966;0;194.9;6:56.393;17:01;0:36.680;0:59.699;0:32.966;293.5;Timo Bernhard;
1;0;4;2:10.263;0;;36.199;0;1:00.512;0;33.552;0;193.6;9:06.656;17:04;0:36.199;1:00.512;0:33.552;295.9;Timo Bernhard;
1;0;5;2:18.887;0;B;36.167;0;1:00.720;0;42.000;0;181.5;11:25.543;17:06;0:36.167;1:00.720;0:42.000;298.3;Timo Bernhard;
1;0;6;3:34.085;0;;2:02.679;0;59.044;0;32.362;0;117.8;14:59.628;17:09;2:02.679;0:59.044;0:32.362;240.5;Timo Bernhard;
1;0;7;2:04.943;0;;35.631;0;57.318;0;31.994;2;201.8;17:04.571;17:12;0:35.631;0:57.318;0:31.994;298.3;Timo Bernhard;
1;0;8;2:04.405;2;;35.491;2;56.539;2;32.375;0;202.7;19:08.976;17:14;0:35.491;0:56.539;0:32.375;301.7;Timo Bernhard;
1;0;9;2:14.442;0;B;35.615;0;57.221;0;41.606;0;187.5;21:23.418;17:16;0:35.615;0:57.221;0:41.606;300.0;Timo Bernhard;
1;0;10;6:17.410;0;;4:45.429;0;58.316;0;33.665;0;66.8;27:40.828;17:22;4:45.429;0:58.316;0:33.665;282.0;Timo Bernhard;
1;0;11;3:05.148;0;B;54.238;0;1:14.137;0;56.773;0;136.2;30:45.976;17:25;0:54.238;1:14.137;0:56.773;161.2;Timo Bernhard;
1;0;12;9:18.648;0;;7:40.793;0;1:03.309;0;34.546;0;45.1;40:04.624;17:35;7:40.793;1:03.309;0:34.546;250.0;Timo Bernhard;
1;0;13;2:24.659;0;B;38.928;0;59.890;0;45.841;0;174.3;42:29.283;17:37;0:38.928;0:59.890;0:45.841;288.0;Timo Bernhard;
10;1;1;2:28.573;0;;48.687;0;1:05.581;0;34.305;0;169.7;2:28.573;16:57;0:48.687;1:05.581;0:34.305;204.2;Loic Duval;
