NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;2;1;1:34.709;0;;27.285;0;33.552;0;33.872;0;152.2;1:34.709;09:11;0:27.285;0:33.552;0:33.872;228.3;Alex Brundle;0:00:08;
1;2;2;1:23.644;0;;18.514;0;32.276;0;32.854;0;172.3;2:58.353;09:12;0:18.514;0:32.276;0:32.854;231.3;Alex Brundle;;
1;2;3;1:23.101;0;;18.214;0;31.922;0;32.965;0;173.4;4:21.454;09:14;0:18.214;0:31.922;0:32.965;231.3;Alex Brundle;;
1;2;4;1:22.805;0;;18.239;0;31.803;0;32.763;0;174.0;5:44.259;09:15;0:18.239;0:31.803;0:32.763;232.3;Alex Brundle;;
1;2;5;1:24.250;0;;18.361;0;32.798;0;33.091;0;171.0;7:08.509;09:17;0:18.361;0:32.798;0:33.091;233.3;Alex Brundle;;
1;2;6;1:34.273;0;;18.212;0;33.019;0;43.042;0;152.9;8:42.782;09:18;0:18.212;0:33.019;0:43.042;229.3;Alex Brundle;;
1;2;7;1:21.332;3;;17.993;2;31.300;3;32.039;3;177.2;10:04.114;09:20;0:17.993;0:31.300;0:32.039;232.8;Alex Brundle;;
1;2;8;1:26.451;0;B;18.314;0;32.112;0;36.025;0;166.7;11:30.565;09:21;0:18.314;0:32.112;0:36.025;231.8;Alex Brundle;;
1;0;9;3:31.339;0;;2:14.931;0;38.138;0;38.270;0;68.2;15:01.904;09:25;2:14.931;0:38.138;0:38.270;209.3;Lucas Ordoñez;0:01:58;
1;0;10;1:25.468;0;;18.897;0;33.038;0;33.533;0;168.6;16:27.372;09:26;0:18.897;0:33.038;0:33.533;231.3;Lucas Ordoñez;;
1;0;11;1:23.092;0;;18.525;0;31.951;0;32.616;0;173.4;17:50.464;09:27;0:18.525;0:31.951;0:32.616;233.3;Lucas Ordoñez;;
1;0;12;1:22.545;0;;18.268;0;31.701;1;32.576;1;174.6;19:13.009;09:29;0:18.268;0:31.701;0:32.576;231.8;Lucas Ordoñez;;
10;2;1;3:39.889;0;;2:27.950;0;36.341;0;35.598;0;65.5;3:39.889;09:13;2:27.950;0:36.341;0:35.598;225.0;Pierre Kaffer;0:02:08;
10;2;2;1:25.674;0;;18.912;0;33.248;0;33.514;0;168.2;5:05.563;09:15;0:18.912;0:33.248;0:33.514;227.8;Pierre Kaffer;;
10;2;3;1:24.004;0;;18.618;0;32.439;0;32.947;0;171.5;6:29.567;09:16;0:18.618;0:32.439;0:32.947;229.8;Pierre Kaffer;;
10;2;4;1:25.836;0;;18.886;0;34.227;0;32.723;0;167.9;7:55.403;09:17;0:18.886;0:34.227;0:32.723;227.4;Pierre Kaffer;;
10;2;5;1:27.678;0;B;18.463;0;32.693;0;36.522;0;164.4;9:23.081;09:19;0:18.463;0:32.693;0:36.522;226.9;Pierre Kaffer;;
10;2;6;3:38.735;0;;2:32.817;0;32.701;0;33.217;0;65.9;13:01.816;09:23;2:32.817;0:32.701;0:33.217;225.9;Pierre Kaffer;0:02:19;
10;2;7;1:23.201;0;;18.234;0;32.137;0;32.830;0;173.2;14:25.017;09:24;0:18.234;0:32.137;0:32.830;228.8;Pierre Kaffer;;
10;2;8;1:22.619;2;;18.181;0;31.908;2;32.530;0;174.4;15:47.636;09:25;0:18.181;0:31.908;0:32.530;227.8;Pierre Kaffer;;
10;2;9;1:24.621;0;;18.132;0;33.993;0;32.496;0;170.3;17:12.257;09:27;0:18.132;0:33.993;0:32.496;227.8;Pierre Kaffer;;
10;2;10;1:23.189;0;;18.279;0;32.418;0;32.492;0;173.2;18:35.446;09:28;0:18.279;0:32.418;0:32.492;229.8;Pierre Kaffer;;
10;2;11;1:22.640;0;;18.149;0;32.083;0;32.408;2;174.4;19:58.086;09:29;0:18.149;0:32.083;0:32.408;228.3;Pierre Kaffer;;
10;2;12;1:25.562;0;;18.054;2;32.841;0;34.667;0;168.4;21:23.648;09:31;0:18.054;0:32.841;0:34.667;229.8;Pierre Kaffer;;
17;1;1;2:50.369;0;;1:26.977;0;44.024;0;39.368;0;84.6;2:50.369;09:12;1:26.977;0:44.024;0:39.368;178.2;Julien Jousse;0:01:08;
17;1;2;1:27.718;0;;19.376;0;33.326;0;35.016;0;164.3;4:18.087;09:14;0:19.376;0:33.326;0:35.016;227.8;Julien Jousse;;
17;1;3;1:25.792;0;;18.764;0;33.184;0;33.844;0;168.0;5:43.879;09:15;0:18.764;0:33.184;0:33.844;229.8;Julien Jousse;;
17;1;4;1:24.012;0;;18.428;0;32.280;0;33.304;0;171.5;7:07.891;09:17;0:18.428;0:32.280;0:33.304;228.8;Julien Jousse;;
17;1;5;1:23.957;0;;18.243;0;32.972;0;32.742;0;171.6;8:31.848;09:18;0:18.243;0:32.972;0:32.742;228.8;Julien Jousse;;
17;1;6;1:23.838;0;;18.537;0;32.506;0;32.795;0;171.9;9:55.686;09:19;0:18.537;0:32.506;0:32.795;228.8;Julien Jousse;;
17;1;7;1:24.235;0;;18.309;0;32.137;2;33.789;0;171.1;11:19.921;09:21;0:18.309;0:32.137;0:33.789;229.8;Julien Jousse;;
17;1;8;1:27.756;0;B;18.670;0;32.263;0;36.823;0;164.2;12:47.677;09:22;0:18.670;0:32.263;0:36.823;230.3;Julien Jousse;;
17;1;9;3:58.501;0;B;2:38.118;0;40.803;0;39.580;0;60.4;16:46.178;09:26;2:38.118;0:40.803;0:39.580;184.3;Julien Jousse;0:02:24;
17;1;10;1:45.750;0;;37.930;0;34.627;0;33.193;0;136.3;18:31.928;09:28;0:37.930;0:34.627;0:33.193;228.3;Julien Jousse;0:00:24;
17;1;11;1:23.295;2;;18.276;0;32.420;0;32.599;2;173.0;19:55.223;09:29;0:18.276;0:32.420;0:32.599;230.3;Julien Jousse;;
17;1;12;1:25.327;0;;18.193;2;34.450;0;32.684;0;168.9;21:20.550;09:31;0:18.193;0:34.450;0:32.684;231.3;Julien Jousse;;
18;2;1;1:51.602;0;;39.351;0;35.793;0;36.458;0;129.1;1:51.602;09:11;0:39.351;0:35.793;0:36.458;226.9;Brendon Hartley;0:00:19;
18;2;2;1:30.249;0;;19.511;0;36.387;0;34.351;0;159.7;3:21.851;09:13;0:19.511;0:36.387;0:34.351;216.4;Brendon Hartley;;
18;2;3;1:24.711;0;;18.500;0;33.295;0;32.916;0;170.1;4:46.562;09:14;0:18.500;0:33.295;0:32.916;228.8;Brendon Hartley;;
18;2;4;1:22.737;0;;18.131;0;32.239;0;32.367;0;174.2;6:09.299;09:16;0:18.131;0:32.239;0:32.367;233.3;Brendon Hartley;;
18;2;5;1:22.167;0;;18.206;0;31.659;0;32.302;2;175.4;7:31.466;09:17;0:18.206;0:31.659;0:32.302;232.8;Brendon Hartley;;
18;2;6;1:21.942;2;;18.065;0;31.520;0;32.357;0;175.9;8:53.408;09:18;0:18.065;0:31.520;0:32.357;233.3;Brendon Hartley;;
18;2;7;1:25.617;0;B;17.981;1;31.307;2;36.329;0;168.3;10:19.025;09:20;0:17.981;0:31.307;0:36.329;233.8;Brendon Hartley;;
18;1;8;2:41.133;0;;1:33.796;0;33.625;0;33.712;0;89.4;13:00.158;09:23;1:33.796;0:33.625;0:33.712;231.8;Warren Hughes;0:01:20;
18;1;9;1:23.130;0;;18.196;0;32.026;0;32.908;0;173.4;14:23.288;09:24;0:18.196;0:32.026;0:32.908;233.8;Warren Hughes;;
18;1;10;1:22.425;0;;18.222;0;31.750;0;32.453;1;174.8;15:45.713;09:25;0:18.222;0:31.750;0:32.453;232.8;Warren Hughes;;
18;1;11;1:25.808;0;;18.816;0;33.750;0;33.242;0;167.9;17:11.521;09:27;0:18.816;0:33.750;0:33.242;232.3;Warren Hughes;;
18;1;12;1:23.243;0;;18.654;0;31.990;0;32.599;0;173.1;18:34.764;09:28;0:18.654;0:31.990;0:32.599;232.3;Warren Hughes;;
18;1;13;1:22.008;0;;17.877;0;31.568;1;32.563;0;175.7;19:56.772;09:29;0:17.877;0:31.568;0:32.563;232.8;Warren Hughes;;
18;1;14;1:27.724;0;;17.839;3;33.643;0;36.242;0;164.3;21:24.496;09:31;0:17.839;0:33.643;0:36.242;235.8;Warren Hughes;;
19;0;1;1:43.516;0;;32.304;0;36.983;0;34.229;0;139.2;1:43.516;09:11;0:32.304;0:36.983;0:34.229;220.4;Nicolas Marroc;0:00:12;
19;0;2;1:25.033;0;;18.819;0;32.962;0;33.252;0;169.5;3:08.549;09:13;0:18.819;0:32.962;0:33.252;228.3;Nicolas Marroc;;
19;0;3;1:24.010;0;;18.674;0;32.605;0;32.731;0;171.5;4:32.559;09:14;0:18.674;0:32.605;0:32.731;229.8;Nicolas Marroc;;
