NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;2;1;3:17.519;0;B;1:45.339;0;43.085;0;49.095;0;73.0;3:17.519;11:23;1:45.339;0:43.085;0:49.095;221.3;Alex Brundle;0:01:23;
1;2;2;3:01.469;0;;1:38.240;0;40.304;2;42.925;0;79.4;6:18.988;11:26;1:38.240;0:40.304;0:42.925;212.6;Alex Brundle;0:01:21;
1;2;3;1:40.900;2;;21.242;3;40.422;0;39.236;0;142.8;7:59.888;11:27;0:21.242;0:40.422;0:39.236;220.9;Alex Brundle;;
1;2;4;1:41.552;0;;21.280;0;41.511;0;38.761;2;141.9;9:41.440;11:29;0:21.280;0:41.511;0:38.761;219.5;Alex Brundle;;
1;2;5;2:01.193;0;B;24.478;0;47.384;0;49.331;0;118.9;11:42.633;11:31;0:24.478;0:47.384;0:49.331;205.3;Alex Brundle;;
1;2;6;12:46.100;0;;11:23.978;0;41.627;0;40.495;0;18.8;24:28.733;11:44;11:23.978;0:41.627;0:40.495;206.9;Alex Brundle;0:11:07;
1;2;7;1:56.982;0;;21.344;0;40.933;0;54.705;0;123.2;26:25.715;11:46;0:21.344;0:40.933;0:54.705;222.7;Alex Brundle;;
1;2;8;1:42.372;0;;22.023;0;40.439;0;39.910;0;140.8;28:08.087;11:48;0:22.023;0:40.439;0:39.910;220.4;Alex Brundle;;
1;2;9;1:49.636;0;B;21.457;0;41.894;0;46.285;0;131.4;29:57.723;11:49;0:21.457;0:41.894;0:46.285;223.1;Alex Brundle;;
1;0;10;11:09.180;0;B;9:11.479;0;48.832;0;1:08.869;0;21.5;41:06.903;12:01;9:11.479;0:48.832;1:08.869;208.5;Lucas Ordoñez;0:08:49;
1;0;11;7:35.316;0;;5:56.377;0;48.703;0;50.236;0;31.7;48:42.219;12:08;5:56.377;0:48.703;0:50.236;198.5;Lucas Ordoñez;0:05:36;
1;0;12;2:00.998;0;;25.186;0;45.909;0;49.903;0;119.1;50:43.217;12:10;0:25.186;0:45.909;0:49.903;191.2;Lucas Ordoñez;;
1;0;13;1:50.702;0;;24.141;0;44.594;1;41.967;1;130.2;52:33.919;12:12;0:24.141;0:44.594;0:41.967;216.9;Lucas Ordoñez;;
10;1;1;5:47.151;0;B;4:13.294;0;45.960;0;47.897;0;41.5;5:47.151;11:25;4:13.294;0:45.960;0:47.897;191.2;Soheil Ayari;0:03:48;
10;1;2;5:49.270;0;B;4:13.064;0;45.226;0;50.980;0;41.3;11:36.421;11:31;4:13.064;0:45.226;0:50.980;203.0;Soheil Ayari;0:03:55;
10;1;3;8:12.220;0;;6:43.606;0;46.023;0;42.591;0;29.3;19:48.641;11:39;6:43.606;0:46.023;0:42.591;203.8;Soheil Ayari;0:06:26;
10;1;4;1:46.787;0;;24.168;0;42.423;0;40.196;0;134.9;21:35.428;11:41;0:24.168;0:42.423;0:40.196;210.9;Soheil Ayari;;
10;1;5;1:43.272;0;;22.689;0;41.083;2;39.500;0;139.5;23:18.700;11:43;0:22.689;0:41.083;0:39.500;217.3;Soheil Ayari;;
10;1;6;1:46.303;0;;22.566;0;44.840;0;38.897;0;135.6;25:05.003;11:45;0:22.566;0:44.840;0:38.897;219.1;Soheil Ayari;;
10;1;7;1:41.346;2;;22.190;0;41.258;0;37.898;3;142.2;26:46.349;11:46;0:22.190;0:41.258;0:37.898;221.3;Soheil Ayari;;
10;1;8;2:13.368;0;;21.808;2;1:10.005;0;41.555;0;108.1;28:59.717;11:48;0:21.808;1:10.005;0:41.555;211.8;Soheil Ayari;;
10;1;9;1:57.855;0;B;23.009;0;45.230;0;49.616;0;122.3;30:57.572;11:50;0:23.009;0:45.230;0:49.616;212.2;Soheil Ayari;;
10;0;10;8:34.246;0;;6:41.360;0;1:06.289;0;46.597;0;28.0;39:31.818;11:59;6:41.360;1:06.289;0:46.597;162.9;Luis Perez Companc;0:06:19;
10;0;11;1:52.459;0;;23.301;0;45.112;0;44.046;0;128.1;41:24.277;12:01;0:23.301;0:45.112;0:44.046;216.4;Luis Perez Companc;;
10;0;12;1:49.920;0;;23.628;0;44.047;1;42.245;0;131.1;43:14.197;12:03;0:23.628;0:44.047;0:42.245;209.7;Luis Perez Companc;;
10;0;13;2:19.318;0;;23.090;0;1:13.130;0;43.098;0;103.4;45:33.515;12:05;0:23.090;1:13.130;0:43.098;192.2;Luis Perez Companc;;
10;0;14;2:06.938;0;;24.024;0;47.253;0;55.661;0;113.5;47:40.453;12:07;0:24.024;0:47.253;0:55.661;155.4;Luis Perez Companc;;
10;0;15;1:53.467;0;;23.614;0;46.197;0;43.656;0;127.0;49:33.920;12:09;0:23.614;0:46.197;0:43.656;211.4;Luis Perez Companc;;
10;0;16;1:51.856;0;;23.483;0;45.757;0;42.616;0;128.8;51:25.776;12:11;0:23.483;0:45.757;0:42.616;209.7;Luis Perez Companc;;
10;0;17;1:49.992;0;;23.048;1;44.946;0;41.998;1;131.0;53:15.768;12:13;0:23.048;0:44.946;0:41.998;211.4;Luis Perez Companc;;
10;0;18;1:53.927;0;;23.705;0;47.859;0;42.363;0;126.5;55:09.695;12:15;0:23.705;0:47.859;0:42.363;208.9;Luis Perez Companc;;
