NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
16;1;1;1:42.838;0;;25.068;0;40.602;0;37.168;0;140.1;1:42.838;17:10;0:25.068;0:40.602;0:37.168;203.8;Jose Ibanez;;
16;1;2;1:38.056;0;;20.778;0;39.440;0;37.838;0;147.0;3:20.894;17:12;0:20.778;0:39.440;0:37.838;204.5;Jose Ibanez;;
16;1;3;1:35.876;0;;21.327;0;37.590;0;36.959;0;150.3;4:56.770;17:14;0:21.327;0:37.590;0:36.959;206.5;Jose Ibanez;;
16;1;4;1:33.980;0;;20.481;0;36.996;0;36.503;0;153.3;6:30.750;17:15;0:20.481;0:36.996;0:36.503;205.3;Jose Ibanez;;
16;1;5;1:33.618;0;;20.439;0;36.724;0;36.455;0;153.9;8:04.368;17:17;0:20.439;0:36.724;0:36.455;206.9;Jose Ibanez;;
16;1;6;1:33.601;0;;20.380;0;36.690;0;36.531;0;154.0;9:37.969;17:18;0:20.380;0:36.690;0:36.531;206.5;Jose Ibanez;;
16;1;7;1:34.697;0;;20.415;0;36.981;0;37.301;0;152.2;11:12.666;17:20;0:20.415;0:36.981;0:37.301;206.9;Jose Ibanez;;
16;1;8;1:35.175;0;;20.805;0;36.686;0;37.684;0;151.4;12:47.841;17:21;0:20.805;0:36.686;0:37.684;205.7;Jose Ibanez;;
16;1;9;1:59.523;0;;22.649;0;46.157;0;50.717;0;120.6;14:47.364;17:23;0:22.649;0:46.157;0:50.717;99.4;Jose Ibanez;;
16;1;10;2:07.758;0;;29.973;0;52.526;0;45.259;0;112.8;16:55.122;17:26;0:29.973;0:52.526;0:45.259;129.8;Jose Ibanez;;
16;1;11;1:59.362;0;;27.904;0;45.649;0;45.809;0;120.7;18:54.484;17:28;0:27.904;0:45.649;0:45.809;153.2;Jose Ibanez;;
16;1;12;1:34.228;0;;20.600;0;36.473;0;37.155;0;152.9;20:28.712;17:29;0:20.600;0:36.473;0:37.155;206.5;Jose Ibanez;;
16;1;13;1:33.740;0;;20.380;0;36.349;0;37.011;0;153.7;22:02.452;17:31;0:20.380;0:36.349;0:37.011;206.5;Jose Ibanez;;
16;1;14;1:34.399;0;;20.943;0;37.052;0;36.404;0;152.7;23:36.851;17:32;0:20.943;0:37.052;0:36.404;206.5;Jose Ibanez;;
16;1;15;1:33.784;0;;20.371;0;36.816;0;36.597;0;153.7;25:10.635;17:34;0:20.371;0:36.816;0:36.597;207.3;Jose Ibanez;;
16;1;16;1:33.543;0;;20.479;0;36.679;0;36.385;0;154.1;26:44.178;17:35;0:20.479;0:36.679;0:36.385;206.5;Jose Ibanez;;
16;1;17;1:34.539;0;;20.526;0;37.396;0;36.617;0;152.4;28:18.717;17:37;0:20.526;0:37.396;0:36.617;206.5;Jose Ibanez;;
16;1;18;1:40.271;0;B;20.595;0;36.970;0;42.706;0;143.7;29:58.988;17:39;0:20.595;0:36.970;0:42.706;206.9;Jose Ibanez;;
16;1;19;50:57.895;0;;49:42.603;0;38.134;0;37.158;0;4.7;1:20:56.883;18:30;49:42.603;0:38.134;0:37.158;203.0;Jose Ibanez;0:49:25;
16;1;20;1:34.432;0;;20.575;0;37.282;0;36.575;0;152.6;1:22:31.315;18:31;0:20.575;0:37.282;0:36.575;206.1;Jose Ibanez;;
16;1;21;1:34.811;0;;20.470;0;36.559;0;37.782;0;152.0;1:24:06.126;18:33;0:20.470;0:36.559;0:37.782;206.5;Jose Ibanez;;
16;1;22;1:33.371;2;;20.469;0;36.445;0;36.457;0;154.3;1:25:39.497;18:34;0:20.469;0:36.445;0:36.457;207.3;Jose Ibanez;;
16;1;23;1:34.140;0;;20.569;0;36.560;0;37.011;0;153.1;1:27:13.637;18:36;0:20.569;0:36.560;0:37.011;207.3;Jose Ibanez;;
16;1;24;1:34.166;0;;20.290;0;37.520;0;36.356;2;153.0;1:28:47.803;18:37;0:20.290;0:37.520;0:36.356;205.7;Jose Ibanez;;
16;1;25;1:33.520;0;;20.186;2;36.043;2;37.291;0;154.1;1:30:21.323;18:39;0:20.186;0:36.043;0:37.291;208.5;Jose Ibanez;;
16;1;26;1:35.234;0;;21.269;0;37.278;0;36.687;0;151.3;1:31:56.557;18:41;0:21.269;0:37.278;0:36.687;205.3;Jose Ibanez;;
18;0;1;1:51.453;0;;26.927;0;44.553;0;39.973;0;129.3;1:51.453;17:10;0:26.927;0:44.553;0:39.973;191.8;Philippe Macé;;
18;0;2;1:43.418;0;;22.142;0;42.295;0;38.981;0;139.3;3:34.871;17:12;0:22.142;0:42.295;0:38.981;191.8;Philippe Macé;;
18;0;3;1:43.801;0;;22.903;0;41.310;0;39.588;0;138.8;5:18.672;17:14;0:22.903;0:41.310;0:39.588;192.5;Philippe Macé;;
18;0;4;1:40.667;0;;22.071;0;40.039;0;38.557;0;143.2;6:59.339;17:16;0:22.071;0:40.039;0:38.557;194.6;Philippe Macé;;
18;0;5;1:39.908;0;;21.580;0;39.515;0;38.813;0;144.2;8:39.247;17:17;0:21.580;0:39.515;0:38.813;193.2;Philippe Macé;;
18;0;6;1:39.474;0;;21.740;0;39.408;0;38.326;0;144.9;10:18.721;17:19;0:21.740;0:39.408;0:38.326;192.9;Philippe Macé;;
18;0;7;1:40.384;0;;21.544;0;39.916;0;38.924;0;143.6;11:59.105;17:21;0:21.544;0:39.916;0:38.924;192.9;Philippe Macé;;
18;0;8;1:46.115;0;;22.728;0;42.231;0;41.156;0;135.8;13:45.220;17:22;0:22.728;0:42.231;0:41.156;190.1;Philippe Macé;;
18;0;9;1:48.805;0;;22.841;0;42.165;0;43.799;0;132.4;15:34.025;17:24;0:22.841;0:42.165;0:43.799;192.2;Philippe Macé;;
18;0;10;1:42.436;0;;22.498;0;40.638;0;39.300;0;140.7;17:16.461;17:26;0:22.498;0:40.638;0:39.300;190.1;Philippe Macé;;
18;0;11;1:42.861;0;;21.730;0;39.624;0;41.507;0;140.1;18:59.322;17:28;0:21.730;0:39.624;0:41.507;193.2;Philippe Macé;;
18;0;12;1:38.852;0;;21.438;0;39.026;0;38.388;0;145.8;20:38.174;17:29;0:21.438;0:39.026;0:38.388;191.5;Philippe Macé;;
18;0;13;1:41.540;0;;21.474;0;38.874;0;41.192;0;141.9;22:19.714;17:31;0:21.474;0:38.874;0:41.192;193.9;Philippe Macé;;
18;0;14;1:39.109;0;;21.637;0;38.912;0;38.560;0;145.4;23:58.823;17:33;0:21.637;0:38.912;0:38.560;190.8;Philippe Macé;;
18;0;15;1:38.577;2;;21.378;2;38.981;0;38.218;0;146.2;25:37.400;17:34;0:21.378;0:38.981;0:38.218;188.8;Philippe Macé;;
18;0;16;1:39.251;0;;21.643;0;38.869;2;38.739;0;145.2;27:16.651;17:36;0:21.643;0:38.869;0:38.739;190.8;Philippe Macé;;
18;0;17;1:39.908;0;;21.881;0;39.645;0;38.382;0;144.2;28:56.559;17:38;0:21.881;0:39.645;0:38.382;187.2;Philippe Macé;;
18;0;18;1:38.802;0;;21.732;0;38.940;0;38.130;2;145.9;30:35.361;17:39;0:21.732;0:38.940;0:38.130;184.6;Philippe Macé;;
18;0;19;1:39.659;0;;21.712;0;39.121;0;38.826;0;144.6;32:15.020;17:41;0:21.712;0:39.121;0:38.826;189.1;Philippe Macé;;
18;0;20;1:40.307;0;;22.182;0;39.274;0;38.851;0;143.7;33:55.327;17:43;0:22.182;0:39.274;0:38.851;184.0;Philippe Macé;;
18;0;21;1:39.183;0;;21.979;0;39.037;0;38.167;0;145.3;35:34.510;17:44;0:21.979;0:39.037;0:38.167;182.1;Philippe Macé;;
18;0;22;1:40.807;0;;21.797;0;39.905;0;39.105;0;143.0;37:15.317;17:46;0:21.797;0:39.905;0:39.105;181.5;Philippe Macé;;
18;0;23;1:44.999;0;B;22.571;0;39.657;0;42.771;0;137.2;39:00.316;17:48;0:22.571;0:39.657;0:42.771;181.5;Philippe Macé;;
18;1;24;3:25.065;0;;2:04.941;0;40.561;0;39.563;0;70.3;42:25.381;17:51;2:04.941;0:40.561;0:39.563;185.2;Phillipe Yschard;0:01:48;
18;1;25;1:41.907;0;;22.358;0;39.344;0;40.205;0;141.4;44:07.288;17:53;0:22.358;0:39.344;0:40.205;188.2;Phillipe Yschard;;
18;1;26;1:48.043;0;;22.896;0;41.007;0;44.140;0;133.4;45:55.331;17:55;0:22.896;0:41.007;0:44.140;174.8;Phillipe Yschard;;
18;1;27;1:53.955;0;;24.659;0;40.385;0;48.911;0;126.5;47:49.286;17:56;0:24.659;0:40.385;0:48.911;174.5;Phillipe Yschard;;
