NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;1;1;2:29.014;0;;1:08.865;0;48.434;0;31.715;0;105.8;2:29.014;11:02;1:08.865;0:48.434;0:31.715;;Mathias BECHE;0:00:21;
1;1;2;1:51.666;0;;42.916;0;39.341;0;29.409;0;141.2;4:20.680;11:04;0:42.916;0:39.341;0:29.409;;Mathias BECHE;;
1;1;3;1:41.627;0;;36.474;0;37.410;0;27.743;0;155.2;6:02.307;11:06;0:36.474;0:37.410;0:27.743;;Mathias BECHE;;
1;1;4;1:43.298;0;;37.314;0;37.821;0;28.163;0;152.7;7:45.605;11:07;0:37.314;0:37.821;0:28.163;;Mathias BECHE;;
1;1;5;1:40.045;0;;36.123;0;36.410;0;27.512;0;157.6;9:25.650;11:09;0:36.123;0:36.410;0:27.512;;Mathias BECHE;;
1;1;6;1:40.656;0;;35.558;0;37.596;0;27.502;0;156.7;11:06.306;11:11;0:35.558;0:37.596;0:27.502;;Mathias BECHE;;
1;1;7;1:45.824;0;B;35.543;0;36.860;0;33.421;0;149.0;12:52.130;11:12;0:35.543;0:36.860;0:33.421;;Mathias BECHE;;
1;1;8;5:22.259;0;;4:16.151;0;38.538;0;27.570;0;48.9;18:14.389;11:18;4:16.151;0:38.538;0:27.570;;Mathias BECHE;0:03:43;
1;1;9;1:40.092;0;;35.571;0;36.713;0;27.808;0;157.6;19:54.481;11:19;0:35.571;0:36.713;0:27.808;;Mathias BECHE;;
1;1;10;1:38.660;2;;35.491;0;36.179;0;26.990;2;159.9;21:33.141;11:21;0:35.491;0:36.179;0:26.990;;Mathias BECHE;;
1;1;11;1:44.025;0;B;35.424;2;35.864;2;32.737;0;151.6;23:17.166;11:23;0:35.424;0:35.864;0:32.737;;Mathias BECHE;;
1;1;12;4:33.526;0;;3:29.503;0;36.806;0;27.217;0;57.7;27:50.692;11:27;3:29.503;0:36.806;0:27.217;;Mathias BECHE;0:02:57;
1;1;13;1:40.738;0;;36.284;0;36.263;0;28.191;0;156.6;29:31.430;11:29;0:36.284;0:36.263;0:28.191;;Mathias BECHE;;
1;1;14;1:39.688;0;;36.092;0;36.428;0;27.168;0;158.2;31:11.118;11:31;0:36.092;0:36.428;0:27.168;;Mathias BECHE;;
1;1;15;1:46.378;0;B;35.425;0;37.116;0;33.837;0;148.3;32:57.496;11:32;0:35.425;0:37.116;0:33.837;;Mathias BECHE;;
1;0;16;3:39.723;0;;2:31.242;0;38.995;0;29.486;0;71.8;36:37.219;11:36;2:31.242;0:38.995;0:29.486;;Pierre THIRIET;0:01:57;
1;0;17;1:45.304;0;;39.358;0;37.691;0;28.255;0;149.8;38:22.523;11:38;0:39.358;0:37.691;0:28.255;;Pierre THIRIET;;
1;0;18;1:41.788;0;;36.552;0;37.311;0;27.925;0;154.9;40:04.311;11:40;0:36.552;0:37.311;0:27.925;;Pierre THIRIET;;
1;0;19;1:40.108;0;;35.981;0;36.297;0;27.830;0;157.5;41:44.419;11:41;0:35.981;0:36.297;0:27.830;;Pierre THIRIET;;
1;0;20;1:45.925;0;B;36.706;0;37.205;0;32.014;0;148.9;43:30.344;11:43;0:36.706;0:37.205;0:32.014;;Pierre THIRIET;;
1;0;21;5:43.228;0;;4:37.734;0;37.482;0;28.012;0;46.0;49:13.572;11:49;4:37.734;0:37.482;0:28.012;;Pierre THIRIET;0:04:05;
1;0;22;1:50.594;0;B;36.504;0;36.312;0;37.778;0;142.6;51:04.166;11:51;0:36.504;0:36.312;0:37.778;;Pierre THIRIET;;
1;0;23;2:19.960;0;;1:14.412;0;37.796;0;27.752;0;112.7;53:24.126;11:53;1:14.412;0:37.796;0:27.752;;Pierre THIRIET;0:00:42;
1;0;24;1:40.256;0;;35.718;1;36.803;0;27.735;0;157.3;55:04.382;11:55;0:35.718;0:36.803;0:27.735;;Pierre THIRIET;;
1;0;25;1:41.792;0;;36.313;0;37.096;0;28.383;0;154.9;56:46.174;11:56;0:36.313;0:37.096;0:28.383;;Pierre THIRIET;;
1;0;26;1:39.210;0;;35.910;0;36.127;1;27.173;0;159.0;58:25.384;11:58;0:35.910;0:36.127;0:27.173;;Pierre THIRIET;;
1;0;27;1:39.387;0;;35.995;0;36.230;0;27.162;1;158.7;1:00:04.771;12:00;0:35.995;0:36.230;0:27.162;;Pierre THIRIET;;
18;1;1;2:46.747;0;B;1:18.192;0;49.599;0;38.956;0;94.6;2:46.747;11:02;1:18.192;0:49.599;0:38.956;;Jonathan HIRSCHI;0:00:32;
18;1;2;6:11.608;0;;4:59.380;0;42.250;0;29.978;0;42.4;8:58.355;11:08;4:59.380;0:42.250;0:29.978;;Jonathan HIRSCHI;0:04:20;
18;1;3;1:45.742;0;;37.609;0;39.117;0;29.016;0;149.2;10:44.097;11:10;0:37.609;0:39.117;0:29.016;;Jonathan HIRSCHI;;
18;1;4;1:43.484;0;;36.166;0;38.787;0;28.531;0;152.4;12:27.581;11:12;0:36.166;0:38.787;0:28.531;;Jonathan HIRSCHI;;
18;1;5;1:40.258;0;;36.023;0;36.638;0;27.597;0;157.3;14:07.839;11:14;0:36.023;0:36.638;0:27.597;;Jonathan HIRSCHI;;
18;1;6;1:43.688;0;;35.891;0;39.089;0;28.708;0;152.1;15:51.527;11:15;0:35.891;0:39.089;0:28.708;;Jonathan HIRSCHI;;
18;1;7;1:39.922;0;;35.906;0;36.595;0;27.421;0;157.8;17:31.449;11:17;0:35.906;0:36.595;0:27.421;;Jonathan HIRSCHI;;
18;1;8;1:46.669;0;B;36.276;0;37.386;0;33.007;0;147.9;19:18.118;11:19;0:36.276;0:37.386;0:33.007;;Jonathan HIRSCHI;;
18;0;9;5:39.824;0;;4:34.167;0;37.531;0;28.126;0;46.4;24:57.942;11:24;4:34.167;0:37.531;0:28.126;;Brendon HARTLEY;0:04:00;
18;0;10;1:43.045;0;;38.326;0;36.869;0;27.850;0;153.1;26:40.987;11:26;0:38.326;0:36.869;0:27.850;;Brendon HARTLEY;;
18;0;11;1:39.002;0;;35.962;0;35.766;0;27.274;0;159.3;28:19.989;11:28;0:35.962;0:35.766;0:27.274;;Brendon HARTLEY;;
18;0;12;1:45.598;0;B;35.845;0;35.914;0;33.839;0;149.4;30:05.587;11:30;0:35.845;0:35.914;0:33.839;;Brendon HARTLEY;;
18;0;13;6:17.914;0;;5:14.423;0;36.071;0;27.420;0;41.7;36:23.501;11:36;5:14.423;0:36.071;0:27.420;;Brendon HARTLEY;0:04:41;
18;0;14;1:39.504;0;;35.872;0;36.261;0;27.371;0;158.5;38:03.005;11:38;0:35.872;0:36.261;0:27.371;;Brendon HARTLEY;;
18;0;15;1:40.890;0;;36.831;0;36.803;0;27.256;0;156.3;39:43.895;11:39;0:36.831;0:36.803;0:27.256;;Brendon HARTLEY;;
18;0;16;1:37.994;0;;35.717;0;35.215;0;27.062;2;160.9;41:21.889;11:41;0:35.717;0:35.215;0:27.062;;Brendon HARTLEY;;
18;0;17;1:37.606;2;;35.416;2;35.097;2;27.093;0;161.6;42:59.495;11:42;0:35.416;0:35.097;0:27.093;;Brendon HARTLEY;;
18;0;18;1:43.285;0;B;35.480;0;36.502;0;31.303;0;152.7;44:42.780;11:44;0:35.480;0:36.502;0:31.303;;Brendon HARTLEY;;
18;1;19;5:56.529;0;;4:48.673;0;40.168;0;27.688;0;44.2;50:39.309;11:50;4:48.673;0:40.168;0:27.688;;Jonathan HIRSCHI;0:04:15;
18;1;20;1:39.582;0;;35.785;0;36.383;0;27.414;1;158.4;52:18.891;11:52;0:35.785;0:36.383;0:27.414;;Jonathan HIRSCHI;;
18;1;21;1:40.325;0;;35.568;1;36.112;1;28.645;0;157.2;53:59.216;11:53;0:35.568;0:36.112;0:28.645;;Jonathan HIRSCHI;;
18;1;22;1:41.224;0;;35.746;0;37.517;0;27.961;0;155.8;55:40.440;11:55;0:35.746;0:37.517;0:27.961;;Jonathan HIRSCHI;;
18;1;23;1:42.798;0;;35.618;0;37.692;0;29.488;0;153.4;57:23.238;11:57;0:35.618;0:37.692;0:29.488;;Jonathan HIRSCHI;;
18;1;24;1:40.052;0;;35.839;0;36.232;0;27.981;0;157.6;59:03.290;11:59;0:35.839;0:36.232;0:27.981;;Jonathan HIRSCHI;;
18;1;25;1:59.546;0;B;35.843;0;38.667;0;45.036;0;131.9;1:01:02.836;12:01;0:35.843;0:38.667;0:45.036;;Jonathan HIRSCHI;;
34;1;1;2:17.106;0;;54.899;0;48.199;0;34.008;0;115.0;2:17.106;11:02;0:54.899;0:48.199;0:34.008;;Patric NIEDERHAUSER;0:00:07;
34;1;2;1:53.878;0;;40.724;0;42.233;0;30.921;0;138.5;4:10.984;11:04;0:40.724;0:42.233;0:30.921;;Patric NIEDERHAUSER;;
34;1;3;1:47.516;0;;38.646;0;39.813;0;29.057;0;146.7;5:58.500;11:05;0:38.646;0:39.813;0:29.057;;Patric NIEDERHAUSER;;
34;1;4;1:44.916;0;;37.266;0;38.857;0;28.793;0;150.3;7:43.416;11:07;0:37.266;0:38.857;0:28.793;;Patric NIEDERHAUSER;;
34;1;5;1:41.855;0;;36.633;0;37.092;0;28.130;0;154.8;9:25.271;11:09;0:36.633;0:37.092;0:28.130;;Patric NIEDERHAUSER;;
34;1;6;1:50.179;0;B;36.840;0;39.468;0;33.871;0;143.1;11:15.450;11:11;0:36.840;0:39.468;0:33.871;;Patric NIEDERHAUSER;;
34;1;7;3:57.419;0;;2:43.442;0;43.670;0;30.307;0;66.4;15:12.869;11:15;2:43.442;0:43.670;0:30.307;;Patric NIEDERHAUSER;0:02:02;
34;1;8;1:44.126;0;;37.862;0;37.968;0;28.296;0;151.5;16:56.995;11:16;0:37.862;0:37.968;0:28.296;;Patric NIEDERHAUSER;;
34;1;9;1:40.186;0;;35.963;0;36.486;0;27.737;0;157.4;18:37.181;11:18;0:35.963;0:36.486;0:27.737;;Patric NIEDERHAUSER;;
34;1;10;1:39.847;0;;35.748;0;36.504;0;27.595;2;158.0;20:17.028;11:20;0:35.748;0:36.504;0:27.595;;Patric NIEDERHAUSER;;
34;1;11;1:42.891;0;;36.792;0;37.688;0;28.411;0;153.3;21:59.919;11:21;0:36.792;0:37.688;0:28.411;;Patric NIEDERHAUSER;;
34;1;12;1:41.014;0;;35.795;0;36.738;0;28.481;0;156.1;23:40.933;11:23;0:35.795;0:36.738;0:28.481;;Patric NIEDERHAUSER;;
34;1;13;1:39.555;2;;36.013;0;35.785;2;27.757;0;158.4;25:20.488;11:25;0:36.013;0:35.785;0:27.757;;Patric NIEDERHAUSER;;
34;1;14;1:47.964;0;B;35.460;2;39.330;0;33.174;0;146.1;27:08.452;11:27;0:35.460;0:39.330;0:33.174;;Patric NIEDERHAUSER;;
34;0;15;4:11.643;0;;2:58.584;0;42.448;0;30.611;0;62.7;31:20.095;11:31;2:58.584;0:42.448;0:30.611;;Michel FREY;0:02:23;
34;0;16;1:45.143;0;;37.363;0;38.787;0;28.993;0;150.0;33:05.238;11:33;0:37.363;0:38.787;0:28.993;;Michel FREY;;
34;0;17;1:42.872;0;;36.357;0;37.912;0;28.603;0;153.3;34:48.110;11:34;0:36.357;0:37.912;0:28.603;;Michel FREY;;
34;0;18;1:44.450;0;;37.674;0;38.089;0;28.687;0;151.0;36:32.560;11:36;0:37.674;0:38.089;0:28.687;;Michel FREY;;
34;0;19;2:20.490;0;B;56.622;0;45.312;0;38.556;0;112.3;38:53.050;11:38;0:56.622;0:45.312;0:38.556;;Michel FREY;;
34;0;20;9:00.739;0;;7:47.483;0;42.676;0;30.580;0;29.2;47:53.789;11:47;7:47.483;0:42.676;0:30.580;;Michel FREY;0:07:12;
34;0;21;1:49.755;0;;40.615;0;40.143;0;28.997;0;143.7;49:43.544;11:49;0:40.615;0:40.143;0:28.997;;Michel FREY;;
34;0;22;1:44.124;0;;36.749;0;38.247;0;29.128;0;151.5;51:27.668;11:51;0:36.749;0:38.247;0:29.128;;Michel FREY;;
34;0;23;1:43.155;0;;36.495;0;37.936;0;28.724;0;152.9;53:10.823;11:53;0:36.495;0:37.936;0:28.724;;Michel FREY;;
34;0;24;1:46.917;0;;36.663;0;40.797;0;29.457;0;147.5;54:57.740;11:54;0:36.663;0:40.797;0:29.457;;Michel FREY;;
34;0;25;1:41.873;0;;36.376;0;37.275;0;28.222;0;154.8;56:39.613;11:56;0:36.376;0:37.275;0:28.222;;Michel FREY;;
34;0;26;1:41.506;0;;36.245;0;37.165;0;28.096;1;155.4;58:21.119;11:58;0:36.245;0:37.165;0:28.096;;Michel FREY;;
34;0;27;1:42.249;0;;36.162;1;36.748;1;29.339;0;154.2;1:00:03.368;12:00;0:36.162;0:36.748;0:29.339;;Michel FREY;;
36;0;1;2:30.424;0;;1:09.454;0;48.081;0;32.889;0;104.8;2:30.424;11:02;1:09.454;0:48.081;0:32.889;;Pierre RAGUES;0:00:20;
36;0;2;1:49.993;0;;39.417;0;40.906;0;29.670;0;143.4;4:20.417;11:04;0:39.417;0:40.906;0:29.670;;Pierre RAGUES;;
36;0;3;1:44.168;0;;37.364;0;37.491;0;29.313;0;151.4;6:04.585;11:06;0:37.364;0:37.491;0:29.313;;Pierre RAGUES;;
36;0;4;1:42.022;0;;36.312;0;37.207;0;28.503;0;154.6;7:46.607;11:07;0:36.312;0:37.207;0:28.503;;Pierre RAGUES;;
36;0;5;1:39.881;0;;36.043;0;36.220;0;27.618;1;157.9;9:26.488;11:09;0:36.043;0:36.220;0:27.618;;Pierre RAGUES;;
36;0;6;1:41.867;0;;36.001;0;38.061;0;27.805;0;154.8;11:08.355;11:11;0:36.001;0:38.061;0:27.805;;Pierre RAGUES;;
36;0;7;1:41.998;0;;36.154;0;37.862;0;27.982;0;154.6;12:50.353;11:12;0:36.154;0:37.862;0:27.982;;Pierre RAGUES;;
36;0;8;1:42.550;0;;37.813;0;36.573;0;28.164;0;153.8;14:32.903;11:14;0:37.813;0:36.573;0:28.164;;Pierre RAGUES;;
36;0;9;1:41.271;0;;36.281;0;36.395;0;28.595;0;155.7;16:14.174;11:16;0:36.281;0:36.395;0:28.595;;Pierre RAGUES;;
36;0;10;1:40.373;0;;35.974;0;36.303;0;28.096;0;157.1;17:54.547;11:17;0:35.974;0:36.303;0:28.096;;Pierre RAGUES;;
36;0;11;1:39.623;0;;35.811;1;36.034;1;27.778;0;158.3;19:34.170;11:19;0:35.811;0:36.034;0:27.778;;Pierre RAGUES;;
36;0;12;1:40.282;0;;35.869;0;36.494;0;27.919;0;157.3;21:14.452;11:21;0:35.869;0:36.494;0:27.919;;Pierre RAGUES;;
36;0;13;1:40.977;0;;36.928;0;36.238;0;27.811;0;156.2;22:55.429;11:22;0:36.928;0:36.238;0:27.811;;Pierre RAGUES;;
36;0;14;1:40.123;0;;35.878;0;36.166;0;28.079;0;157.5;24:35.552;11:24;0:35.878;0:36.166;0:28.079;;Pierre RAGUES;;
36;0;15;1:44.930;0;B;36.317;0;37.587;0;31.026;0;150.3;26:20.482;11:26;0:36.317;0:37.587;0:31.026;;Pierre RAGUES;;
36;1;16;3:34.640;0;;2:28.099;0;37.550;0;28.991;0;73.5;29:55.122;11:29;2:28.099;0:37.550;0:28.991;;Nelson PANCIATICI;0:01:55;
36;1;17;1:40.016;0;;35.944;0;36.487;0;27.585;0;157.7;31:35.138;11:31;0:35.944;0:36.487;0:27.585;;Nelson PANCIATICI;;
36;1;18;1:39.585;0;;35.751;0;36.169;0;27.665;0;158.4;33:14.723;11:33;0:35.751;0:36.169;0:27.665;;Nelson PANCIATICI;;
36;1;19;1:41.830;0;;36.428;0;36.318;0;29.084;0;154.9;34:56.553;11:34;0:36.428;0:36.318;0:29.084;;Nelson PANCIATICI;;
36;1;20;1:40.768;0;;36.194;0;36.254;0;28.320;0;156.5;36:37.321;11:36;0:36.194;0:36.254;0:28.320;;Nelson PANCIATICI;;
36;1;21;1:43.772;0;;38.697;0;37.004;0;28.071;0;152.0;38:21.093;11:38;0:38.697;0:37.004;0:28.071;;Nelson PANCIATICI;;
36;1;22;1:40.604;0;;36.156;0;36.664;0;27.784;0;156.8;40:01.697;11:40;0:36.156;0:36.664;0:27.784;;Nelson PANCIATICI;;
36;1;23;1:52.207;0;;39.998;0;42.762;0;29.447;0;140.6;41:53.904;11:41;0:39.998;0:42.762;0:29.447;;Nelson PANCIATICI;;
36;1;24;1:42.212;0;;35.990;0;37.617;0;28.605;0;154.3;43:36.116;11:43;0:35.990;0:37.617;0:28.605;;Nelson PANCIATICI;;
36;1;25;1:52.553;0;B;36.382;0;37.586;0;38.585;0;140.1;45:28.669;11:45;0:36.382;0:37.586;0:38.585;;Nelson PANCIATICI;;
36;1;26;3:28.210;0;;2:18.746;0;39.960;0;29.504;0;75.7;48:56.879;11:48;2:18.746;0:39.960;0:29.504;;Nelson PANCIATICI;0:01:41;
36;1;27;1:41.129;0;;36.390;0;36.672;0;28.067;0;156.0;50:38.008;11:50;0:36.390;0:36.672;0:28.067;;Nelson PANCIATICI;;
36;1;28;1:37.736;0;;35.581;0;35.128;0;27.027;2;161.4;52:15.744;11:52;0:35.581;0:35.128;0:27.027;;Nelson PANCIATICI;;
36;1;29;1:37.529;4;;35.382;0;35.091;4;27.056;0;161.7;53:53.273;11:53;0:35.382;0:35.091;0:27.056;;Nelson PANCIATICI;;
36;1;30;1:38.690;0;;36.003;0;35.512;0;27.175;0;159.8;55:31.963;11:55;0:36.003;0:35.512;0:27.175;;Nelson PANCIATICI;;
36;1;31;1:48.745;0;;37.249;0;41.420;0;30.076;0;145.0;57:20.708;11:57;0:37.249;0:41.420;0:30.076;;Nelson PANCIATICI;;
36;1;32;1:40.001;0;;35.376;2;36.003;0;28.622;0;157.7;59:00.709;11:59;0:35.376;0:36.003;0:28.622;;Nelson PANCIATICI;;
36;1;33;2:00.298;0;B;36.143;0;38.636;0;45.519;0;131.1;1:01:01.007;12:01;0:36.143;0:38.636;0:45.519;;Nelson PANCIATICI;;
37;0;1;2:58.238;0;;1:30.468;0;51.989;0;35.781;0;88.5;2:58.238;11:02;1:30.468;0:51.989;0:35.781;;Maurizio MEDIANI;0:00:44;
37;0;2;1:51.476;0;;39.543;0;42.087;0;29.846;0;141.5;4:49.714;11:04;0:39.543;0:42.087;0:29.846;;Maurizio MEDIANI;;
37;0;3;1:42.116;0;;36.842;0;37.938;0;27.336;0;154.4;6:31.830;11:06;0:36.842;0:37.938;0:27.336;;Maurizio MEDIANI;;
37;0;4;1:39.856;0;;35.917;0;36.408;0;27.531;0;157.9;8:11.686;11:08;0:35.917;0:36.408;0:27.531;;Maurizio MEDIANI;;
37;0;5;1:40.749;0;;35.869;0;37.005;0;27.875;0;156.5;9:52.435;11:09;0:35.869;0:37.005;0:27.875;;Maurizio MEDIANI;;
37;0;6;1:48.124;0;;39.313;0;39.731;0;29.080;0;145.9;11:40.559;11:11;0:39.313;0:39.731;0:29.080;;Maurizio MEDIANI;;
37;0;7;1:42.181;0;;35.963;0;38.587;0;27.631;0;154.3;13:22.740;11:13;0:35.963;0:38.587;0:27.631;;Maurizio MEDIANI;;
37;0;8;1:38.688;0;;35.654;0;36.070;2;26.964;4;159.8;15:01.428;11:15;0:35.654;0:36.070;0:26.964;;Maurizio MEDIANI;;
37;0;9;1:38.684;2;;35.497;2;36.078;0;27.109;0;159.8;16:40.112;11:16;0:35.497;0:36.078;0:27.109;;Maurizio MEDIANI;;
37;0;10;1:42.203;0;;35.543;0;37.486;0;29.174;0;154.3;18:22.315;11:18;0:35.543;0:37.486;0:29.174;;Maurizio MEDIANI;;
37;0;11;1:53.716;0;B;37.126;0;40.764;0;35.826;0;138.7;20:16.031;11:20;0:37.126;0:40.764;0:35.826;;Maurizio MEDIANI;;
37;0;12;6:58.729;0;;5:50.402;0;39.819;0;28.508;0;37.7;27:14.760;11:27;5:50.402;0:39.819;0:28.508;;Maurizio MEDIANI;0:05:15;
37;0;13;1:42.239;0;;36.143;0;38.018;0;28.078;0;154.3;28:56.999;11:28;0:36.143;0:38.018;0:28.078;;Maurizio MEDIANI;;
37;0;14;1:40.421;0;;35.926;0;37.030;0;27.465;0;157.1;30:37.420;11:30;0:35.926;0:37.030;0:27.465;;Maurizio MEDIANI;;
37;0;15;1:39.993;0;;35.725;0;36.460;0;27.808;0;157.7;32:17.413;11:32;0:35.725;0:36.460;0:27.808;;Maurizio MEDIANI;;
37;0;16;1:49.929;0;B;36.524;0;38.623;0;34.782;0;143.5;34:07.342;11:34;0:36.524;0:38.623;0:34.782;;Maurizio MEDIANI;;
37;1;17;4:39.084;0;;3:29.912;0;39.829;0;29.343;0;56.5;38:46.426;11:38;3:29.912;0:39.829;0:29.343;;Serguey ZLOBIN;0:02:54;
37;1;18;1:45.393;0;;37.224;0;39.423;0;28.746;0;149.6;40:31.819;11:40;0:37.224;0:39.423;0:28.746;;Serguey ZLOBIN;;
37;1;19;1:42.366;0;;36.702;0;37.379;0;28.285;0;154.1;42:14.185;11:42;0:36.702;0:37.379;0:28.285;;Serguey ZLOBIN;;
37;1;20;1:43.029;0;;36.643;0;37.836;0;28.550;0;153.1;43:57.214;11:43;0:36.643;0:37.836;0:28.550;;Serguey ZLOBIN;;
37;1;21;1:42.530;0;;36.854;0;37.580;0;28.096;0;153.8;45:39.744;11:45;0:36.854;0:37.580;0:28.096;;Serguey ZLOBIN;;
37;1;22;1:43.177;0;;37.402;0;37.564;0;28.211;0;152.9;47:22.921;11:47;0:37.402;0:37.564;0:28.211;;Serguey ZLOBIN;;
37;1;23;1:42.793;0;;36.832;0;37.974;0;27.987;0;153.4;49:05.714;11:49;0:36.832;0:37.974;0:27.987;;Serguey ZLOBIN;;
37;1;24;1:41.999;0;;36.959;0;36.958;0;28.082;0;154.6;50:47.713;11:50;0:36.959;0:36.958;0:28.082;;Serguey ZLOBIN;;
37;1;25;1:40.780;0;;36.318;0;36.645;1;27.817;1;156.5;52:28.493;11:52;0:36.318;0:36.645;0:27.817;;Serguey ZLOBIN;;
37;1;26;1:40.636;0;;36.076;1;36.714;0;27.846;0;156.7;54:09.129;11:54;0:36.076;0:36.714;0:27.846;;Serguey ZLOBIN;;
37;1;27;1:41.777;0;;36.295;0;37.114;0;28.368;0;155.0;55:50.906;11:55;0:36.295;0:37.114;0:28.368;;Serguey ZLOBIN;;
37;1;28;2:20.125;0;;36.725;0;38.946;0;1:04.454;0;112.6;58:11.031;11:58;0:36.725;0:38.946;1:04.454;;Serguey ZLOBIN;;
37;1;29;1:51.449;0;B;38.449;0;38.317;0;34.683;0;141.5;1:00:02.480;12:00;0:38.449;0:38.317;0:34.683;;Serguey ZLOBIN;;
