NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;1;1;30:13.653;0;;28:49.143;0;31.998;0;52.512;0;11.5;30:13.653;10:52;28:49.143;0:31.998;0:52.512;260.9;Mathias BECHE;0:28:07;
1;1;2;1:53.710;0;;35.290;0;29.857;0;48.563;0;183.3;32:07.363;10:54;0:35.290;0:29.857;0:48.563;267.3;Mathias BECHE;;
1;1;3;1:50.854;0;;33.425;0;29.337;0;48.092;0;188.1;33:58.217;10:55;0:33.425;0:29.337;0:48.092;268.7;Mathias BECHE;;
1;1;4;1:49.484;0;;33.073;0;29.060;0;47.351;0;190.4;35:47.701;10:57;0:33.073;0:29.060;0:47.351;269.3;Mathias BECHE;;
1;1;5;1:49.199;0;;32.693;0;29.040;0;47.466;0;190.9;37:36.900;10:59;0:32.693;0:29.040;0:47.466;270.0;Mathias BECHE;;
1;1;6;1:49.753;0;;33.135;0;29.121;0;47.497;0;190.0;39:26.653;11:01;0:33.135;0:29.121;0:47.497;270.7;Mathias BECHE;;
1;1;7;1:50.689;0;;32.632;2;28.890;0;49.167;0;188.3;41:17.342;11:03;0:32.632;0:28.890;0:49.167;270.7;Mathias BECHE;;
1;1;8;1:49.595;0;;32.891;0;29.294;0;47.410;0;190.2;43:06.937;11:05;0:32.891;0:29.294;0:47.410;272.0;Mathias BECHE;;
1;1;9;1:48.974;2;;32.768;0;28.870;0;47.336;2;191.3;44:55.911;11:06;0:32.768;0:28.870;0:47.336;272.0;Mathias BECHE;;
1;1;10;1:49.019;0;;32.765;0;28.795;2;47.459;0;191.2;46:44.930;11:08;0:32.765;0:28.795;0:47.459;273.4;Mathias BECHE;;
18;0;1;29:15.241;0;B;;0;;0;;0;11.9;29:15.241;10:51;;;;;Brendon HARTLEY;;
18;0;2;2:29.923;0;;1:05.419;0;32.665;0;51.839;0;139.1;31:45.164;10:53;1:05.419;0:32.665;0:51.839;247.7;Brendon HARTLEY;;
18;0;3;1:53.060;0;;34.974;0;29.365;0;48.721;0;184.4;33:38.224;10:55;0:34.974;0:29.365;0:48.721;266.7;Brendon HARTLEY;;
18;0;4;1:49.733;0;;33.179;0;29.093;0;47.461;0;190.0;35:27.957;10:57;0:33.179;0:29.093;0:47.461;268.7;Brendon HARTLEY;;
18;0;5;1:48.911;0;;32.780;0;28.772;0;47.359;0;191.4;37:16.868;10:59;0:32.780;0:28.772;0:47.359;270.7;Brendon HARTLEY;;
18;0;6;1:48.784;0;;32.653;0;28.657;0;47.474;0;191.6;39:05.652;11:01;0:32.653;0:28.657;0:47.474;272.0;Brendon HARTLEY;;
18;0;7;1:54.055;0;;34.794;0;29.346;0;49.915;0;182.8;40:59.707;11:02;0:34.794;0:29.346;0:49.915;254.1;Brendon HARTLEY;;
18;0;8;1:48.521;0;;32.723;0;28.693;0;47.105;0;192.1;42:48.228;11:04;0:32.723;0:28.693;0:47.105;271.4;Brendon HARTLEY;;
