NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;0;1;1:54.693;0;;39.842;0;45.144;0;29.707;0;135.8;1:54.693;10:21;0:39.842;0:45.144;0:29.707;181.5;Pierre THIRIET;0:00:09;
1;0;2;1:30.032;0;;23.457;0;39.703;0;26.872;0;173.0;3:24.725;10:23;0:23.457;0:39.703;0:26.872;234.3;Pierre THIRIET;;
1;0;3;1:28.014;0;;22.817;0;38.455;0;26.742;0;176.9;4:52.739;10:24;0:22.817;0:38.455;0:26.742;236.8;Pierre THIRIET;;
1;0;4;1:27.230;0;;22.234;0;38.463;0;26.533;0;178.5;6:19.969;10:26;0:22.234;0:38.463;0:26.533;239.5;Pierre THIRIET;;
1;0;5;1:48.131;0;B;21.954;0;43.640;0;42.537;0;144.0;8:08.100;10:28;0:21.954;0:43.640;0:42.537;241.6;Pierre THIRIET;;
1;0;6;7:18.864;0;;6:11.498;0;40.036;0;27.330;0;35.5;15:26.964;10:35;6:11.498;0:40.036;0:27.330;234.8;Pierre THIRIET;0:05:53;
1;0;7;1:30.906;0;;22.585;0;39.340;0;28.981;0;171.3;16:57.870;10:36;0:22.585;0:39.340;0:28.981;242.2;Pierre THIRIET;;
1;0;8;1:26.644;0;;22.341;0;37.963;0;26.340;0;179.7;18:24.514;10:38;0:22.341;0:37.963;0:26.340;243.2;Pierre THIRIET;;
1;0;9;1:28.285;0;;21.870;1;38.983;0;27.432;0;176.4;19:52.799;10:39;0:21.870;0:38.983;0:27.432;243.2;Pierre THIRIET;;
1;0;10;1:36.085;0;B;22.309;0;38.368;0;35.408;0;162.1;21:28.884;10:41;0:22.309;0:38.368;0:35.408;239.5;Pierre THIRIET;;
1;0;11;7:04.516;0;;5:57.860;0;38.999;0;27.657;0;36.7;28:33.400;10:48;5:57.860;0:38.999;0:27.657;235.8;Pierre THIRIET;0:05:40;
1;0;12;1:26.811;0;;22.198;0;37.515;4;27.098;0;179.4;30:00.211;10:50;0:22.198;0:37.515;0:27.098;241.6;Pierre THIRIET;;
1;0;13;1:56.193;0;;22.008;0;1:05.648;0;28.537;0;134.0;31:56.404;10:51;0:22.008;1:05.648;0:28.537;243.8;Pierre THIRIET;;
1;0;14;1:25.984;0;;22.081;0;37.752;0;26.151;1;181.1;33:22.388;10:53;0:22.081;0:37.752;0:26.151;242.7;Pierre THIRIET;;
1;0;15;1:36.660;0;B;22.571;0;38.075;0;36.014;0;161.1;34:59.048;10:54;0:22.571;0:38.075;0:36.014;232.8;Pierre THIRIET;;
1;1;16;4:52.921;0;;3:43.375;0;40.791;0;28.755;0;53.2;39:51.969;10:59;3:43.375;0:40.791;0:28.755;216.4;Mathias BECHE;0:03:25;
1;1;17;1:30.387;0;;23.158;0;39.918;0;27.311;0;172.3;41:22.356;11:01;0:23.158;0:39.918;0:27.311;236.3;Mathias BECHE;;
1;1;18;1:27.821;0;;22.367;0;38.940;0;26.514;0;177.3;42:50.177;11:02;0:22.367;0:38.940;0:26.514;242.2;Mathias BECHE;;
1;1;19;1:27.137;0;;22.125;0;38.816;0;26.196;0;178.7;44:17.314;11:04;0:22.125;0:38.816;0:26.196;244.3;Mathias BECHE;;
1;1;20;1:26.939;0;;22.579;0;38.243;0;26.117;0;179.1;45:44.253;11:05;0:22.579;0:38.243;0:26.117;242.2;Mathias BECHE;;
1;1;21;1:26.041;0;;22.033;0;38.250;0;25.758;2;181.0;47:10.294;11:07;0:22.033;0:38.250;0:25.758;242.2;Mathias BECHE;;
1;1;22;1:28.588;0;;22.261;0;38.649;0;27.678;0;175.8;48:38.882;11:08;0:22.261;0:38.649;0:27.678;242.7;Mathias BECHE;;
1;1;23;1:39.624;0;B;22.107;0;38.183;0;39.334;0;156.3;50:18.506;11:10;0:22.107;0:38.183;0:39.334;242.7;Mathias BECHE;;
1;1;24;3:28.488;0;;2:22.429;0;39.269;0;26.790;0;74.7;53:46.994;11:13;2:22.429;0:39.269;0:26.790;236.3;Mathias BECHE;0:02:07;
1;1;25;1:28.324;0;;22.340;0;39.411;0;26.573;0;176.3;55:15.318;11:15;0:22.340;0:39.411;0:26.573;242.7;Mathias BECHE;;
1;1;26;1:27.073;0;;21.944;0;39.133;0;25.996;0;178.9;56:42.391;11:16;0:21.944;0:39.133;0:25.996;242.7;Mathias BECHE;;
1;1;27;1:26.090;0;;21.943;0;38.315;0;25.832;0;180.9;58:08.481;11:18;0:21.943;0:38.315;0:25.832;244.3;Mathias BECHE;;
1;1;28;1:26.380;0;;21.863;0;38.521;0;25.996;0;180.3;59:34.861;11:19;0:21.863;0:38.521;0:25.996;243.8;Mathias BECHE;;
1;1;29;1:25.638;4;;21.802;2;37.884;1;25.952;0;181.9;1:01:00.499;11:21;0:21.802;0:37.884;0:25.952;244.3;Mathias BECHE;;
18;1;1;2:44.189;0;B;1:21.677;0;45.476;0;37.036;0;94.9;2:44.189;10:22;1:21.677;0:45.476;0:37.036;156.3;Jonathan HIRSCHI;0:00:53;
18;1;2;3:56.223;0;;2:44.789;0;41.734;0;29.700;0;65.9;6:40.412;10:26;2:44.789;0:41.734;0:29.700;210.9;Jonathan HIRSCHI;0:02:26;
18;1;3;1:39.543;0;B;23.156;0;42.165;0;34.222;0;156.5;8:19.955;10:28;0:23.156;0:42.165;0:34.222;234.3;Jonathan HIRSCHI;;
18;1;4;3:57.647;0;;2:48.412;0;40.874;0;28.361;0;65.5;12:17.602;10:32;2:48.412;0:40.874;0:28.361;229.8;Jonathan HIRSCHI;0:02:31;
