NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;1;1;38:36.215;0;;37:23.977;0;43.517;0;28.721;0;6.7;38:36.215;10:58;37:23.977;0:43.517;0:28.721;215.6;Mathias BECHE;0:36:58;
1;1;2;1:26.206;0;;22.405;0;37.963;0;25.838;0;180.7;40:02.421;11:00;0:22.405;0:37.963;0:25.838;238.9;Mathias BECHE;;
1;1;3;1:25.069;0;;21.794;0;37.564;0;25.711;0;183.1;41:27.490;11:01;0:21.794;0:37.564;0:25.711;241.6;Mathias BECHE;;
1;1;4;1:35.776;0;;25.359;0;44.975;0;25.442;0;162.6;43:03.266;11:03;0:25.359;0:44.975;0:25.442;197.8;Mathias BECHE;;
1;1;5;1:24.054;2;;21.637;0;37.049;2;25.368;2;185.3;44:27.320;11:04;0:21.637;0:37.049;0:25.368;243.2;Mathias BECHE;;
1;1;6;1:31.607;0;;25.057;0;40.902;0;25.648;0;170.0;45:58.927;11:05;0:25.057;0:40.902;0:25.648;170.3;Mathias BECHE;;
1;1;7;1:24.224;0;;21.586;2;37.205;0;25.433;0;184.9;47:23.151;11:07;0:21.586;0:37.205;0:25.433;243.2;Mathias BECHE;;
1;1;8;1:25.237;0;;21.605;0;37.499;0;26.133;0;182.7;48:48.388;11:08;0:21.605;0:37.499;0:26.133;243.8;Mathias BECHE;;
1;1;9;1:24.133;0;;21.617;0;37.059;0;25.457;0;185.1;50:12.521;11:10;0:21.617;0:37.059;0:25.457;243.2;Mathias BECHE;;
18;0;1;38:51.672;0;;37:45.155;0;40.101;0;26.416;0;6.7;38:51.672;10:58;37:45.155;0:40.101;0:26.416;222.7;Brendon HARTLEY;0:37:21;
18;0;2;1:25.019;0;;21.870;0;37.768;0;25.381;0;183.2;40:16.691;11:00;0:21.870;0:37.768;0:25.381;239.5;Brendon HARTLEY;;
18;0;3;1:24.418;0;;21.691;0;37.608;0;25.119;2;184.5;41:41.109;11:01;0:21.691;0:37.608;0:25.119;241.6;Brendon HARTLEY;;
18;0;4;1:24.010;2;;21.655;2;37.225;2;25.130;0;185.4;43:05.119;11:03;0:21.655;0:37.225;0:25.130;241.6;Brendon HARTLEY;;
18;0;5;1:35.896;0;B;21.729;0;38.343;0;35.824;0;162.4;44:41.015;11:04;0:21.729;0:38.343;0:35.824;240.5;Brendon HARTLEY;;
34;1;1;36:38.961;0;;35:23.844;0;46.063;0;29.054;0;7.1;36:38.961;10:56;35:23.844;0:46.063;0:29.054;200.4;Patric NIEDERHAUSER;0:34:55;
34;1;2;1:30.424;0;;23.060;0;40.125;0;27.239;0;172.2;38:09.385;10:58;0:23.060;0:40.125;0:27.239;237.4;Patric NIEDERHAUSER;;
34;1;3;1:28.592;0;;22.340;0;39.109;0;27.143;0;175.8;39:37.977;10:59;0:22.340;0:39.109;0:27.143;241.1;Patric NIEDERHAUSER;;
34;1;4;1:25.557;0;;22.046;0;37.880;0;25.631;0;182.0;41:03.534;11:01;0:22.046;0:37.880;0:25.631;241.1;Patric NIEDERHAUSER;;
34;1;5;1:24.458;0;;21.710;0;37.552;0;25.196;0;184.4;42:27.992;11:02;0:21.710;0:37.552;0:25.196;241.6;Patric NIEDERHAUSER;;
34;1;6;1:27.157;0;;21.681;0;37.633;0;27.843;0;178.7;43:55.149;11:03;0:21.681;0:37.633;0:27.843;241.6;Patric NIEDERHAUSER;;
34;1;7;1:27.828;0;;22.695;0;38.556;0;26.577;0;177.3;45:22.977;11:05;0:22.695;0:38.556;0:26.577;233.8;Patric NIEDERHAUSER;;
34;1;8;1:24.578;0;;21.732;0;37.272;2;25.574;0;184.1;46:47.555;11:06;0:21.732;0:37.272;0:25.574;242.7;Patric NIEDERHAUSER;;
34;1;9;1:24.407;2;;21.898;0;37.335;0;25.174;2;184.5;48:11.962;11:08;0:21.898;0:37.335;0:25.174;240.5;Patric NIEDERHAUSER;;
34;1;10;1:27.040;0;;21.626;2;37.694;0;27.720;0;178.9;49:39.002;11:09;0:21.626;0:37.694;0:27.720;242.7;Patric NIEDERHAUSER;;
34;1;11;1:24.466;0;;21.631;0;37.571;0;25.264;0;184.4;51:03.468;11:11;0:21.631;0:37.571;0:25.264;241.1;Patric NIEDERHAUSER;;
36;1;1;39:25.477;0;;38:06.357;0;50.378;0;28.742;0;6.6;39:25.477;10:59;38:06.357;0:50.378;0:28.742;201.5;Nelson PANCIATICI;0:37:35;
