NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
24;1;1;36:34.742;0;;35:02.821;0;56.782;0;35.139;0;6.9;36:34.742;10:06;35:02.821;0:56.782;0:35.139;;Jimmy ERIKSSON;0:34:34.913;
24;1;2;1:32.485;0;;19.442;0;44.550;0;28.493;0;162.8;38:07.227;10:08;0:19.442;0:44.550;0:28.493;261.7;Jimmy ERIKSSON;;
24;1;3;1:31.222;2;;18.706;2;44.288;2;28.228;2;165.0;39:38.449;10:09;0:18.706;0:44.288;0:28.228;265.4;Jimmy ERIKSSON;;
24;1;4;1:49.117;0;B;20.225;0;50.454;0;38.438;0;138.0;41:27.566;10:11;0:20.225;0:50.454;0:38.438;266.1;Jimmy ERIKSSON;;
24;1;5;3:28.985;0;B;1:53.506;0;52.698;0;42.781;0;72.0;44:56.551;10:14;1:53.506;0:52.698;0:42.781;;Jimmy ERIKSSON;0:01:30.728;
24;1;6;5:53.925;0;;4:37.187;0;46.678;0;30.060;0;42.5;50:50.475;10:20;4:37.187;0:46.678;0:30.060;;Jimmy ERIKSSON;0:04:15.632;
24;1;7;1:32.363;0;;18.908;0;44.798;0;28.657;0;163.0;52:22.838;10:22;0:18.908;0:44.798;0:28.657;264.2;Jimmy ERIKSSON;;
24;1;8;1:31.560;0;;18.834;0;44.357;0;28.369;0;164.4;53:54.398;10:23;0:18.834;0:44.357;0:28.369;266.7;Jimmy ERIKSSON;;
24;1;9;1:49.458;0;B;19.106;0;50.572;0;39.780;0;137.5;55:43.856;10:25;0:19.106;0:50.572;0:39.780;265.4;Jimmy ERIKSSON;;
28;1;1;34:22.870;0;;32:59.367;0;54.048;0;29.455;0;7.3;34:22.870;10:04;32:59.367;0:54.048;0:29.455;;Mark SHULZHITSKIY;0:32:37.799;
28;1;2;1:32.136;0;;18.983;0;44.737;0;28.416;0;163.4;35:55.006;10:05;0:18.983;0:44.737;0:28.416;258.0;Mark SHULZHITSKIY;;
28;1;3;1:31.905;0;;18.711;0;44.462;0;28.732;0;163.8;37:26.911;10:07;0:18.711;0:44.462;0:28.732;259.8;Mark SHULZHITSKIY;;
28;1;4;1:31.235;2;;18.646;0;44.309;2;28.280;2;165.0;38:58.146;10:08;0:18.646;0:44.309;0:28.280;262.3;Mark SHULZHITSKIY;;
28;1;5;1:31.734;0;;18.647;0;44.498;0;28.589;0;164.1;40:29.880;10:10;0:18.647;0:44.498;0:28.589;263.5;Mark SHULZHITSKIY;;
28;1;6;1:37.271;0;;20.689;0;47.230;0;29.352;0;154.8;42:07.151;10:12;0:20.689;0:47.230;0:29.352;231.4;Mark SHULZHITSKIY;;
28;1;7;1:49.689;0;B;19.341;0;47.904;0;42.444;0;137.3;43:56.840;10:13;0:19.341;0:47.904;0:42.444;262.3;Mark SHULZHITSKIY;;
28;1;8;7:07.414;0;;5:48.225;0;47.121;0;32.068;0;35.2;51:04.253;10:21;5:48.225;0:47.121;0:32.068;;Mark SHULZHITSKIY;0:05:29.168;
28;1;9;1:32.031;0;;18.790;0;44.491;0;28.750;0;163.6;52:36.284;10:22;0:18.790;0:44.491;0:28.750;260.4;Mark SHULZHITSKIY;;
28;1;10;1:31.474;0;;18.552;2;44.506;0;28.416;0;164.6;54:07.758;10:24;0:18.552;0:44.506;0:28.416;262.3;Mark SHULZHITSKIY;;
28;1;11;2:00.834;0;B;20.900;0;55.076;0;44.858;0;124.6;56:08.592;10:26;0:20.900;0:55.076;0:44.858;250.9;Mark SHULZHITSKIY;;
29;0;1;32:52.904;0;;31:33.909;0;49.501;0;29.494;0;7.6;32:52.904;10:02;31:33.909;0:49.501;0:29.494;;Julien SCHELL;0:31:10.457;
29;0;2;1:33.621;0;;19.512;0;45.145;0;28.964;0;160.8;34:26.525;10:04;0:19.512;0:45.145;0:28.964;264.8;Julien SCHELL;;
29;0;3;1:32.740;0;;19.083;0;45.037;0;28.620;0;162.3;35:59.265;10:05;0:19.083;0:45.037;0:28.620;267.4;Julien SCHELL;;
29;0;4;1:32.247;2;;18.950;0;44.713;2;28.584;2;163.2;37:31.512;10:07;0:18.950;0:44.713;0:28.584;268.7;Julien SCHELL;;
29;0;5;1:32.755;0;;18.947;2;45.041;0;28.767;0;162.3;39:04.267;10:09;0:18.947;0:45.041;0:28.767;268.0;Julien SCHELL;;
29;0;6;1:44.355;0;;19.078;0;54.289;0;30.988;0;144.3;40:48.622;10:10;0:19.078;0:54.289;0:30.988;267.4;Julien SCHELL;;
29;0;7;1:41.375;0;B;19.087;0;45.291;0;36.997;0;148.5;42:29.997;10:12;0:19.087;0:45.291;0:36.997;267.4;Julien SCHELL;;
29;0;8;8:21.070;0;;7:04.813;0;46.294;0;29.963;0;30.0;50:51.066;10:20;7:04.813;0:46.294;0:29.963;;Julien SCHELL;0:06:44.885;
29;0;9;1:33.594;0;;19.169;0;45.394;0;29.031;0;160.9;52:24.660;10:22;0:19.169;0:45.394;0:29.031;267.4;Julien SCHELL;;
29;0;10;1:33.364;0;;19.172;0;45.332;0;28.860;0;161.3;53:58.024;10:23;0:19.172;0:45.332;0:28.860;268.0;Julien SCHELL;;
29;0;11;1:33.497;0;;18.961;0;45.406;0;29.130;0;161.0;55:31.521;10:25;0:18.961;0:45.406;0:29.130;267.4;Julien SCHELL;;
29;0;12;1:48.377;0;B;19.167;0;45.470;0;43.740;0;138.9;57:19.898;10:27;0:19.167;0:45.470;0:43.740;267.4;Julien SCHELL;;
34;1;1;41:41.394;0;;40:22.544;0;47.322;0;31.528;0;6.0;41:41.394;10:11;40:22.544;0:47.322;0:31.528;;Franck MAILLEUX;0:40:00.950;
34;1;2;7:28.473;0;B;18.916;0;44.426;0;6:25.131;0;33.6;49:09.866;10:19;0:18.916;0:44.426;6:25.131;267.4;Franck MAILLEUX;;
34;1;3;2:28.076;0;;1:12.705;0;46.496;0;28.875;0;101.7;51:37.942;10:21;1:12.705;0:46.496;0:28.875;;Franck MAILLEUX;0:00:53.713;
34;1;4;1:31.780;2;;18.798;2;44.369;2;28.613;2;164.0;53:09.722;10:23;0:18.798;0:44.369;0:28.613;264.8;Franck MAILLEUX;;
