NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;0;1;3:06.901;0;;1:45.124;0;52.958;0;28.819;0;80.6;3:06.901;15:12;1:45.124;0:52.958;0:28.819;;Markus POMMER;0:01:19.514;
1;0;2;1:29.984;0;;18.503;0;43.405;0;28.076;0;167.3;4:36.885;15:13;0:18.503;0:43.405;0:28.076;267.4;Markus POMMER;;
1;0;3;1:29.292;2;;18.444;0;42.924;2;27.924;2;168.6;6:06.177;15:15;0:18.444;0:42.924;0:27.924;265.4;Markus POMMER;;
1;0;4;1:41.864;0;;18.296;2;51.187;0;32.381;0;147.8;7:48.041;15:16;0:18.296;0:51.187;0:32.381;269.3;Markus POMMER;;
1;0;5;1:29.721;0;;18.370;0;43.159;0;28.192;0;167.8;9:17.762;15:18;0:18.370;0:43.159;0:28.192;265.4;Markus POMMER;;
1;0;6;1:30.234;0;;18.361;0;43.204;0;28.669;0;166.8;10:47.996;15:19;0:18.361;0:43.204;0:28.669;266.7;Markus POMMER;;
11;0;1;1:55.975;0;;34.960;0;51.533;0;29.482;0;129.8;1:55.975;15:10;0:34.960;0:51.533;0:29.482;;Tamas PAL KISS;0:00:08.954;
11;0;2;1:30.997;0;;19.089;0;43.688;0;28.220;0;165.4;3:26.972;15:12;0:19.089;0:43.688;0:28.220;261.0;Tamas PAL KISS;;
11;0;3;1:28.759;3;;18.396;0;42.592;3;27.771;2;169.6;4:55.731;15:13;0:18.396;0:42.592;0:27.771;269.3;Tamas PAL KISS;;
11;0;4;1:38.826;0;;21.380;0;49.608;0;27.838;0;152.3;6:34.557;15:15;0:21.380;0:49.608;0:27.838;271.3;Tamas PAL KISS;;
11;0;5;1:29.174;0;;18.234;0;42.755;0;28.185;0;168.8;8:03.731;15:17;0:18.234;0:42.755;0:28.185;269.3;Tamas PAL KISS;;
11;0;6;1:29.011;0;;18.066;3;43.096;0;27.849;0;169.1;9:32.742;15:18;0:18.066;0:43.096;0:27.849;269.3;Tamas PAL KISS;;
15;0;1;3:09.504;0;;1:47.773;0;51.391;0;30.340;0;79.4;3:09.504;15:12;1:47.773;0:51.391;0:30.340;;Shinya MICHIMI;0:01:21.976;
15;0;2;1:31.207;0;;19.071;0;43.551;0;28.585;0;165.1;4:40.711;15:13;0:19.071;0:43.551;0:28.585;270.0;Shinya MICHIMI;;
15;0;3;1:29.484;2;;18.409;0;43.265;0;27.810;2;168.2;6:10.195;15:15;0:18.409;0:43.265;0:27.810;270.7;Shinya MICHIMI;;
15;0;4;1:33.346;0;;18.397;2;43.107;2;31.842;0;161.3;7:43.541;15:16;0:18.397;0:43.107;0:31.842;272.7;Shinya MICHIMI;;
15;0;5;1:41.416;0;;20.437;0;51.610;0;29.369;0;148.4;9:24.957;15:18;0:20.437;0:51.610;0:29.369;270.0;Shinya MICHIMI;;
15;0;6;1:43.545;0;B;18.417;0;47.779;0;37.349;0;145.4;11:08.502;15:20;0:18.417;0:47.779;0:37.349;272.0;Shinya MICHIMI;;
2;0;1;2:58.411;0;;1:26.069;0;1:01.204;0;31.138;0;84.4;2:58.411;15:11;1:26.069;1:01.204;0:31.138;;Francesco DRACONE;0:01:02.961;
2;0;2;1:34.133;0;;19.366;0;45.274;0;29.493;0;159.9;4:32.544;15:13;0:19.366;0:45.274;0:29.493;265.4;Francesco DRACONE;;
2;0;3;1:32.179;0;;19.134;0;44.409;0;28.636;2;163.3;6:04.723;15:15;0:19.134;0:44.409;0:28.636;264.2;Francesco DRACONE;;
2;0;4;1:31.817;2;;18.813;0;43.923;2;29.081;0;164.0;7:36.540;15:16;0:18.813;0:43.923;0:29.081;265.4;Francesco DRACONE;;
2;0;5;1:32.072;0;;18.784;2;44.342;0;28.946;0;163.5;9:08.612;15:18;0:18.784;0:44.342;0:28.946;266.1;Francesco DRACONE;;
2;0;6;1:43.631;0;B;18.842;0;44.179;0;40.610;0;145.3;10:52.243;15:19;0:18.842;0:44.179;0:40.610;268.7;Francesco DRACONE;;
4;0;1;1:51.071;0;;32.917;0;49.030;0;29.124;0;135.5;1:51.071;15:10;0:32.917;0:49.030;0:29.124;;Andrea RODA;0:00:07.429;
4;0;2;1:31.128;0;;18.958;0;44.099;0;28.071;0;165.2;3:22.199;15:12;0:18.958;0:44.099;0:28.071;266.1;Andrea RODA;;
4;0;3;1:29.527;2;;18.433;0;43.182;0;27.912;2;168.2;4:51.726;15:13;0:18.433;0:43.182;0:27.912;269.3;Andrea RODA;;
4;0;4;1:29.566;0;;18.320;0;43.205;0;28.041;0;168.1;6:21.292;15:15;0:18.320;0:43.205;0:28.041;268.7;Andrea RODA;;
4;0;5;1:29.932;0;;18.198;2;43.165;2;28.569;0;167.4;7:51.224;15:16;0:18.198;0:43.165;0:28.569;269.3;Andrea RODA;;
4;0;6;1:43.496;0;;21.341;0;53.704;0;28.451;0;145.5;9:34.720;15:18;0:21.341;0:53.704;0:28.451;272.0;Andrea RODA;;
