NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
24;1;1;3:27.424;0;;1:57.649;0;48.878;0;40.897;0;85.2;3:27.424;10:18;1:57.649;0:48.878;0:40.897;184.4;Jan CHAROUZ;0:01:31.073;
24;1;2;1:49.153;0;;22.838;0;47.004;0;39.311;0;161.9;5:16.577;10:20;0:22.838;0:47.004;0:39.311;260.9;Jan CHAROUZ;;
24;1;3;1:45.381;0;;21.721;0;45.656;0;38.004;0;167.7;7:01.958;10:22;0:21.721;0:45.656;0:38.004;269.5;Jan CHAROUZ;;
24;1;4;1:44.190;0;;23.062;0;43.481;0;37.647;0;169.6;8:46.148;10:23;0:23.062;0:43.481;0:37.647;270.2;Jan CHAROUZ;;
24;1;5;1:43.639;0;;21.209;0;44.654;0;37.776;0;170.5;10:29.787;10:25;0:21.209;0:44.654;0:37.776;270.2;Jan CHAROUZ;;
24;1;6;6:03.104;0;B;21.104;0;41.959;0;5:00.041;0;48.7;16:32.891;10:31;0:21.104;0:41.959;5:00.041;270.9;Jan CHAROUZ;;
24;1;7;1:59.536;0;;36.636;0;44.989;0;37.911;0;147.8;18:32.427;10:33;0:36.636;0:44.989;0:37.911;191.0;Jan CHAROUZ;0:04:38.682;
24;1;8;1:42.959;0;;21.098;0;44.080;0;37.781;0;171.6;20:15.386;10:35;0:21.098;0:44.080;0:37.781;270.9;Jan CHAROUZ;;
24;1;9;1:41.849;0;;20.992;0;42.251;0;38.606;0;173.5;21:57.235;10:36;0:20.992;0:42.251;0:38.606;270.2;Jan CHAROUZ;;
24;1;10;1:39.656;0;;20.816;0;41.689;0;37.151;0;177.3;23:36.891;10:38;0:20.816;0:41.689;0:37.151;269.5;Jan CHAROUZ;;
24;1;11;1:38.758;0;;20.751;0;41.111;1;36.896;1;178.9;25:15.649;10:40;0:20.751;0:41.111;0:36.896;268.2;Jan CHAROUZ;;
24;1;12;6:56.833;0;B;20.673;1;41.576;0;5:54.584;0;42.4;32:12.482;10:47;0:20.673;0:41.576;5:54.584;271.6;Jan CHAROUZ;;
24;0;13;1:58.906;0;;37.420;0;43.908;0;37.578;0;148.6;34:11.388;10:49;0:37.420;0:43.908;0:37.578;185.0;Vincent CAPILLAIRE;0:05:33.835;
24;0;14;1:40.265;0;;20.693;0;42.116;0;37.456;0;176.3;35:51.653;10:50;0:20.693;0:42.116;0:37.456;268.9;Vincent CAPILLAIRE;;
