NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;0;1;15:54.171;0;B;;0;;0;;0;18.5;15:54.171;15:20;;;;;Gael CASTELLI;;
1;0;2;2:15.055;0;;39.077;0;50.941;0;45.037;0;130.9;18:09.226;15:23;0:39.077;0:50.941;0:45.037;171.8;Gael CASTELLI;;
1;0;3;1:47.014;0;;22.338;0;45.182;0;39.494;0;165.1;19:56.240;15:24;0:22.338;0:45.182;0:39.494;266.2;Gael CASTELLI;;
1;0;4;1:47.037;0;;22.593;0;45.013;4;39.431;0;165.1;21:43.277;15:26;0:22.593;0:45.013;0:39.431;265.5;Gael CASTELLI;;
1;0;5;1:46.701;2;;22.147;2;45.194;0;39.360;2;165.6;23:29.978;15:28;0:22.147;0:45.194;0:39.360;268.9;Gael CASTELLI;;
10;0;1;15:38.685;0;B;;0;;0;;0;18.8;15:38.685;15:20;;;;;Romain MONTI;;
10;0;2;2:36.755;0;;54.839;0;57.732;0;44.184;0;112.7;18:15.440;15:23;0:54.839;0:57.732;0:44.184;110.5;Romain MONTI;;
10;0;3;1:47.830;0;;22.325;0;45.595;0;39.910;0;163.9;20:03.270;15:25;0:22.325;0:45.595;0:39.910;265.5;Romain MONTI;;
10;0;4;1:47.727;2;;22.318;0;45.533;0;39.876;2;164.0;21:50.997;15:26;0:22.318;0:45.533;0:39.876;264.8;Romain MONTI;;
10;0;5;1:47.762;0;;22.326;0;45.468;2;39.968;0;164.0;23:38.759;15:28;0:22.326;0:45.468;0:39.968;265.5;Romain MONTI;;
10;0;6;1:47.835;0;;22.305;2;45.617;0;39.913;0;163.9;25:26.594;15:30;0:22.305;0:45.617;0:39.913;266.2;Romain MONTI;;
107;0;1;16:02.044;0;B;;0;;0;;0;18.4;16:02.044;15:21;;;;;Antoine LEPESQUEUX;;
107;0;2;2:25.474;0;;46.453;0;55.511;0;43.510;0;121.5;18:27.518;15:23;0:46.453;0:55.511;0:43.510;164.1;Antoine LEPESQUEUX;;
107;0;3;1:50.532;0;;23.148;0;46.912;0;40.472;0;159.9;20:18.050;15:25;0:23.148;0:46.912;0:40.472;262.2;Antoine LEPESQUEUX;;
107;0;4;1:48.785;0;;22.711;0;46.103;0;39.971;2;162.5;22:06.835;15:27;0:22.711;0:46.103;0:39.971;264.2;Antoine LEPESQUEUX;;
107;0;5;1:48.731;0;;22.772;0;45.905;2;40.054;0;162.5;23:55.566;15:28;0:22.772;0:45.905;0:40.054;264.8;Antoine LEPESQUEUX;;
107;0;6;1:48.522;2;;22.543;2;45.971;0;40.008;0;162.8;25:44.088;15:30;0:22.543;0:45.971;0:40.008;264.8;Antoine LEPESQUEUX;;
11;0;1;3:29.725;0;;1:54.069;0;54.270;0;41.386;0;84.3;3:29.725;15:08;1:54.069;0:54.270;0:41.386;132.3;Roar LINDLAND;0:01:22.967;
11;0;2;1:48.095;0;;22.593;0;45.919;0;39.583;0;163.5;5:17.820;15:10;0:22.593;0:45.919;0:39.583;266.2;Roar LINDLAND;;
11;0;3;1:47.604;2;;22.364;2;45.570;2;39.670;0;164.2;7:05.424;15:12;0:22.364;0:45.570;0:39.670;268.9;Roar LINDLAND;;
11;0;4;1:59.610;0;;23.759;0;55.396;0;40.455;0;147.8;9:05.034;15:14;0:23.759;0:55.396;0:40.455;269.5;Roar LINDLAND;;
11;0;5;1:48.282;0;;22.572;0;46.070;0;39.640;0;163.2;10:53.316;15:15;0:22.572;0:46.070;0:39.640;270.2;Roar LINDLAND;;
11;0;6;1:48.034;0;;22.582;0;45.943;0;39.509;2;163.6;12:41.350;15:17;0:22.582;0:45.943;0:39.509;268.9;Roar LINDLAND;;
11;0;7;1:53.454;0;;22.676;0;49.060;0;41.718;0;155.8;14:34.804;15:19;0:22.676;0:49.060;0:41.718;267.5;Roar LINDLAND;;
12;0;1;17:36.718;0;;16:03.480;0;51.096;0;42.142;0;16.7;17:36.718;15:22;16:03.480;0:51.096;0:42.142;154.1;Massimo MONTI;0:15:35.016;
12;0;2;1:47.890;0;;22.665;0;45.519;0;39.706;0;163.8;19:24.608;15:24;0:22.665;0:45.519;0:39.706;265.5;Massimo MONTI;;
12;0;3;1:54.403;0;;22.622;0;52.007;0;39.774;0;154.5;21:19.011;15:26;0:22.622;0:52.007;0:39.774;268.2;Massimo MONTI;;
12;0;4;1:46.981;0;;22.303;2;45.405;0;39.273;2;165.2;23:05.992;15:28;0:22.303;0:45.405;0:39.273;268.9;Massimo MONTI;;
12;0;5;1:46.941;2;;22.311;0;45.331;2;39.299;0;165.3;24:52.933;15:29;0:22.311;0:45.331;0:39.299;268.9;Massimo MONTI;;
12;0;6;1:47.358;0;;22.449;0;45.535;0;39.374;0;164.6;26:40.291;15:31;0:22.449;0:45.535;0:39.374;268.9;Massimo MONTI;;
13;0;1;2:37.259;0;;1:00.147;0;53.081;0;44.031;0;112.4;2:37.259;15:07;1:00.147;0:53.081;0:44.031;129.7;Oleksander GAIDAI;0:00:29.372;
13;0;2;1:55.424;0;;22.817;0;45.709;0;46.898;0;153.1;4:32.683;15:09;0:22.817;0:45.709;0:46.898;264.8;Oleksander GAIDAI;;
