NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
24;0;1;2:08.563;0;;46.473;0;30.482;0;51.608;0;162.2;2:08.563;15:02;0:46.473;0:30.482;0:51.608;267.3;Vincent CAPILLAIRE;0:00:06.602;
24;0;2;1:54.867;0;;35.068;0;29.546;0;50.253;0;181.5;4:03.430;15:04;0:35.068;0:29.546;0:50.253;272.0;Vincent CAPILLAIRE;;
24;0;3;1:53.610;0;;34.283;0;29.387;0;49.940;0;183.5;5:57.040;15:05;0:34.283;0:29.387;0:49.940;271.4;Vincent CAPILLAIRE;;
24;0;4;2:03.367;0;B;33.947;0;29.680;0;59.740;0;169.0;8:00.407;15:08;0:33.947;0:29.680;0:59.740;263.4;Vincent CAPILLAIRE;;
24;0;5;4:55.786;0;;3:35.324;0;29.227;0;51.235;0;70.5;12:56.193;15:12;3:35.324;0:29.227;0:51.235;278.4;Vincent CAPILLAIRE;0:03:10.244;
24;0;6;1:53.774;0;;34.498;0;29.415;0;49.861;1;183.2;14:49.967;15:14;0:34.498;0:29.415;0:49.861;272.0;Vincent CAPILLAIRE;;
24;0;7;1:55.545;0;;34.287;0;29.209;0;52.049;0;180.4;16:45.512;15:16;0:34.287;0:29.209;0:52.049;275.5;Vincent CAPILLAIRE;;
24;0;8;1:56.298;0;;34.562;0;31.027;0;50.709;0;179.3;18:41.810;15:18;0:34.562;0:31.027;0:50.709;273.4;Vincent CAPILLAIRE;;
24;0;9;1:53.867;0;;33.758;1;29.151;2;50.958;0;183.1;20:35.677;15:20;0:33.758;0:29.151;0:50.958;278.4;Vincent CAPILLAIRE;;
24;0;10;1:53.441;0;;34.109;0;29.272;0;50.060;0;183.8;22:29.118;15:22;0:34.109;0:29.272;0:50.060;275.5;Vincent CAPILLAIRE;;
24;0;11;2:03.411;0;B;34.218;0;29.285;0;59.908;0;168.9;24:32.529;15:24;0:34.218;0:29.285;0:59.908;274.1;Vincent CAPILLAIRE;;
24;1;12;5:58.291;0;;4:35.841;0;29.937;0;52.513;0;58.2;30:30.820;15:30;4:35.841;0:29.937;0:52.513;274.1;Andrea RODA;0:04:06.551;
