NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
15;0;1;1:59.950;0;;32.146;0;53.786;0;34.018;0;125.5;1:59.950;13:02;0:32.146;0:53.786;0:34.018;;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;2;1:49.615;0;;23.212;0;54.352;0;32.051;0;137.3;3:49.565;13:04;0:23.212;0:54.352;0:32.051;249.8;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;3;1:43.492;0;;21.664;0;49.847;0;31.981;0;145.5;5:33.057;13:05;0:21.664;0:49.847;0:31.981;255.6;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;4;1:42.590;0;;21.526;0;49.254;0;31.810;0;146.8;7:15.647;13:07;0:21.526;0:49.254;0:31.810;256.8;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;5;1:42.570;0;;21.520;0;49.021;0;32.029;0;146.8;8:58.217;13:09;0:21.520;0:49.021;0:32.029;258.6;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;6;1:41.310;0;;21.549;0;48.617;0;31.144;2;148.6;10:39.527;13:11;0:21.549;0:48.617;0:31.144;255.0;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;7;1:41.821;0;;20.840;0;49.329;0;31.652;0;147.9;12:21.348;13:12;0:20.840;0:49.329;0:31.652;255.0;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;8;1:40.924;2;;21.047;0;48.608;2;31.269;0;149.2;14:02.272;13:14;0:21.047;0:48.608;0:31.269;253.8;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;9;1:41.402;0;;20.862;0;49.115;0;31.425;0;148.5;15:43.674;13:16;0:20.862;0:49.115;0:31.425;253.8;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;10;1:41.099;0;;20.959;0;48.820;0;31.320;0;148.9;17:24.773;13:17;0:20.959;0:48.820;0:31.320;255.0;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;11;1:41.295;0;;21.035;0;49.006;0;31.254;0;148.6;19:06.068;13:19;0:21.035;0:49.006;0:31.254;257.4;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;12;1:54.247;0;;20.837;0;48.760;0;44.650;0;131.8;21:00.315;13:21;0:20.837;0:48.760;0:44.650;255.6;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;13;1:42.637;0;;22.256;0;48.817;0;31.564;0;146.7;22:42.952;13:23;0:22.256;0:48.817;0:31.564;232.4;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;14;1:42.837;0;;21.326;0;48.966;0;32.545;0;146.4;24:25.789;13:24;0:21.326;0:48.966;0:32.545;253.8;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;15;1:42.672;0;;21.680;0;49.415;0;31.577;0;146.6;26:08.461;13:26;0:21.680;0:49.415;0:31.577;255.6;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;16;1:41.035;0;;20.834;0;48.777;0;31.424;0;149.0;27:49.496;13:28;0:20.834;0:48.777;0:31.424;255.0;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;17;1:42.416;0;;21.088;0;49.490;0;31.838;0;147.0;29:31.912;13:29;0:21.088;0:49.490;0:31.838;256.8;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;18;1:42.257;0;;21.366;0;48.708;0;32.183;0;147.2;31:14.169;13:31;0:21.366;0:48.708;0:32.183;259.2;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;19;1:41.093;0;;20.851;0;48.802;0;31.440;0;148.9;32:55.262;13:33;0:20.851;0:48.802;0:31.440;254.4;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;20;1:41.701;0;;20.786;0;48.914;0;32.001;0;148.0;34:36.963;13:35;0:20.786;0:48.914;0:32.001;253.8;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;21;1:41.594;0;;20.927;0;49.166;0;31.501;0;148.2;36:18.557;13:36;0:20.927;0:49.166;0:31.501;252.1;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;22;1:41.519;0;;20.726;0;49.066;0;31.727;0;148.3;38:00.076;13:38;0:20.726;0:49.066;0:31.727;253.8;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
