NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;1;1;32:01.677;0;;30:34.881;0;46.334;0;40.462;0;9.2;32:01.677;10:32;30:34.881;0:46.334;0:40.462;170.1;Mark SHULZHITSKIY;0:30:09.024;LMP3;;Lanan Racing;Ginetta;
11;1;2;1:47.144;0;;22.697;0;45.073;0;39.374;0;164.9;33:48.821;10:33;0:22.697;0:45.073;0:39.374;255.9;Mark SHULZHITSKIY;;LMP3;;Lanan Racing;Ginetta;
11;1;3;1:44.983;0;;21.963;0;44.091;0;38.929;0;168.3;35:33.804;10:35;0:21.963;0:44.091;0:38.929;260.9;Mark SHULZHITSKIY;;LMP3;;Lanan Racing;Ginetta;
11;1;4;1:44.997;0;;21.900;0;43.427;0;39.670;0;168.3;37:18.801;10:37;0:21.900;0:43.427;0:39.670;264.1;Mark SHULZHITSKIY;;LMP3;;Lanan Racing;Ginetta;
11;1;5;1:44.137;0;;21.874;0;43.359;0;38.904;0;169.7;39:02.938;10:39;0:21.874;0:43.359;0:38.904;263.4;Mark SHULZHITSKIY;;LMP3;;Lanan Racing;Ginetta;
11;1;6;1:43.830;0;;21.829;0;43.179;0;38.822;0;170.2;40:46.768;10:40;0:21.829;0:43.179;0:38.822;264.7;Mark SHULZHITSKIY;;LMP3;;Lanan Racing;Ginetta;
11;1;7;1:42.996;2;;21.394;2;42.907;2;38.695;2;171.6;42:29.764;10:42;0:21.394;0:42.907;0:38.695;265.4;Mark SHULZHITSKIY;;LMP3;;Lanan Racing;Ginetta;
11;1;8;1:45.619;0;;21.559;0;43.708;0;40.352;0;167.3;44:15.383;10:44;0:21.559;0:43.708;0:40.352;266.7;Mark SHULZHITSKIY;;LMP3;;Lanan Racing;Ginetta;
11;1;9;1:45.358;0;;21.703;0;44.611;0;39.044;0;167.7;46:00.741;10:46;0:21.703;0:44.611;0:39.044;265.4;Mark SHULZHITSKIY;;LMP3;;Lanan Racing;Ginetta;
11;1;10;1:44.552;0;;21.432;0;44.212;0;38.908;0;169.0;47:45.293;10:47;0:21.432;0:44.212;0:38.908;265.4;Mark SHULZHITSKIY;;LMP3;;Lanan Racing;Ginetta;
11;1;11;1:44.305;0;;21.681;0;43.390;0;39.234;0;169.4;49:29.598;10:49;0:21.681;0:43.390;0:39.234;265.4;Mark SHULZHITSKIY;;LMP3;;Lanan Racing;Ginetta;
15;0;1;32:05.016;0;;30:35.629;0;47.287;0;42.100;0;9.2;32:05.016;10:32;30:35.629;0:47.287;0:42.100;167.4;Konstantin CALKO;0:30:10.911;LMP3;;SVK By Speed Factory;Ginetta;
