NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
15;0;1;2:54.583;0;;1:25.981;0;33.192;0;55.410;0;119.4;2:54.583;15:02;1:25.981;0:33.192;0:55.410;267.3;Konstantin CALKO;0:00:48.183;LMP3;;SVK By Speed Factory;Ginetta;
15;0;2;2:02.059;0;;36.234;0;29.859;0;55.966;0;170.8;4:56.642;15:04;0:36.234;0:29.859;0:55.966;282.7;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;3;1:59.116;0;;36.231;0;29.897;0;52.988;0;175.0;6:55.758;15:06;0:36.231;0:29.897;0:52.988;281.2;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;4;1:59.766;0;;36.683;0;30.038;0;53.045;0;174.1;8:55.524;15:08;0:36.683;0:30.038;0:53.045;281.2;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;5;2:38.183;0;B;36.515;0;29.938;0;1:31.730;0;131.8;11:33.707;15:11;0:36.515;0:29.938;1:31.730;279.8;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;6;5:54.147;0;;4:25.154;0;30.273;0;58.720;0;58.9;17:27.854;15:17;4:25.154;0:30.273;0:58.720;264.7;Konstantin CALKO;0:03:59.365;LMP3;;SVK By Speed Factory;Ginetta;
15;0;7;1:59.740;0;;36.436;0;29.817;0;53.487;0;174.1;19:27.594;15:19;0:36.436;0:29.817;0:53.487;282.0;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;8;1:58.570;0;;36.130;0;29.624;2;52.816;0;175.8;21:26.164;15:21;0:36.130;0:29.624;0:52.816;285.0;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;9;1:58.305;0;;36.133;0;29.881;0;52.291;2;176.2;23:24.469;15:23;0:36.133;0:29.881;0:52.291;279.8;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;10;1:58.833;0;;36.049;0;30.001;0;52.783;0;175.4;25:23.302;15:25;0:36.049;0:30.001;0:52.783;278.4;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;11;2:05.340;0;;36.011;2;29.798;0;59.531;0;166.3;27:28.642;15:27;0:36.011;0:29.798;0:59.531;279.1;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;12;1:58.193;2;;36.100;0;29.750;0;52.343;0;176.4;29:26.835;15:29;0:36.100;0:29.750;0:52.343;280.5;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;13;2:11.891;0;B;37.037;0;29.781;0;1:05.073;0;158.1;31:38.726;15:31;0:37.037;0:29.781;1:05.073;280.5;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;14;5:04.597;0;;3:34.094;0;32.809;0;57.694;0;68.4;36:43.323;15:36;3:34.094;0:32.809;0:57.694;274.8;Konstantin CALKO;0:03:06.609;LMP3;;SVK By Speed Factory;Ginetta;
15;0;15;2:22.874;0;B;38.884;0;32.261;0;1:11.729;0;145.9;39:06.197;15:39;0:38.884;0:32.261;1:11.729;275.5;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
