NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;0;1;6:06.559;0;;;0;;0;38.644;0;57.9;6:06.559;14:16;;;0:38.644;226.4;Alex CRAVEN;0:04:51.774;LMP3;;Lanan Racing;Ginetta;
11;0;2;2:14.912;0;;41.110;0;57.919;0;35.883;0;157.2;8:21.471;14:18;0:41.110;0:57.919;0:35.883;234.3;Alex CRAVEN;;LMP3;;Lanan Racing;Ginetta;
11;0;3;2:09.682;0;;39.685;0;54.984;1;35.013;1;163.5;10:31.153;14:20;0:39.685;0:54.984;0:35.013;241.1;Alex CRAVEN;;LMP3;;Lanan Racing;Ginetta;
11;0;4;2:11.326;0;;38.744;0;55.735;0;36.847;0;161.5;12:42.479;14:22;0:38.744;0:55.735;0:36.847;235.3;Alex CRAVEN;;LMP3;;Lanan Racing;Ginetta;
11;0;5;2:10.232;0;;38.945;0;55.410;0;35.877;0;162.8;14:52.711;14:24;0:38.945;0:55.410;0:35.877;238.4;Alex CRAVEN;;LMP3;;Lanan Racing;Ginetta;
11;0;6;2:09.314;0;;38.623;1;55.108;0;35.583;0;164.0;17:02.025;14:27;0:38.623;0:55.108;0:35.583;242.2;Alex CRAVEN;;LMP3;;Lanan Racing;Ginetta;
11;0;7;2:08.963;0;;38.918;0;55.013;0;35.032;0;164.4;19:10.988;14:29;0:38.918;0:55.013;0:35.032;243.2;Alex CRAVEN;;LMP3;;Lanan Racing;Ginetta;
11;0;8;2:11.266;0;;39.086;0;55.884;0;36.296;0;161.6;21:22.254;14:31;0:39.086;0:55.884;0:36.296;238.4;Alex CRAVEN;;LMP3;;Lanan Racing;Ginetta;
11;0;9;2:09.785;0;;39.087;0;55.470;0;35.228;0;163.4;23:32.039;14:33;0:39.087;0:55.470;0:35.228;242.2;Alex CRAVEN;;LMP3;;Lanan Racing;Ginetta;
11;2;10;8:22.557;0;;39.966;0;6:48.506;0;54.085;0;42.2;31:54.596;14:41;0:39.966;6:48.506;0:54.085;110.3;Charlie HOLLINGS;0:05:32.246;LMP3;;Lanan Racing;Ginetta;
11;2;11;16:54.334;0;;1:00.917;0;15:17.423;0;35.994;0;20.9;48:48.930;14:58;1:00.917;15:17.423;0:35.994;237.9;Charlie HOLLINGS;0:14:14.693;LMP3;;Lanan Racing;Ginetta;
11;2;12;2:08.020;0;;39.033;0;54.163;0;34.824;0;165.7;50:56.950;15:00;0:39.033;0:54.163;0:34.824;238.9;Charlie HOLLINGS;;LMP3;;Lanan Racing;Ginetta;
11;2;13;2:05.944;0;;38.135;0;53.556;0;34.253;0;168.4;53:02.894;15:03;0:38.135;0:53.556;0:34.253;240.5;Charlie HOLLINGS;;LMP3;;Lanan Racing;Ginetta;
11;2;14;2:05.706;0;;37.706;0;53.109;0;34.891;0;168.7;55:08.600;15:05;0:37.706;0:53.109;0:34.891;243.8;Charlie HOLLINGS;;LMP3;;Lanan Racing;Ginetta;
11;2;15;2:04.507;2;;37.871;0;52.718;0;33.918;0;170.3;57:13.107;15:07;0:37.871;0:52.718;0:33.918;243.2;Charlie HOLLINGS;;LMP3;;Lanan Racing;Ginetta;
11;2;16;2:04.641;0;;38.054;0;52.695;1;33.892;1;170.1;59:17.748;15:09;0:38.054;0:52.695;0:33.892;242.7;Charlie HOLLINGS;;LMP3;;Lanan Racing;Ginetta;
11;2;17;2:04.526;0;;37.615;0;52.922;0;33.989;0;170.3;1:01:22.274;15:11;0:37.615;0:52.922;0:33.989;244.9;Charlie HOLLINGS;;LMP3;;Lanan Racing;Ginetta;
11;2;18;2:17.815;0;;39.446;0;58.027;0;40.342;0;153.9;1:03:40.089;15:13;0:39.446;0:58.027;0:40.342;170.9;Charlie HOLLINGS;;LMP3;;Lanan Racing;Ginetta;
11;2;19;2:13.140;0;;40.402;0;57.282;0;35.456;0;159.3;1:05:53.229;15:15;0:40.402;0:57.282;0:35.456;193.9;Charlie HOLLINGS;;LMP3;;Lanan Racing;Ginetta;
11;1;20;5:51.704;0;;37.443;2;4:37.940;0;36.321;0;60.3;1:11:44.933;15:21;0:37.443;4:37.940;0:36.321;236.8;Joey FOSTER;0:03:33.629;LMP3;;Lanan Racing;Ginetta;
11;1;21;11:32.199;0;;39.600;0;10:17.637;0;34.962;0;30.6;1:23:17.132;15:33;0:39.600;10:17.637;0:34.962;239.5;Joey FOSTER;0:09:13.907;LMP3;;Lanan Racing;Ginetta;
11;1;22;2:05.047;0;;37.899;0;53.327;0;33.821;2;169.6;1:25:22.179;15:35;0:37.899;0:53.327;0:33.821;241.1;Joey FOSTER;;LMP3;;Lanan Racing;Ginetta;
11;1;23;2:04.628;0;;38.126;0;52.666;0;33.836;0;170.2;1:27:26.807;15:37;0:38.126;0:52.666;0:33.836;242.2;Joey FOSTER;;LMP3;;Lanan Racing;Ginetta;
11;1;24;2:05.441;0;;37.544;0;52.248;2;35.649;0;169.1;1:29:32.248;15:39;0:37.544;0:52.248;0:35.649;241.1;Joey FOSTER;;LMP3;;Lanan Racing;Ginetta;
11;1;25;2:06.361;0;;39.210;0;52.707;0;34.444;0;167.8;1:31:38.609;15:41;0:39.210;0:52.707;0:34.444;242.2;Joey FOSTER;;LMP3;;Lanan Racing;Ginetta;
15;0;1;9:21.113;0;;;0;;0;44.697;0;37.8;9:21.113;14:19;;;0:44.697;180.0;Konstantin CALKO;0:07:57.715;LMP3;;SVK By Speed Factory;Ginetta;
15;0;2;5:37.051;0;;46.688;0;4:13.166;0;37.197;0;62.9;14:58.164;14:24;0:46.688;4:13.166;0:37.197;220.0;Konstantin CALKO;0:03:10.830;LMP3;;SVK By Speed Factory;Ginetta;
15;0;3;2:13.268;0;;39.782;0;57.128;0;36.358;0;159.1;17:11.432;14:27;0:39.782;0:57.128;0:36.358;222.7;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;4;2:10.762;0;;41.021;0;54.718;0;35.023;0;162.2;19:22.194;14:29;0:41.021;0:54.718;0:35.023;224.1;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;5;2:07.804;2;;38.898;0;53.969;2;34.937;2;165.9;21:29.998;14:31;0:38.898;0:53.969;0:34.937;225.0;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;6;4:19.257;0;;40.151;0;3:02.678;0;36.428;0;81.8;25:49.255;14:35;0:40.151;3:02.678;0:36.428;223.1;Konstantin CALKO;0:02:05.902;LMP3;;SVK By Speed Factory;Ginetta;
15;0;7;2:11.136;0;;38.875;2;56.113;0;36.148;0;161.7;28:00.391;14:38;0:38.875;0:56.113;0:36.148;221.8;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;1;8;11:04.978;0;;40.268;0;9:46.779;0;37.931;0;31.9;39:05.369;14:49;0:40.268;9:46.779;0:37.931;215.6;Jesus FUSTER;0:08:44.056;LMP3;;SVK By Speed Factory;Ginetta;
15;1;9;2:15.693;0;;41.872;0;57.755;0;36.066;0;156.3;41:21.062;14:51;0:41.872;0:57.755;0:36.066;222.2;Jesus FUSTER;;LMP3;;SVK By Speed Factory;Ginetta;
15;1;10;2:10.666;0;;39.659;0;55.394;0;35.613;0;162.3;43:31.728;14:53;0:39.659;0:55.394;0:35.613;228.3;Jesus FUSTER;;LMP3;;SVK By Speed Factory;Ginetta;
15;1;11;2:10.573;0;;39.386;0;55.354;0;35.833;0;162.4;45:42.301;14:55;0:39.386;0:55.354;0:35.833;226.9;Jesus FUSTER;;LMP3;;SVK By Speed Factory;Ginetta;
15;1;12;2:10.908;0;;40.205;0;54.851;0;35.852;0;162.0;47:53.209;14:57;0:40.205;0:54.851;0:35.852;225.0;Jesus FUSTER;;LMP3;;SVK By Speed Factory;Ginetta;
15;1;13;2:08.622;0;;39.224;0;54.459;1;34.939;1;164.9;50:01.831;15:00;0:39.224;0:54.459;0:34.939;228.8;Jesus FUSTER;;LMP3;;SVK By Speed Factory;Ginetta;
15;1;14;2:12.526;0;;39.223;1;56.859;0;36.444;0;160.0;52:14.357;15:02;0:39.223;0:56.859;0:36.444;228.3;Jesus FUSTER;;LMP3;;SVK By Speed Factory;Ginetta;
