NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;2:42.459;0;;1:04.178;0;1:01.750;0;36.531;0;92.7;2:42.459;08:02:42.459;1:04.178;1:01.750;0:36.531;;John FALB;0:00:34.231;LMP3;;Graff;LIGIER;
10;0;2;1:55.852;0;;24.400;0;55.826;0;35.626;0;130.0;4:38.311;08:04:38.311;0:24.400;0:55.826;0:35.626;244.8;John FALB;;LMP3;;Graff;LIGIER;
10;0;3;1:54.388;0;;24.204;0;54.907;0;35.277;0;131.6;6:32.699;08:06:32.699;0:24.204;0:54.907;0:35.277;227.1;John FALB;;LMP3;;Graff;LIGIER;
10;0;4;1:53.012;0;;23.477;0;53.931;0;35.604;0;133.2;8:25.711;08:08:25.711;0:23.477;0:53.931;0:35.604;249.2;John FALB;;LMP3;;Graff;LIGIER;
10;0;5;1:53.982;0;;23.601;0;54.739;0;35.642;0;132.1;10:19.693;08:10:19.693;0:23.601;0:54.739;0:35.642;250.4;John FALB;;LMP3;;Graff;LIGIER;
10;0;6;1:51.827;0;;22.876;0;53.418;0;35.533;0;134.6;12:11.520;08:12:11.520;0:22.876;0:53.418;0:35.533;250.4;John FALB;;LMP3;;Graff;LIGIER;
10;0;7;1:51.819;0;;22.615;0;53.775;0;35.429;0;134.6;14:03.339;08:14:03.339;0:22.615;0:53.775;0:35.429;251.5;John FALB;;LMP3;;Graff;LIGIER;
10;0;8;2:02.290;0;B;23.686;0;55.082;0;43.522;0;123.1;16:05.629;08:16:05.629;0:23.686;0:55.082;0:43.522;252.1;John FALB;;LMP3;;Graff;LIGIER;
10;0;9;3:07.793;0;;1:37.793;0;54.470;0;35.530;0;80.2;19:13.422;08:19:13.422;1:37.793;0:54.470;0:35.530;;John FALB;0:01:14.191;LMP3;;Graff;LIGIER;
10;0;10;1:53.732;0;;22.785;0;55.192;0;35.755;0;132.4;21:07.154;08:21:07.154;0:22.785;0:55.192;0:35.755;251.5;John FALB;;LMP3;;Graff;LIGIER;
10;0;11;2:15.358;0;;23.360;0;53.839;0;58.159;0;111.2;23:22.512;08:23:22.512;0:23.360;0:53.839;0:58.159;234.9;John FALB;;LMP3;;Graff;LIGIER;
10;0;12;1:52.061;0;;22.847;0;53.539;0;35.675;0;134.3;25:14.573;08:25:14.573;0:22.847;0:53.539;0:35.675;250.9;John FALB;;LMP3;;Graff;LIGIER;
10;0;13;2:00.393;0;B;22.796;0;54.616;0;42.981;0;125.1;27:14.966;08:27:14.966;0:22.796;0:54.616;0:42.981;253.2;John FALB;;LMP3;;Graff;LIGIER;
10;1;14;3:40.348;0;;2:07.336;0;55.203;0;37.809;0;68.3;30:55.314;08:30:55.314;2:07.336;0:55.203;0:37.809;;Sean RAYHALL;0:01:43.454;LMP3;;Graff;LIGIER;
10;1;15;1:52.296;0;;23.097;0;53.541;0;35.658;0;134.1;32:47.610;08:32:47.610;0:23.097;0:53.541;0:35.658;252.7;Sean RAYHALL;;LMP3;;Graff;LIGIER;
10;1;16;1:51.267;0;;22.806;0;53.633;0;34.828;0;135.3;34:38.877;08:34:38.877;0:22.806;0:53.633;0:34.828;256.2;Sean RAYHALL;;LMP3;;Graff;LIGIER;
10;1;17;1:50.626;0;;22.837;0;53.053;0;34.736;0;136.1;36:29.503;08:36:29.503;0:22.837;0:53.053;0:34.736;255.0;Sean RAYHALL;;LMP3;;Graff;LIGIER;
10;1;18;2:01.510;0;B;22.665;0;55.869;0;42.976;0;123.9;38:31.013;08:38:31.013;0:22.665;0:55.869;0:42.976;256.8;Sean RAYHALL;;LMP3;;Graff;LIGIER;
