NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;1;1;3:54.754;0;;2:29.345;0;35.401;0;50.008;0;75.3;3:54.754;14:43:54.754;2:29.345;0:35.401;0:50.008;183.1;Sean RAYHALL;0:02:04.832;LMP3;;GRAFF;LIGIER;
10;1;2;1:45.392;0;;23.740;0;33.640;0;48.012;0;167.7;5:40.146;14:45:40.146;0:23.740;0:33.640;0:48.012;251.2;Sean RAYHALL;;LMP3;;GRAFF;LIGIER;
10;1;3;1:42.894;0;;22.372;0;32.934;0;47.588;0;171.8;7:23.040;14:47:23.040;0:22.372;0:32.934;0:47.588;254.1;Sean RAYHALL;;LMP3;;GRAFF;LIGIER;
10;1;4;1:44.076;0;;22.125;0;33.026;0;48.925;0;169.8;9:07.116;14:49:07.116;0:22.125;0:33.026;0:48.925;255.3;Sean RAYHALL;;LMP3;;GRAFF;LIGIER;
10;1;5;2:02.986;0;B;22.244;0;33.648;0;1:07.094;0;143.7;11:10.102;14:51:10.102;0:22.244;0:33.648;1:07.094;254.7;Sean RAYHALL;;LMP3;;GRAFF;LIGIER;
10;0;6;4:02.707;0;;2:36.686;0;36.312;0;49.709;0;72.8;15:12.809;14:55:12.809;2:36.686;0:36.312;0:49.709;184.6;John FALB;0:02:33.112;LMP3;;GRAFF;LIGIER;
10;0;7;1:48.071;0;;22.848;0;34.479;0;50.744;0;163.5;17:00.880;14:57:00.880;0:22.848;0:34.479;0:50.744;253.5;John FALB;;LMP3;;GRAFF;LIGIER;
10;0;8;1:45.764;0;;22.683;0;34.047;0;49.034;0;167.1;18:46.644;14:58:46.644;0:22.683;0:34.047;0:49.034;258.4;John FALB;;LMP3;;GRAFF;LIGIER;
10;0;9;1:46.043;0;;23.142;0;34.156;0;48.745;0;166.7;20:32.687;15:00:32.687;0:23.142;0:34.156;0:48.745;225.5;John FALB;;LMP3;;GRAFF;LIGIER;
10;0;10;1:45.849;0;;22.498;0;33.885;0;49.466;0;167.0;22:18.536;15:02:18.536;0:22.498;0:33.885;0:49.466;255.9;John FALB;;LMP3;;GRAFF;LIGIER;
10;0;11;1:46.248;0;;22.900;0;34.649;0;48.699;0;166.3;24:04.784;15:04:04.784;0:22.900;0:34.649;0:48.699;256.5;John FALB;;LMP3;;GRAFF;LIGIER;
10;0;12;1:45.780;0;;23.023;0;33.951;0;48.806;0;167.1;25:50.564;15:05:50.564;0:23.023;0:33.951;0:48.806;256.5;John FALB;;LMP3;;GRAFF;LIGIER;
10;0;13;1:44.308;0;;22.214;0;33.686;0;48.408;1;169.4;27:34.872;15:07:34.872;0:22.214;0:33.686;0:48.408;255.9;John FALB;;LMP3;;GRAFF;LIGIER;
10;0;14;2:05.079;0;B;22.255;0;35.058;0;1:07.766;0;141.3;29:39.951;15:09:39.951;0:22.255;0:35.058;1:07.766;255.9;John FALB;;LMP3;;GRAFF;LIGIER;
10;2;15;6:32.039;0;;4:28.031;0;1:08.579;0;55.429;0;45.1;36:11.990;15:16:11.990;4:28.031;1:08.579;0:55.429;63.1;Vicente POTOLICCHIO;0:03:58.451;LMP3;;GRAFF;LIGIER;
10;2;16;2:43.756;0;B;23.924;0;46.277;0;1:33.555;0;107.9;38:55.746;15:18:55.746;0:23.924;0:46.277;1:33.555;254.7;Vicente POTOLICCHIO;;LMP3;;GRAFF;LIGIER;
10;2;17;3:24.398;0;;1:58.711;0;35.745;0;49.942;0;86.5;42:20.144;15:22:20.144;1:58.711;0:35.745;0:49.942;180.9;Vicente POTOLICCHIO;0:01:54.926;LMP3;;GRAFF;LIGIER;
10;2;18;1:48.194;0;;22.936;0;35.083;0;50.175;0;163.3;44:08.338;15:24:08.338;0:22.936;0:35.083;0:50.175;253.5;Vicente POTOLICCHIO;;LMP3;;GRAFF;LIGIER;
10;2;19;1:47.882;0;;22.816;0;35.480;0;49.586;0;163.8;45:56.220;15:25:56.220;0:22.816;0:35.480;0:49.586;256.5;Vicente POTOLICCHIO;;LMP3;;GRAFF;LIGIER;
10;2;20;1:46.531;0;;22.488;0;34.533;0;49.510;0;165.9;47:42.751;15:27:42.751;0:22.488;0:34.533;0:49.510;254.7;Vicente POTOLICCHIO;;LMP3;;GRAFF;LIGIER;
10;2;21;1:45.760;0;;22.540;0;34.083;0;49.137;0;167.1;49:28.511;15:29:28.511;0:22.540;0:34.083;0:49.137;255.3;Vicente POTOLICCHIO;;LMP3;;GRAFF;LIGIER;
10;2;22;3:29.884;0;;42.727;0;1:08.779;0;1:38.378;0;84.2;52:58.395;15:32:58.395;0:42.727;1:08.779;1:38.378;135.8;Vicente POTOLICCHIO;;LMP3;;GRAFF;LIGIER;
