NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;1;1;1:59.981;0;;52.381;0;40.504;0;27.096;0;129.8;1:59.981;08:46:59.981;0:52.381;0:40.504;0:27.096;216.0;Sean RAYHALL;0:00:26.619;LMP3;;Graff;LIGIER;
10;1;2;1:28.773;0;;22.910;0;39.146;0;26.717;0;175.4;3:28.754;08:48:28.754;0:22.910;0:39.146;0:26.717;233.3;Sean RAYHALL;;LMP3;;Graff;LIGIER;
10;1;3;1:34.236;0;;23.309;0;41.818;0;29.109;0;165.3;5:02.990;08:50:02.990;0:23.309;0:41.818;0:29.109;237.4;Sean RAYHALL;;LMP3;;Graff;LIGIER;
10;1;4;1:27.684;0;;22.562;0;38.843;0;26.279;0;177.6;6:30.674;08:51:30.674;0:22.562;0:38.843;0:26.279;235.3;Sean RAYHALL;;LMP3;;Graff;LIGIER;
10;1;5;1:27.549;0;;22.278;2;39.063;0;26.208;0;177.9;7:58.223;08:52:58.223;0:22.278;0:39.063;0:26.208;237.4;Sean RAYHALL;;LMP3;;Graff;LIGIER;
10;1;6;1:27.194;2;;22.345;0;38.711;2;26.138;0;178.6;9:25.417;08:54:25.417;0:22.345;0:38.711;0:26.138;235.8;Sean RAYHALL;;LMP3;;Graff;LIGIER;
10;1;7;1:33.567;0;B;22.357;0;39.153;0;32.057;0;166.4;10:58.984;08:55:58.984;0:22.357;0:39.153;0:32.057;235.3;Sean RAYHALL;;LMP3;;Graff;LIGIER;
10;1;8;5:21.599;0;;4:13.599;0;41.630;0;26.370;0;48.4;16:20.583;09:01:20.583;4:13.599;0:41.630;0:26.370;225.9;Sean RAYHALL;0:03:56.352;LMP3;;Graff;LIGIER;
10;1;9;1:27.383;0;;22.489;0;38.798;0;26.096;2;178.2;17:47.966;09:02:47.966;0:22.489;0:38.798;0:26.096;234.8;Sean RAYHALL;;LMP3;;Graff;LIGIER;
10;1;10;1:47.930;0;B;22.374;0;48.740;0;36.816;0;144.3;19:35.896;09:04:35.896;0:22.374;0:48.740;0:36.816;235.8;Sean RAYHALL;;LMP3;;Graff;LIGIER;
10;0;11;6:37.474;0;;5:29.169;0;40.829;0;27.476;0;39.2;26:13.370;09:11:13.370;5:29.169;0:40.829;0:27.476;225.0;John FALB;0:05:11.102;LMP3;;Graff;LIGIER;
10;0;12;1:30.033;0;;23.005;0;39.842;0;27.186;0;173.0;27:43.403;09:12:43.403;0:23.005;0:39.842;0:27.186;229.8;John FALB;;LMP3;;Graff;LIGIER;
10;0;13;1:32.733;0;;23.274;0;41.036;0;28.423;0;167.9;29:16.136;09:14:16.136;0:23.274;0:41.036;0:28.423;231.3;John FALB;;LMP3;;Graff;LIGIER;
10;0;14;1:29.716;0;;23.392;0;39.510;0;26.814;0;173.6;30:45.852;09:15:45.852;0:23.392;0:39.510;0:26.814;231.8;John FALB;;LMP3;;Graff;LIGIER;
10;0;15;1:28.583;0;;22.842;1;39.148;1;26.593;0;175.8;32:14.435;09:17:14.435;0:22.842;0:39.148;0:26.593;232.3;John FALB;;LMP3;;Graff;LIGIER;
10;0;16;1:29.450;0;;22.852;0;40.025;0;26.573;1;174.1;33:43.885;09:18:43.885;0:22.852;0:40.025;0:26.573;231.8;John FALB;;LMP3;;Graff;LIGIER;
10;0;17;2:10.906;0;;1:02.819;0;40.608;0;27.479;0;119.0;35:54.791;09:20:54.791;1:02.819;0:40.608;0:27.479;204.5;John FALB;;LMP3;;Graff;LIGIER;
10;0;18;1:30.876;0;;23.620;0;39.156;0;28.100;0;171.4;37:25.667;09:22:25.667;0:23.620;0:39.156;0:28.100;236.3;John FALB;;LMP3;;Graff;LIGIER;
10;0;19;1:30.986;0;;22.897;0;40.144;0;27.945;0;171.2;38:56.653;09:23:56.653;0:22.897;0:40.144;0:27.945;227.8;John FALB;;LMP3;;Graff;LIGIER;
10;0;20;1:34.237;0;;23.428;0;43.425;0;27.384;0;165.3;40:30.890;09:25:30.890;0:23.428;0:43.425;0:27.384;228.8;John FALB;;LMP3;;Graff;LIGIER;
10;0;21;1:32.007;0;;24.196;0;39.508;0;28.303;0;169.3;42:02.897;09:27:02.897;0:24.196;0:39.508;0:28.303;233.8;John FALB;;LMP3;;Graff;LIGIER;
10;0;22;1:30.711;0;;23.390;0;39.710;0;27.611;0;171.7;43:33.608;09:28:33.608;0:23.390;0:39.710;0:27.611;235.8;John FALB;;LMP3;;Graff;LIGIER;
10;0;23;1:49.667;0;;42.297;0;40.156;0;27.214;0;142.0;45:23.275;09:30:23.275;0:42.297;0:40.156;0:27.214;219.5;John FALB;;LMP3;;Graff;LIGIER;
10;0;24;1:30.841;0;;23.017;0;39.943;0;27.881;0;171.4;46:54.116;09:31:54.116;0:23.017;0:39.943;0:27.881;234.8;John FALB;;LMP3;;Graff;LIGIER;
