NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;1;1;22:53.601;0;;;0;;0;39.969;0;15.5;22:53.601;11:12;;;0:39.969;228.8;Sean RAYHALL;0:21:40.213;LMP3;;GRAFF;LIGIER;
10;1;2;2:20.665;0;;43.333;0;59.365;0;37.967;0;151.0;25:14.266;11:15;0:43.333;0:59.365;0:37.967;238.4;Sean RAYHALL;;LMP3;;GRAFF;LIGIER;
10;1;3;2:17.554;0;;42.111;0;58.421;0;37.022;0;154.4;27:31.820;11:17;0:42.111;0:58.421;0:37.022;237.9;Sean RAYHALL;;LMP3;;GRAFF;LIGIER;
10;1;4;2:15.681;2;;40.962;0;57.157;2;37.562;0;156.6;29:47.501;11:19;0:40.962;0:57.157;0:37.562;240.0;Sean RAYHALL;;LMP3;;GRAFF;LIGIER;
10;1;5;2:24.957;0;;40.694;2;1:07.774;0;36.489;2;146.6;32:12.458;11:22;0:40.694;1:07.774;0:36.489;240.5;Sean RAYHALL;;LMP3;;GRAFF;LIGIER;
11;0;1;21:36.230;0;;;0;;0;41.985;0;16.4;21:36.230;11:11;;;0:41.985;230.3;Giorgio MONDINI;0:20:16.284;LMP3;;EUROINTERNATIONAL;LIGIER;
11;0;2;2:51.618;0;;46.469;0;1:04.434;0;1:00.715;0;123.8;24:27.848;11:14;0:46.469;1:04.434;1:00.715;237.4;Giorgio MONDINI;;LMP3;;EUROINTERNATIONAL;LIGIER;
11;0;3;2:23.816;0;;44.733;0;1:00.491;0;38.592;0;147.7;26:51.664;11:16;0:44.733;1:00.491;0:38.592;237.4;Giorgio MONDINI;;LMP3;;EUROINTERNATIONAL;LIGIER;
11;0;4;2:21.518;0;;43.805;0;59.452;0;38.261;0;150.1;29:13.182;11:19;0:43.805;0:59.452;0:38.261;238.9;Giorgio MONDINI;;LMP3;;EUROINTERNATIONAL;LIGIER;
11;0;5;2:17.808;2;;41.854;2;58.537;2;37.417;2;154.2;31:30.990;11:21;0:41.854;0:58.537;0:37.417;240.0;Giorgio MONDINI;;LMP3;;EUROINTERNATIONAL;LIGIER;
13;0;1;21:58.870;0;;;0;;0;50.543;0;16.1;21:58.870;11:11;;;0:50.543;169.0;Jakub SMIECHOWSKI;0:20:20.028;LMP3;;Inter Europol Competition;LIGIER;
13;0;2;2:31.726;0;;48.436;0;1:02.680;0;40.610;0;140.0;24:30.596;11:14;0:48.436;1:02.680;0:40.610;235.8;Jakub SMIECHOWSKI;;LMP3;;Inter Europol Competition;LIGIER;
13;0;3;2:25.453;0;;44.239;0;59.645;0;41.569;0;146.1;26:56.049;11:16;0:44.239;0:59.645;0:41.569;188.8;Jakub SMIECHOWSKI;;LMP3;;Inter Europol Competition;LIGIER;
13;0;4;2:17.899;2;;42.078;2;57.938;2;37.883;2;154.1;29:13.948;11:19;0:42.078;0:57.938;0:37.883;239.5;Jakub SMIECHOWSKI;;LMP3;;Inter Europol Competition;LIGIER;
