NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;2;1;17:00.724;0;;15:43.908;0;34.204;0;42.612;0;16.4;17:00.724;14:57:00.724;15:43.908;0:34.204;0:42.612;;Dario CAPITANIO;0:15:11.054;LMP3;;Oregon Team;Norma;
10;2;2;8:02.030;0;B;5:42.879;0;1:02.207;0;1:16.944;0;34.7;25:02.754;15:05:02.754;5:42.879;1:02.207;1:16.944;256.5;Dario CAPITANIO;;LMP3;;Oregon Team;Norma;
10;2;3;3:39.857;0;;2:21.006;0;35.352;0;43.499;0;76.2;28:42.610;15:08:42.611;2:21.006;0:35.352;0:43.499;;Dario CAPITANIO;0:01:43.395;LMP3;;Oregon Team;Norma;
10;2;4;2:18.855;0;;32.390;0;32.239;2;1:14.226;0;120.6;31:01.465;15:11:01.466;0:32.390;0:32.239;1:14.226;257.1;Dario CAPITANIO;;LMP3;;Oregon Team;Norma;
10;2;5;3:31.068;0;B;1:13.052;0;1:01.068;0;1:16.948;0;79.3;34:32.533;15:14:32.534;1:13.052;1:01.068;1:16.948;79.0;Dario CAPITANIO;;LMP3;;Oregon Team;Norma;
10;2;6;4:02.451;0;;2:42.580;0;34.737;0;45.134;0;69.1;38:34.984;15:18:34.985;2:42.580;0:34.737;0:45.134;;Dario CAPITANIO;0:02:15.490;LMP3;;Oregon Team;Norma;
10;2;7;1:41.621;0;;32.073;2;32.426;0;37.122;2;164.8;40:16.605;15:20:16.606;0:32.073;0:32.426;0:37.122;257.8;Dario CAPITANIO;;LMP3;;Oregon Team;Norma;
11;0;1;17:44.728;0;;16:30.532;0;34.359;0;39.837;0;15.7;17:44.728;14:57:44.728;16:30.532;0:34.359;0:39.837;;Giorgio MONDINI;0:15:56.892;LMP3;;Eurointernational;Ligier;
11;0;2;3:10.906;0;B;52.142;0;1:01.198;0;1:17.566;0;87.7;20:55.634;15:00:55.634;0:52.142;1:01.198;1:17.566;251.2;Giorgio MONDINI;;LMP3;;Eurointernational;Ligier;
11;0;3;7:40.749;0;;6:24.711;0;34.908;0;41.130;0;36.3;28:36.382;15:08:36.383;6:24.711;0:34.908;0:41.130;;Giorgio MONDINI;0:05:48.677;LMP3;;Eurointernational;Ligier;
11;0;4;2:01.983;0;B;31.923;0;32.492;0;57.568;0;137.3;30:38.365;15:10:38.366;0:31.923;0:32.492;0:57.568;254.7;Giorgio MONDINI;;LMP3;;Eurointernational;Ligier;
