NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;2:14.775;0;;51.850;0;41.323;0;41.602;0;154.7;2:14.775;14:32:54.993;0:51.850;0:41.323;0:41.602;194.6;Stefano COMINI;;;;Comtoyou Racing;;
1;0;2;2:01.376;0;;38.368;0;41.745;0;41.263;2;171.8;4:16.151;14:34:56.369;0:38.368;0:41.745;0:41.263;241.6;Stefano COMINI;;;;Comtoyou Racing;;
1;0;3;2:00.409;2;;38.285;2;40.720;2;41.404;0;173.2;6:16.560;14:36:56.778;0:38.285;0:40.720;0:41.404;250.0;Stefano COMINI;;;;Comtoyou Racing;;
1;0;4;2:02.424;0;;39.715;0;41.295;0;41.414;0;170.3;8:18.984;14:38:59.202;0:39.715;0:41.295;0:41.414;231.8;Stefano COMINI;;;;Comtoyou Racing;;
1;0;5;2:00.824;0;;38.619;0;40.744;0;41.461;0;172.6;10:19.808;14:41:00.026;0:38.619;0:40.744;0:41.461;238.9;Stefano COMINI;;;;Comtoyou Racing;;
1;0;6;2:02.335;0;;39.583;0;40.961;0;41.791;0;170.5;12:22.143;14:43:02.361;0:39.583;0:40.961;0:41.791;221.8;Stefano COMINI;;;;Comtoyou Racing;;
1;0;7;2:01.805;0;;39.379;0;40.890;0;41.536;0;171.2;14:23.948;14:45:04.166;0:39.379;0:40.890;0:41.536;236.3;Stefano COMINI;;;;Comtoyou Racing;;
1;0;8;2:01.201;0;;38.579;0;41.114;0;41.508;0;172.1;16:25.149;14:47:05.367;0:38.579;0:41.114;0:41.508;241.6;Stefano COMINI;;;;Comtoyou Racing;;
1;0;9;2:01.265;0;;38.594;0;41.193;0;41.478;0;172.0;18:26.414;14:49:06.632;0:38.594;0:41.193;0:41.478;238.9;Stefano COMINI;;;;Comtoyou Racing;;
1;0;10;2:00.956;0;;38.456;0;41.024;0;41.476;0;172.4;20:27.370;14:51:07.588;0:38.456;0:41.024;0:41.476;246.0;Stefano COMINI;;;;Comtoyou Racing;;
1;0;11;2:00.922;0;;38.476;0;40.938;0;41.508;0;172.5;22:28.292;14:53:08.510;0:38.476;0:40.938;0:41.508;241.1;Stefano COMINI;;;;Comtoyou Racing;;
10;0;1;2:12.417;0;;46.953;0;42.548;0;42.916;0;157.5;2:12.417;14:32:52.635;0:46.953;0:42.548;0:42.916;193.2;Gianni MORBIDELLI;;;;West Coast Racing;;
10;0;2;2:02.035;0;;39.094;0;41.607;0;41.334;2;170.9;4:14.452;14:34:54.670;0:39.094;0:41.607;0:41.334;241.1;Gianni MORBIDELLI;;;;West Coast Racing;;
10;0;3;2:01.704;0;;39.053;0;41.073;0;41.578;0;171.4;6:16.156;14:36:56.374;0:39.053;0:41.073;0:41.578;220.9;Gianni MORBIDELLI;;;;West Coast Racing;;
10;0;4;2:02.247;0;;39.168;0;41.617;0;41.462;0;170.6;8:18.403;14:38:58.621;0:39.168;0:41.617;0:41.462;239.5;Gianni MORBIDELLI;;;;West Coast Racing;;
10;0;5;2:00.971;2;;38.532;2;40.978;2;41.461;0;172.4;10:19.374;14:40:59.592;0:38.532;0:40.978;0:41.461;241.6;Gianni MORBIDELLI;;;;West Coast Racing;;
10;0;6;2:04.095;0;;41.661;0;41.011;0;41.423;0;168.1;12:23.469;14:43:03.687;0:41.661;0:41.011;0:41.423;233.3;Gianni MORBIDELLI;;;;West Coast Racing;;
10;0;7;2:02.113;0;;38.630;0;41.621;0;41.862;0;170.8;14:25.582;14:45:05.800;0:38.630;0:41.621;0:41.862;240.5;Gianni MORBIDELLI;;;;West Coast Racing;;
10;0;8;2:02.025;0;;38.993;0;41.310;0;41.722;0;170.9;16:27.607;14:47:07.825;0:38.993;0:41.310;0:41.722;237.9;Gianni MORBIDELLI;;;;West Coast Racing;;
10;0;9;2:01.412;0;;38.605;0;41.274;0;41.533;0;171.8;18:29.019;14:49:09.237;0:38.605;0:41.274;0:41.533;241.6;Gianni MORBIDELLI;;;;West Coast Racing;;
10;0;10;2:01.331;0;;38.597;0;41.301;0;41.433;0;171.9;20:30.350;14:51:10.568;0:38.597;0:41.301;0:41.433;242.7;Gianni MORBIDELLI;;;;West Coast Racing;;
10;0;11;2:01.497;0;;38.611;0;41.115;0;41.771;0;171.6;22:31.847;14:53:12.065;0:38.611;0:41.115;0:41.771;242.7;Gianni MORBIDELLI;;;;West Coast Racing;;
11;0;1;2:12.684;0;;46.085;0;42.371;0;44.228;0;157.2;2:12.684;14:32:52.902;0:46.085;0:42.371;0:44.228;184.6;Jens Reno MØLLER;;;;Reno Racing;;
11;0;2;2:05.642;0;;39.783;0;43.332;0;42.527;0;166.0;4:18.326;14:34:58.544;0:39.783;0:43.332;0:42.527;229.3;Jens Reno MØLLER;;;;Reno Racing;;
11;0;3;2:03.390;0;;39.072;0;42.033;0;42.285;0;169.0;6:21.716;14:37:01.934;0:39.072;0:42.033;0:42.285;244.9;Jens Reno MØLLER;;;;Reno Racing;;
11;0;4;2:04.379;0;;40.255;0;42.041;0;42.083;0;167.7;8:26.095;14:39:06.313;0:40.255;0:42.041;0:42.083;241.6;Jens Reno MØLLER;;;;Reno Racing;;
11;0;5;2:03.548;0;;39.001;0;42.302;0;42.245;0;168.8;10:29.643;14:41:09.861;0:39.001;0:42.302;0:42.245;243.8;Jens Reno MØLLER;;;;Reno Racing;;
11;0;6;2:02.229;0;;38.822;0;41.596;0;41.811;0;170.6;12:31.872;14:43:12.090;0:38.822;0:41.596;0:41.811;244.3;Jens Reno MØLLER;;;;Reno Racing;;
11;0;7;2:02.157;0;;38.644;0;41.758;0;41.755;0;170.7;14:34.029;14:45:14.247;0:38.644;0:41.758;0:41.755;244.9;Jens Reno MØLLER;;;;Reno Racing;;
11;0;8;2:02.451;0;;38.836;0;41.677;0;41.938;0;170.3;16:36.480;14:47:16.698;0:38.836;0:41.677;0:41.938;242.7;Jens Reno MØLLER;;;;Reno Racing;;
11;0;9;2:01.827;0;;38.750;0;41.322;0;41.755;0;171.2;18:38.307;14:49:18.525;0:38.750;0:41.322;0:41.755;244.3;Jens Reno MØLLER;;;;Reno Racing;;
11;0;10;2:01.418;2;;38.423;2;41.288;2;41.707;2;171.8;20:39.725;14:51:19.943;0:38.423;0:41.288;0:41.707;243.8;Jens Reno MØLLER;;;;Reno Racing;;
11;0;11;2:01.873;0;;38.670;0;41.316;0;41.887;0;171.1;22:41.598;14:53:21.816;0:38.670;0:41.316;0:41.887;244.3;Jens Reno MØLLER;;;;Reno Racing;;
14;0;1;2:07.209;0;;43.480;0;42.023;0;41.706;0;163.9;2:07.209;14:32:47.427;0:43.480;0:42.023;0:41.706;198.5;Jaap VAN LAGEN;;;;Leopard Racing Team WRT;;
