NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;2;1;2:02.768;0;;44.541;0;40.155;0;38.072;0;169.9;2:02.768;13:33:21.500;0:44.541;0:40.155;0:38.072;193.9;Dario CAPITANIO;;LMP3;;Oregon Team;Norma;
10;2;2;1:51.770;0;;35.939;0;37.662;0;38.169;0;186.6;3:54.538;13:35:13.270;0:35.939;0:37.662;0:38.169;257.1;Dario CAPITANIO;;LMP3;;Oregon Team;Norma;
10;2;3;1:50.091;0;;35.444;0;37.449;0;37.198;0;189.4;5:44.629;13:37:03.361;0:35.444;0:37.449;0:37.198;;Dario CAPITANIO;;LMP3;;Oregon Team;Norma;
10;2;4;1:49.275;0;;34.705;0;37.358;0;37.212;0;190.8;7:33.904;13:38:52.636;0:34.705;0:37.358;0:37.212;274.1;Dario CAPITANIO;;LMP3;;Oregon Team;Norma;
10;2;5;1:49.224;0;;34.812;0;37.248;0;37.164;0;190.9;9:23.128;13:40:41.860;0:34.812;0:37.248;0:37.164;270.0;Dario CAPITANIO;;LMP3;;Oregon Team;Norma;
10;2;6;1:49.839;0;;34.814;0;37.552;0;37.473;0;189.9;11:12.967;13:42:31.699;0:34.814;0:37.552;0:37.473;274.1;Dario CAPITANIO;;LMP3;;Oregon Team;Norma;
10;2;7;1:55.202;0;;39.802;0;37.867;0;37.533;0;181.0;13:08.169;13:44:26.901;0:39.802;0:37.867;0:37.533;259.6;Dario CAPITANIO;;LMP3;;Oregon Team;Norma;
10;2;8;1:50.939;0;;34.834;0;37.555;0;38.550;0;188.0;14:59.108;13:46:17.840;0:34.834;0:37.555;0:38.550;276.2;Dario CAPITANIO;;LMP3;;Oregon Team;Norma;
10;2;9;3:30.293;0;;35.134;0;1:21.373;0;1:33.786;0;99.2;18:29.401;13:49:48.133;0:35.134;1:21.373;1:33.786;266.7;Dario CAPITANIO;;LMP3;;Oregon Team;Norma;
10;2;10;4:24.474;0;;1:28.001;0;1:22.705;0;1:33.768;0;78.9;22:53.875;13:54:12.607;1:28.001;1:22.705;1:33.768;78.5;Dario CAPITANIO;;LMP3;;Oregon Team;Norma;
