NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;2;1;24:32.673;0;;22:49.652;0;1:05.869;0;37.152;0;17.1;24:32.673;13:59:32.673;22:49.652;1:05.869;0:37.152;240.8;Dario CAPITANIO;0:22:11.398;LMP3;;Oregon Team;Norma;
10;2;2;2:16.836;0;;40.356;0;1:01.263;0;35.217;0;184.3;26:49.509;14:01:49.509;0:40.356;1:01.263;0:35.217;249.1;Dario CAPITANIO;;LMP3;;Oregon Team;Norma;
10;2;3;2:15.335;0;;39.843;0;1:00.555;2;34.937;2;186.3;29:04.844;14:04:04.844;0:39.843;1:00.555;0:34.937;258.0;Dario CAPITANIO;;LMP3;;Oregon Team;Norma;
10;2;4;2:15.307;2;;39.383;2;1:00.879;0;35.045;0;186.3;31:20.151;14:06:20.151;0:39.383;1:00.879;0:35.045;265.6;Dario CAPITANIO;;LMP3;;Oregon Team;Norma;
10;2;5;2:16.128;0;;39.846;0;1:01.090;0;35.192;0;185.2;33:36.279;14:08:36.279;0:39.846;1:01.090;0:35.192;258.6;Dario CAPITANIO;;LMP3;;Oregon Team;Norma;
10;2;6;2:23.945;0;B;39.466;0;1:01.194;0;43.285;0;175.2;36:00.224;14:11:00.224;0:39.466;1:01.194;0:43.285;262.4;Dario CAPITANIO;;LMP3;;Oregon Team;Norma;
11;0;1;25:46.677;0;;24:02.542;0;1:07.185;0;36.950;0;16.3;25:46.677;14:00:46.677;24:02.542;1:07.185;0:36.950;251.4;Giorgio MONDINI;0:23:25.424;LMP3;;Eurointernational;Ligier;
11;0;2;2:15.990;0;;39.744;0;1:01.001;2;35.245;0;185.4;28:02.667;14:03:02.667;0:39.744;1:01.001;0:35.245;256.8;Giorgio MONDINI;;LMP3;;Eurointernational;Ligier;
11;0;3;2:27.127;0;;42.679;0;1:07.357;0;37.091;0;171.4;30:29.794;14:05:29.794;0:42.679;1:07.357;0:37.091;248.5;Giorgio MONDINI;;LMP3;;Eurointernational;Ligier;
11;0;4;2:16.263;0;;39.643;0;1:01.327;0;35.293;0;185.0;32:46.057;14:07:46.057;0:39.643;1:01.327;0:35.293;259.9;Giorgio MONDINI;;LMP3;;Eurointernational;Ligier;
11;0;5;2:15.654;2;;39.315;2;1:01.124;0;35.215;2;185.9;35:01.711;14:10:01.711;0:39.315;1:01.124;0:35.215;262.4;Giorgio MONDINI;;LMP3;;Eurointernational;Ligier;
12;1;1;24:37.590;0;;22:51.009;0;1:05.731;0;40.850;0;17.1;24:37.590;13:59:37.590;22:51.009;1:05.731;0:40.850;229.1;Ricky CAPO;0:22:13.689;LMP3;;Eurointernational;Ligier;
12;1;2;2:17.210;0;;39.855;0;1:01.874;0;35.481;0;183.8;26:54.800;14:01:54.800;0:39.855;1:01.874;0:35.481;256.2;Ricky CAPO;;LMP3;;Eurointernational;Ligier;
12;1;3;2:16.000;0;;39.601;0;1:01.147;2;35.252;0;185.4;29:10.800;14:04:10.800;0:39.601;1:01.147;0:35.252;260.5;Ricky CAPO;;LMP3;;Eurointernational;Ligier;
12;1;4;2:15.978;2;;39.374;0;1:01.376;0;35.228;2;185.4;31:26.778;14:06:26.778;0:39.374;1:01.376;0:35.228;261.7;Ricky CAPO;;LMP3;;Eurointernational;Ligier;
12;1;5;2:16.092;0;;39.489;0;1:01.244;0;35.359;0;185.3;33:42.870;14:08:42.870;0:39.489;1:01.244;0:35.359;261.1;Ricky CAPO;;LMP3;;Eurointernational;Ligier;
12;1;6;2:16.338;0;;39.268;2;1:01.715;0;35.355;0;184.9;35:59.208;14:10:59.208;0:39.268;1:01.715;0:35.355;263.0;Ricky CAPO;;LMP3;;Eurointernational;Ligier;
13;0;1;24:33.577;0;;22:46.253;0;1:08.632;0;38.692;0;17.1;24:33.577;13:59:33.577;22:46.253;1:08.632;0:38.692;222.5;Jakub SMIECHOWSKI;0:22:06.966;LMP3;;Inter Europol Competition;Ligier;
13;0;2;2:17.552;0;;39.717;0;1:02.438;0;35.397;0;183.3;26:51.129;14:01:51.129;0:39.717;1:02.438;0:35.397;260.5;Jakub SMIECHOWSKI;;LMP3;;Inter Europol Competition;Ligier;
13;0;3;2:16.218;0;;39.423;0;1:01.524;0;35.271;2;185.1;29:07.347;14:04:07.347;0:39.423;1:01.524;0:35.271;261.7;Jakub SMIECHOWSKI;;LMP3;;Inter Europol Competition;Ligier;
13;0;4;2:16.384;0;;39.475;0;1:01.556;0;35.353;0;184.9;31:23.731;14:06:23.731;0:39.475;1:01.556;0:35.353;262.4;Jakub SMIECHOWSKI;;LMP3;;Inter Europol Competition;Ligier;
13;0;5;2:16.064;0;;39.464;0;1:01.188;0;35.412;0;185.3;33:39.795;14:08:39.795;0:39.464;1:01.188;0:35.412;262.4;Jakub SMIECHOWSKI;;LMP3;;Inter Europol Competition;Ligier;
