NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
018;0;1;2:26.756;0;;1:00.201;0;41.098;0;45.457;0;107.6;2:26.756;08:32:26.756;1:00.201;0:41.098;0:45.457;;Phil Jenkins;0:00:20.972;420R;;McMM;;
018;0;2;2:02.509;0;;38.409;0;39.070;0;45.030;0;136.7;4:29.265;08:34:29.265;0:38.409;0:39.070;0:45.030;206.1;Phil Jenkins;;420R;;McMM;;
018;0;3;2:02.523;0;;38.885;0;39.289;0;44.349;0;136.7;6:31.788;08:36:31.788;0:38.885;0:39.289;0:44.349;210.1;Phil Jenkins;;420R;;McMM;;
018;0;4;2:02.970;0;;38.897;0;38.684;0;45.389;0;136.2;8:34.758;08:38:34.758;0:38.897;0:38.684;0:45.389;214.7;Phil Jenkins;;420R;;McMM;;
018;0;5;2:01.518;0;;38.149;0;38.822;0;44.547;0;137.8;10:36.276;08:40:36.276;0:38.149;0:38.822;0:44.547;210.1;Phil Jenkins;;420R;;McMM;;
018;0;6;3:06.283;0;B;40.192;0;52.976;0;1:33.115;0;89.9;13:42.559;08:43:42.559;0:40.192;0:52.976;1:33.115;213.9;Phil Jenkins;;420R;;McMM;;
018;0;7;9:34.375;0;;7:40.839;0;49.196;0;1:04.340;0;29.2;23:16.934;08:53:16.934;7:40.839;0:49.196;1:04.340;;Phil Jenkins;0:07:11.223;420R;;McMM;;
018;0;8;3:07.920;0;B;50.714;0;46.087;0;1:31.119;0;89.1;26:24.854;08:56:24.854;0:50.714;0:46.087;1:31.119;123.9;Phil Jenkins;;420R;;McMM;;
018;0;9;2:49.273;0;;1:24.602;0;39.217;0;45.454;0;99.0;29:14.127;08:59:14.127;1:24.602;0:39.217;0:45.454;;Phil Jenkins;0:00:56.667;420R;;McMM;;
018;0;10;2:03.368;0;;37.418;0;38.395;2;47.555;0;135.8;31:17.495;09:01:17.495;0:37.418;0:38.395;0:47.555;213.4;Phil Jenkins;;420R;;McMM;;
018;0;11;2:04.740;0;;37.187;3;39.293;0;48.260;0;134.3;33:22.235;09:03:22.235;0:37.187;0:39.293;0:48.260;215.1;Phil Jenkins;;420R;;McMM;;
018;0;12;2:49.726;0;B;37.567;0;42.793;0;1:29.366;0;98.7;36:11.961;09:06:11.961;0:37.567;0:42.793;1:29.366;215.6;Phil Jenkins;;420R;;McMM;;
018;0;13;6:48.746;0;;5:19.026;0;44.906;0;44.814;0;41.0;43:00.707;09:13:00.707;5:19.026;0:44.906;0:44.814;;Phil Jenkins;0:04:44.433;420R;;McMM;;
018;0;14;2:00.526;0;;37.565;0;38.399;0;44.562;0;139.0;45:01.233;09:15:01.233;0:37.565;0:38.399;0:44.562;210.1;Phil Jenkins;;420R;;McMM;;
018;0;15;2:00.954;0;;37.690;0;38.643;0;44.621;0;138.5;47:02.187;09:17:02.187;0:37.690;0:38.643;0:44.621;213.4;Phil Jenkins;;420R;;McMM;;
018;0;16;2:00.247;3;;37.508;0;38.496;0;44.243;2;139.3;49:02.434;09:19:02.434;0:37.508;0:38.496;0:44.243;214.7;Phil Jenkins;;420R;;McMM;;
018;0;17;2:33.559;0;B;44.515;0;46.373;0;1:02.671;0;109.1;51:35.993;09:21:35.993;0:44.515;0:46.373;1:02.671;208.9;Phil Jenkins;;420R;;McMM;;
022;0;1;2:40.114;0;;1:06.493;0;45.576;0;48.045;0;98.6;2:40.114;08:32:40.114;1:06.493;0:45.576;0:48.045;;Paul Browes;0:00:27.198;420R;;PRIV;;
022;0;2;2:12.295;0;;43.005;0;43.329;0;45.961;0;126.6;4:52.409;08:34:52.409;0:43.005;0:43.329;0:45.961;205.3;Paul Browes;;420R;;PRIV;;
022;0;3;2:10.680;0;;41.073;0;42.882;0;46.725;0;128.2;7:03.089;08:37:03.089;0:41.073;0:42.882;0:46.725;206.9;Paul Browes;;420R;;PRIV;;
022;0;4;2:09.625;0;;40.307;0;42.964;0;46.354;0;129.2;9:12.714;08:39:12.714;0:40.307;0:42.964;0:46.354;213.9;Paul Browes;;420R;;PRIV;;
022;0;5;2:09.039;0;;39.782;0;42.296;0;46.961;0;129.8;11:21.753;08:41:21.753;0:39.782;0:42.296;0:46.961;201.9;Paul Browes;;420R;;PRIV;;
022;0;6;3:42.593;0;B;51.028;0;53.913;0;1:57.652;0;75.3;15:04.346;08:45:04.346;0:51.028;0:53.913;1:57.652;122.9;Paul Browes;;420R;;PRIV;;
022;0;7;4:14.104;0;;2:47.786;0;40.481;0;45.837;0;65.9;19:18.450;08:49:18.450;2:47.786;0:40.481;0:45.837;;Paul Browes;0:02:23.621;420R;;PRIV;;
022;0;8;2:11.177;0;;38.900;0;41.100;0;51.177;0;127.7;21:29.627;08:51:29.627;0:38.900;0:41.100;0:51.177;212.2;Paul Browes;;420R;;PRIV;;
022;0;9;2:34.149;0;;47.369;0;49.633;0;57.147;0;108.7;24:03.776;08:54:03.776;0:47.369;0:49.633;0:57.147;136.4;Paul Browes;;420R;;PRIV;;
022;0;10;2:33.409;0;B;45.969;0;44.754;0;1:02.686;0;109.2;26:37.185;08:56:37.185;0:45.969;0:44.754;1:02.686;146.7;Paul Browes;;420R;;PRIV;;
022;0;11;2:45.201;0;;1:19.066;0;40.572;0;45.563;0;101.4;29:22.386;08:59:22.386;1:19.066;0:40.572;0:45.563;;Paul Browes;0:00:49.368;420R;;PRIV;;
022;0;12;2:04.176;0;;38.478;0;40.063;0;45.635;0;134.9;31:26.562;09:01:26.562;0:38.478;0:40.063;0:45.635;208.9;Paul Browes;;420R;;PRIV;;
022;0;13;2:06.968;0;;38.873;0;40.817;0;47.278;0;131.9;33:33.530;09:03:33.530;0:38.873;0:40.817;0:47.278;207.7;Paul Browes;;420R;;PRIV;;
022;0;14;3:02.351;0;B;38.446;0;44.263;0;1:39.642;0;91.9;36:35.881;09:06:35.881;0:38.446;0:44.263;1:39.642;205.3;Paul Browes;;420R;;PRIV;;
022;0;15;5:07.515;0;;3:40.726;0;40.693;0;46.096;0;54.5;41:43.396;09:11:43.396;3:40.726;0:40.693;0:46.096;;Paul Browes;0:03:20.131;420R;;PRIV;;
022;0;16;2:06.228;0;;40.862;0;39.256;2;46.110;0;132.7;43:49.624;09:13:49.624;0:40.862;0:39.256;0:46.110;213.0;Paul Browes;;420R;;PRIV;;
022;0;17;2:03.669;0;;38.712;0;40.159;0;44.798;0;135.4;45:53.293;09:15:53.293;0:38.712;0:40.159;0:44.798;202.2;Paul Browes;;420R;;PRIV;;
022;0;18;2:04.006;0;;38.372;0;39.878;0;45.756;0;135.1;47:57.299;09:17:57.299;0:38.372;0:39.878;0:45.756;212.2;Paul Browes;;420R;;PRIV;;
022;0;19;2:08.038;0;;39.587;0;42.594;0;45.857;0;130.8;50:05.337;09:20:05.337;0:39.587;0:42.594;0:45.857;215.6;Paul Browes;;420R;;PRIV;;
022;0;20;2:03.542;0;;38.691;0;39.622;0;45.229;0;135.6;52:08.879;09:22:08.879;0:38.691;0:39.622;0:45.229;206.9;Paul Browes;;420R;;PRIV;;
