NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;2;1;2:16.682;0;;55.375;0;38.008;0;43.299;0;115.5;2:16.682;14:47:16.682;0:55.375;0:38.008;0:43.299;;Riccardo PONZIO;0:00:20.753;LMP3;;Oregon Team;Norma;
10;2;2;1:49.451;0;;32.952;0;34.356;0;42.143;0;153.0;4:06.133;14:49:06.133;0:32.952;0:34.356;0:42.143;246.0;Riccardo PONZIO;;LMP3;;Oregon Team;Norma;
10;2;3;1:44.289;0;;31.665;2;32.881;2;39.743;0;160.6;5:50.422;14:50:50.422;0:31.665;0:32.881;0:39.743;254.7;Riccardo PONZIO;;LMP3;;Oregon Team;Norma;
10;2;4;2:23.751;0;B;31.742;0;33.167;0;1:18.842;0;116.5;8:14.173;14:53:14.173;0:31.742;0:33.167;1:18.842;258.4;Riccardo PONZIO;;LMP3;;Oregon Team;Norma;
10;2;5;6:06.257;0;;4:49.965;0;34.760;0;41.532;0;45.7;14:20.429;14:59:20.430;4:49.965;0:34.760;0:41.532;;Riccardo PONZIO;0:04:20.519;LMP3;;Oregon Team;Norma;
10;2;6;1:43.133;2;;32.010;0;33.370;0;37.753;2;162.4;16:03.562;15:01:03.563;0:32.010;0:33.370;0:37.753;254.7;Riccardo PONZIO;;LMP3;;Oregon Team;Norma;
11;0;1;2:24.888;0;;1:08.906;0;34.676;0;41.306;0;109.0;2:24.888;14:47:24.888;1:08.906;0:34.676;0:41.306;;Giorgio MONDINI;0:00:36.468;LMP3;;EuroInternational;Ligier;
11;0;2;1:41.969;0;;31.396;2;33.161;2;37.412;2;164.3;4:06.857;14:49:06.857;0:31.396;0:33.161;0:37.412;250.6;Giorgio MONDINI;;LMP3;;EuroInternational;Ligier;
11;0;3;1:48.582;0;;33.865;0;35.562;0;39.155;0;154.3;5:55.439;14:50:55.439;0:33.865;0:35.562;0:39.155;253.5;Giorgio MONDINI;;LMP3;;EuroInternational;Ligier;
11;0;4;6:15.361;0;B;4:34.648;0;40.496;0;1:00.217;0;44.6;12:10.800;14:57:10.800;4:34.648;0:40.496;1:00.217;252.9;Giorgio MONDINI;;LMP3;;EuroInternational;Ligier;
12;2;1;2:19.854;0;;56.523;0;37.451;0;45.880;0;112.9;2:19.854;14:47:19.854;0:56.523;0:37.451;0:45.880;;Luca DEMARCHI;0:00:23.431;LMP3;;EuroInternational;Ligier;
12;2;2;1:43.485;0;;31.725;0;33.549;0;38.211;0;161.9;4:03.339;14:49:03.339;0:31.725;0:33.549;0:38.211;248.8;Luca DEMARCHI;;LMP3;;EuroInternational;Ligier;
12;2;3;1:43.029;0;;31.679;2;33.350;0;38.000;0;162.6;5:46.368;14:50:46.368;0:31.679;0:33.350;0:38.000;251.2;Luca DEMARCHI;;LMP3;;EuroInternational;Ligier;
12;2;4;2:21.429;0;B;31.763;0;33.138;0;1:16.528;0;118.4;8:07.797;14:53:07.797;0:31.763;0:33.138;1:16.528;251.7;Luca DEMARCHI;;LMP3;;EuroInternational;Ligier;
12;2;5;6:07.218;0;;4:53.452;0;33.828;0;39.938;0;45.6;14:15.014;14:59:15.015;4:53.452;0:33.828;0:39.938;;Luca DEMARCHI;0:04:25.752;LMP3;;EuroInternational;Ligier;
