NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;0;1;3:31.624;0;;2:07.808;0;40.473;0;43.343;0;74.6;3:31.624;08:23:31.624;2:07.808;0:40.473;0:43.343;;ARMANDO PARENTE;0:01:29.390;TCR;;TEAM NOVADRIVER;;
11;0;2;2:05.783;0;B;36.346;0;38.485;0;50.952;0;133.2;5:37.407;08:25:37.407;0:36.346;0:38.485;0:50.952;230.3;ARMANDO PARENTE;;TCR;;TEAM NOVADRIVER;;
11;0;3;4:16.634;0;;2:54.641;0;39.608;0;42.385;0;65.3;9:54.041;08:29:54.041;2:54.641;0:39.608;0:42.385;;ARMANDO PARENTE;0:02:10.270;TCR;;TEAM NOVADRIVER;;
11;0;4;1:54.834;3;;35.722;3;37.249;2;41.863;3;145.9;11:48.875;08:31:48.875;0:35.722;0:37.249;0:41.863;232.3;ARMANDO PARENTE;;TCR;;TEAM NOVADRIVER;;
11;0;5;2:17.552;0;;42.045;0;51.345;0;44.162;0;121.8;14:06.427;08:34:06.427;0:42.045;0:51.345;0:44.162;233.3;ARMANDO PARENTE;;TCR;;TEAM NOVADRIVER;;
22;0;1;9:21.252;0;;;0;;0;;0;28.1;9:21.252;08:29:21.252;;;;;PEDRO SALVADOR;0:07:12.801;TCR;;SPEEDY MOTORSPORT;;
24;0;1;5:08.712;0;;3:34.771;0;46.398;0;47.543;0;51.2;5:08.712;08:25:08.712;3:34.771;0:46.398;0:47.543;;GUSTAVO MOURA;0:02:48.645;TCR;;SPEEDY MOTORSPORT;;
24;0;2;2:05.182;0;;38.101;0;41.802;0;45.279;0;133.8;7:13.894;08:27:13.894;0:38.101;0:41.802;0:45.279;233.8;GUSTAVO MOURA;;TCR;;SPEEDY MOTORSPORT;;
24;0;3;2:05.970;0;;39.324;0;41.787;0;44.859;0;133.0;9:19.864;08:29:19.864;0:39.324;0:41.787;0:44.859;233.8;GUSTAVO MOURA;;TCR;;SPEEDY MOTORSPORT;;
24;0;4;2:04.638;0;;38.153;0;41.657;0;44.828;0;134.4;11:24.502;08:31:24.502;0:38.153;0:41.657;0:44.828;234.3;GUSTAVO MOURA;;TCR;;SPEEDY MOTORSPORT;;
24;0;5;2:02.940;0;;38.403;0;40.433;2;44.104;2;136.3;13:27.442;08:33:27.442;0:38.403;0:40.433;0:44.104;235.8;GUSTAVO MOURA;;TCR;;SPEEDY MOTORSPORT;;
24;0;6;2:03.241;2;;38.066;2;40.693;0;44.482;0;135.9;15:30.683;08:35:30.683;0:38.066;0:40.693;0:44.482;235.3;GUSTAVO MOURA;;TCR;;SPEEDY MOTORSPORT;;
33;0;1;6:32.252;0;;5:07.744;0;41.102;0;43.406;0;40.3;6:32.252;08:26:32.252;5:07.744;0:41.102;0:43.406;;FRANCISCO CARVALHO;0:04:19.681;TCR;;FRANCISCO CARVALHO;;
33;0;2;2:02.453;0;;35.810;2;40.682;0;45.961;0;136.8;8:34.705;08:28:34.705;0:35.810;0:40.682;0:45.961;236.8;FRANCISCO CARVALHO;;TCR;;FRANCISCO CARVALHO;;
33;0;3;1:55.768;2;;35.931;0;37.265;0;42.572;2;144.7;10:30.473;08:30:30.473;0:35.931;0:37.265;0:42.572;232.3;FRANCISCO CARVALHO;;TCR;;FRANCISCO CARVALHO;;
33;0;4;2:04.687;0;B;35.977;0;37.257;2;51.453;0;134.3;12:35.160;08:32:35.160;0:35.977;0:37.257;0:51.453;237.4;FRANCISCO CARVALHO;;TCR;;FRANCISCO CARVALHO;;
6;0;1;4:23.987;0;;2:55.324;0;42.739;0;45.924;0;59.8;4:23.987;08:24:23.987;2:55.324;0:42.739;0:45.924;;FRANCISCO ABREU;0:02:12.749;TCR;;SPORTS & YOU;;
6;0;2;2:00.518;0;;38.195;0;38.950;0;43.373;0;139.0;6:24.505;08:26:24.505;0:38.195;0:38.950;0:43.373;229.3;FRANCISCO ABREU;;TCR;;SPORTS & YOU;;
6;0;3;1:56.551;0;;36.508;0;37.790;0;42.253;2;143.7;8:21.056;08:28:21.056;0:36.508;0:37.790;0:42.253;232.8;FRANCISCO ABREU;;TCR;;SPORTS & YOU;;
6;0;4;1:55.510;0;;36.096;0;37.140;0;42.274;0;145.0;10:16.566;08:30:16.566;0:36.096;0:37.140;0:42.274;231.8;FRANCISCO ABREU;;TCR;;SPORTS & YOU;;
6;0;5;1:55.450;2;;35.760;2;37.066;3;42.624;0;145.1;12:12.016;08:32:12.016;0:35.760;0:37.066;0:42.624;234.3;FRANCISCO ABREU;;TCR;;SPORTS & YOU;;
6;0;6;2:03.570;0;;35.858;0;37.501;0;50.211;0;135.6;14:15.586;08:34:15.586;0:35.858;0:37.501;0:50.211;233.8;FRANCISCO ABREU;;TCR;;SPORTS & YOU;;
67;0;1;5:10.445;0;;3:35.992;0;46.662;0;47.791;0;50.9;5:10.445;08:25:10.445;3:35.992;0:46.662;0:47.791;;GABRIELA CORREIA;0:02:52.973;TURISMOS;;JC GROUP RACING TEAM;;
67;0;2;2:05.056;0;;38.872;0;40.400;0;45.784;0;133.9;7:15.501;08:27:15.501;0:38.872;0:40.400;0:45.784;219.5;GABRIELA CORREIA;;TURISMOS;;JC GROUP RACING TEAM;;
67;0;3;2:05.349;0;;38.370;0;41.641;0;45.338;0;133.6;9:20.850;08:29:20.850;0:38.370;0:41.641;0:45.338;221.8;GABRIELA CORREIA;;TURISMOS;;JC GROUP RACING TEAM;;
67;0;4;2:04.976;0;;37.874;2;41.503;0;45.599;0;134.0;11:25.826;08:31:25.826;0:37.874;0:41.503;0:45.599;222.2;GABRIELA CORREIA;;TURISMOS;;JC GROUP RACING TEAM;;
67;0;5;2:03.903;0;;38.408;0;40.634;0;44.861;2;135.2;13:29.729;08:33:29.729;0:38.408;0:40.634;0:44.861;222.7;GABRIELA CORREIA;;TURISMOS;;JC GROUP RACING TEAM;;
67;0;6;2:03.629;2;;38.500;0;39.953;2;45.176;0;135.5;15:33.358;08:35:33.358;0:38.500;0:39.953;0:45.176;221.8;GABRIELA CORREIA;;TURISMOS;;JC GROUP RACING TEAM;;
68;0;1;4:50.205;0;;3:23.829;0;40.922;0;45.454;0;54.4;4:50.205;08:24:50.205;3:23.829;0:40.922;0:45.454;;JOSÉ CORREIA;0:02:42.673;GT;;JC GROUP RACING TEAM;;
68;0;2;1:59.374;0;;37.025;0;38.942;0;43.407;0;140.3;6:49.579;08:26:49.579;0:37.025;0:38.942;0:43.407;254.1;JOSÉ CORREIA;;GT;;JC GROUP RACING TEAM;;
68;0;3;1:57.901;0;;36.514;0;37.774;2;43.613;0;142.1;8:47.480;08:28:47.480;0:36.514;0:37.774;0:43.613;257.1;JOSÉ CORREIA;;GT;;JC GROUP RACING TEAM;;
68;0;4;1:57.340;2;;35.888;2;38.028;0;43.424;0;142.8;10:44.820;08:30:44.820;0:35.888;0:38.028;0:43.424;256.5;JOSÉ CORREIA;;GT;;JC GROUP RACING TEAM;;
68;0;5;1:57.842;0;;36.211;0;38.351;0;43.280;2;142.1;12:42.662;08:32:42.662;0:36.211;0:38.351;0:43.280;257.8;JOSÉ CORREIA;;GT;;JC GROUP RACING TEAM;;
