NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
018;0;1;3:33.735;0;B;1:10.440;0;1:04.553;0;1:18.742;0;73.9;3:33.735;14:38:33.735;1:10.440;1:04.553;1:18.742;;Phil Jenkins;0:00:15.632;420R;;McMM;;
018;0;2;34:01.529;0;;32:20.492;0;47.986;0;53.051;0;8.2;37:35.262;15:12:35.264;32:20.492;0:47.986;0:53.051;;Phil Jenkins;0:31:42.880;420R;;McMM;;
018;0;3;2:21.360;0;;44.127;0;45.792;0;51.441;0;118.5;39:56.622;15:14:56.624;0:44.127;0:45.792;0:51.441;201.9;Phil Jenkins;;420R;;McMM;;
018;0;4;2:17.843;2;;42.415;0;44.573;0;50.855;0;121.5;42:14.465;15:17:14.467;0:42.415;0:44.573;0:50.855;208.1;Phil Jenkins;;420R;;McMM;;
018;0;5;2:19.054;0;;42.590;0;44.440;2;52.024;0;120.5;44:33.519;15:19:33.521;0:42.590;0:44.440;0:52.024;209.7;Phil Jenkins;;420R;;McMM;;
018;0;6;2:17.964;0;;42.040;2;44.925;0;50.999;0;121.4;46:51.483;15:21:51.485;0:42.040;0:44.925;0:50.999;206.5;Phil Jenkins;;420R;;McMM;;
018;0;7;2:18.682;0;;42.864;0;44.988;0;50.830;2;120.8;49:10.165;15:24:10.167;0:42.864;0:44.988;0:50.830;206.9;Phil Jenkins;;420R;;McMM;;
018;0;8;2:20.427;0;;43.223;0;46.126;0;51.078;0;119.3;51:30.592;15:26:30.594;0:43.223;0:46.126;0:51.078;206.9;Phil Jenkins;;420R;;McMM;;
018;0;9;2:21.415;0;;42.599;0;46.619;0;52.197;0;118.5;53:52.007;15:28:52.009;0:42.599;0:46.619;0:52.197;209.7;Phil Jenkins;;420R;;McMM;;
022;0;1;4:45.444;0;;2:23.904;0;1:10.679;0;1:10.861;0;55.3;4:45.444;14:39:45.444;2:23.904;1:10.679;1:10.861;;Paul Browes;0:01:34.239;420R;;PRIV;;
