NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;2:19.151;0;;46.739;0;44.279;0;48.133;0;113.5;2:19.151;08:57:51.833;0:46.739;0:44.279;0:48.133;159.5;Pedro Falé;;1600;;CRM;;
10;0;2;2:14.910;0;;42.491;0;44.237;0;48.182;0;124.2;4:34.061;09:00:06.743;0:42.491;0:44.237;0:48.182;198.9;Pedro Falé;;1600;;CRM;;
10;0;3;2:12.332;0;;41.280;0;43.497;0;47.555;0;126.6;6:46.393;09:02:19.075;0:41.280;0:43.497;0:47.555;194.6;Pedro Falé;;1600;;CRM;;
10;0;4;2:09.668;0;;40.778;0;42.099;0;46.791;0;129.2;8:56.061;09:04:28.743;0:40.778;0:42.099;0:46.791;198.2;Pedro Falé;;1600;;CRM;;
10;0;5;2:12.901;0;;42.244;0;43.004;0;47.653;0;126.0;11:08.962;09:06:41.644;0:42.244;0:43.004;0:47.653;198.5;Pedro Falé;;1600;;CRM;;
10;0;6;2:09.946;0;;40.629;0;41.659;0;47.658;0;128.9;13:18.908;09:08:51.590;0:40.629;0:41.659;0:47.658;192.2;Pedro Falé;;1600;;CRM;;
10;0;7;2:11.835;0;;41.418;0;43.096;0;47.321;0;127.1;15:30.743;09:11:03.425;0:41.418;0:43.096;0:47.321;183.1;Pedro Falé;;1600;;CRM;;
10;0;8;2:10.072;0;;41.068;0;41.938;0;47.066;0;128.8;17:40.815;09:13:13.497;0:41.068;0:41.938;0:47.066;188.5;Pedro Falé;;1600;;CRM;;
10;0;9;2:09.932;0;;40.523;0;41.411;0;47.998;0;128.9;19:50.747;09:15:23.429;0:40.523;0:41.411;0:47.998;190.5;Pedro Falé;;1600;;CRM;;
10;0;10;2:08.295;2;;40.295;0;41.437;0;46.563;2;130.6;21:59.042;09:17:31.724;0:40.295;0:41.437;0:46.563;189.8;Pedro Falé;;1600;;CRM;;
10;0;11;2:11.359;0;;41.359;0;41.347;0;48.653;0;127.5;24:10.401;09:19:43.083;0:41.359;0:41.347;0:48.653;191.2;Pedro Falé;;1600;;CRM;;
10;0;12;2:08.876;0;;40.151;2;41.326;2;47.399;0;130.0;26:19.277;09:21:51.959;0:40.151;0:41.326;0:47.399;192.2;Pedro Falé;;1600;;CRM;;
111;0;1;2:22.134;0;;49.504;0;44.465;0;48.165;0;111.1;2:22.134;08:57:54.816;0:49.504;0:44.465;0:48.165;137.4;James Elvery;;1600;;UPEM;;
111;0;2;2:14.688;0;;42.507;0;43.642;0;48.539;0;124.4;4:36.822;09:00:09.504;0:42.507;0:43.642;0:48.539;191.5;James Elvery;;1600;;UPEM;;
111;0;3;2:24.059;0;;52.435;0;43.605;2;48.019;0;116.3;7:00.881;09:02:33.563;0:52.435;0:43.605;0:48.019;195.3;James Elvery;;1600;;UPEM;;
111;0;4;2:15.914;0;;42.086;0;44.080;0;49.748;0;123.2;9:16.795;09:04:49.477;0:42.086;0:44.080;0:49.748;196.0;James Elvery;;1600;;UPEM;;
111;0;5;2:15.701;0;;42.540;0;44.559;0;48.602;0;123.4;11:32.496;09:07:05.178;0:42.540;0:44.559;0:48.602;191.2;James Elvery;;1600;;UPEM;;
111;0;6;2:15.991;0;;42.551;0;44.515;0;48.925;0;123.2;13:48.487;09:09:21.169;0:42.551;0:44.515;0:48.925;190.8;James Elvery;;1600;;UPEM;;
111;0;7;2:16.235;0;;42.518;0;44.773;0;48.944;0;123.0;16:04.722;09:11:37.404;0:42.518;0:44.773;0:48.944;190.8;James Elvery;;1600;;UPEM;;
111;0;8;2:14.791;0;;42.271;0;44.535;0;47.985;0;124.3;18:19.513;09:13:52.195;0:42.271;0:44.535;0:47.985;191.8;James Elvery;;1600;;UPEM;;
111;0;9;2:15.157;0;;42.323;0;44.406;0;48.428;0;123.9;20:34.670;09:16:07.352;0:42.323;0:44.406;0:48.428;184.3;James Elvery;;1600;;UPEM;;
111;0;10;2:14.715;0;;42.251;0;44.036;0;48.428;0;124.3;22:49.385;09:18:22.067;0:42.251;0:44.036;0:48.428;190.8;James Elvery;;1600;;UPEM;;
111;0;11;2:14.535;0;;41.664;0;43.872;0;48.999;0;124.5;25:03.920;09:20:36.602;0:41.664;0:43.872;0:48.999;190.1;James Elvery;;1600;;UPEM;;
111;0;12;2:12.540;2;;41.488;2;43.667;0;47.385;2;126.4;27:16.460;09:22:49.142;0:41.488;0:43.667;0:47.385;189.8;James Elvery;;1600;;UPEM;;
118;0;1;2:11.489;0;;42.874;0;41.298;0;47.317;0;120.1;2:11.489;08:57:44.171;0:42.874;0:41.298;0:47.317;152.5;Jay McCormack;;1600;;PRIV;;
118;0;2;2:08.115;0;;40.956;0;40.793;0;46.366;0;130.7;4:19.604;08:59:52.286;0:40.956;0:40.793;0:46.366;187.2;Jay McCormack;;1600;;PRIV;;
118;0;3;2:08.172;0;;40.542;0;40.614;0;47.016;0;130.7;6:27.776;09:02:00.458;0:40.542;0:40.614;0:47.016;188.2;Jay McCormack;;1600;;PRIV;;
118;0;4;2:07.528;0;;40.342;0;40.466;0;46.720;0;131.3;8:35.304;09:04:07.986;0:40.342;0:40.466;0:46.720;188.5;Jay McCormack;;1600;;PRIV;;
118;0;5;2:07.126;0;;40.244;0;40.480;0;46.402;0;131.8;10:42.430;09:06:15.112;0:40.244;0:40.480;0:46.402;187.8;Jay McCormack;;1600;;PRIV;;
118;0;6;2:07.127;0;;40.153;0;40.636;0;46.338;0;131.8;12:49.557;09:08:22.239;0:40.153;0:40.636;0:46.338;187.8;Jay McCormack;;1600;;PRIV;;
118;0;7;2:06.957;0;;39.990;0;40.562;0;46.405;0;131.9;14:56.514;09:10:29.196;0:39.990;0:40.562;0:46.405;188.5;Jay McCormack;;1600;;PRIV;;
118;0;8;2:07.473;0;;40.075;0;40.958;0;46.440;0;131.4;17:03.987;09:12:36.669;0:40.075;0:40.958;0:46.440;190.8;Jay McCormack;;1600;;PRIV;;
118;0;9;2:07.136;0;;40.095;0;40.547;0;46.494;0;131.8;19:11.123;09:14:43.805;0:40.095;0:40.547;0:46.494;190.5;Jay McCormack;;1600;;PRIV;;
118;0;10;2:06.492;3;;39.993;0;40.371;3;46.128;2;132.4;21:17.615;09:16:50.297;0:39.993;0:40.371;0:46.128;189.5;Jay McCormack;;1600;;PRIV;;
118;0;11;2:06.697;0;;39.954;0;40.420;0;46.323;0;132.2;23:24.312;09:18:56.994;0:39.954;0:40.420;0:46.323;189.1;Jay McCormack;;1600;;PRIV;;
118;0;12;2:07.124;0;;39.893;2;40.593;0;46.638;0;131.8;25:31.436;09:21:04.118;0:39.893;0:40.593;0:46.638;189.1;Jay McCormack;;1600;;PRIV;;
12;0;1;2:21.849;0;;49.028;0;45.090;0;47.731;0;111.3;2:21.849;08:57:54.531;0:49.028;0:45.090;0:47.731;146.9;José Kol Almeida;;1600;;BCM;;
12;0;2;2:14.353;0;;41.961;0;43.479;0;48.913;0;124.7;4:36.202;09:00:08.884;0:41.961;0:43.479;0:48.913;197.1;José Kol Almeida;;1600;;BCM;;
12;0;3;2:11.697;0;;41.640;0;42.520;0;47.537;0;127.2;6:47.899;09:02:20.581;0:41.640;0:42.520;0:47.537;187.5;José Kol Almeida;;1600;;BCM;;
12;0;4;2:11.168;0;;41.239;0;42.595;0;47.334;0;127.7;8:59.067;09:04:31.749;0:41.239;0:42.595;0:47.334;193.2;José Kol Almeida;;1600;;BCM;;
12;0;5;2:11.239;0;;41.216;0;42.531;0;47.492;0;127.6;11:10.306;09:06:42.988;0:41.216;0:42.531;0:47.492;187.8;José Kol Almeida;;1600;;BCM;;
12;0;6;2:11.994;0;;41.648;0;42.948;0;47.398;0;126.9;13:22.300;09:08:54.982;0:41.648;0:42.948;0:47.398;198.9;José Kol Almeida;;1600;;BCM;;
12;0;7;2:11.349;0;;42.024;0;41.590;2;47.735;0;127.5;15:33.649;09:11:06.331;0:42.024;0:41.590;0:47.735;193.5;José Kol Almeida;;1600;;BCM;;
12;0;8;2:10.288;0;;41.142;0;41.753;0;47.393;0;128.6;17:43.937;09:13:16.619;0:41.142;0:41.753;0:47.393;198.5;José Kol Almeida;;1600;;BCM;;
12;0;9;2:09.729;2;;40.634;2;41.672;0;47.423;0;129.1;19:53.666;09:15:26.348;0:40.634;0:41.672;0:47.423;196.4;José Kol Almeida;;1600;;BCM;;
12;0;10;2:09.854;0;;41.040;0;41.646;0;47.168;2;129.0;22:03.520;09:17:36.202;0:41.040;0:41.646;0:47.168;199.6;José Kol Almeida;;1600;;BCM;;
12;0;11;2:12.739;0;;40.970;0;43.860;0;47.909;0;126.2;24:16.259;09:19:48.941;0:40.970;0:43.860;0:47.909;194.2;José Kol Almeida;;1600;;BCM;;
12;0;12;2:23.895;0;;41.222;0;43.168;0;59.505;0;116.4;26:40.154;09:22:12.836;0:41.222;0:43.168;0:59.505;192.2;José Kol Almeida;;1600;;BCM;;
129;0;1;2:18.877;0;;;0;;0;;0;113.7;2:18.877;08:57:51.559;;;;;Tim Child;;1600;;UPEM;;
129;0;2;2:14.469;0;;;0;;0;;0;124.6;4:33.346;09:00:06.028;;;;;Tim Child;;1600;;UPEM;;
129;0;3;2:09.972;0;;;0;;0;;0;128.9;6:43.318;09:02:16.000;;;;;Tim Child;;1600;;UPEM;;
129;0;4;2:13.000;0;;;0;;0;;0;125.9;8:56.318;09:04:29.000;;;;;Tim Child;;1600;;UPEM;;
129;0;5;2:13.739;0;;;0;;0;;0;125.2;11:10.057;09:06:42.739;;;;;Tim Child;;1600;;UPEM;;
