NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
022;1;1;6:53.911;0;;5:29.496;0;42.895;0;41.520;0;47.7;6:53.911;09:06:53.911;5:29.496;0:42.895;0:41.520;136.0;Matthew BELL;0:04:44.533;LMP3;;United Autosports;Ligier;
022;1;2;1:57.262;0;;38.443;0;39.556;0;39.263;0;177.8;8:51.173;09:08:51.173;0:38.443;0:39.556;0:39.263;208.1;Matthew BELL;;LMP3;;United Autosports;Ligier;
022;1;3;1:54.111;0;;37.270;0;38.575;0;38.266;0;182.8;10:45.284;09:10:45.284;0:37.270;0:38.575;0:38.266;224.5;Matthew BELL;;LMP3;;United Autosports;Ligier;
022;1;4;1:52.904;0;;36.879;0;38.156;0;37.869;0;184.7;12:38.188;09:12:38.188;0:36.879;0:38.156;0:37.869;227.8;Matthew BELL;;LMP3;;United Autosports;Ligier;
022;1;5;1:58.133;0;B;36.418;0;37.712;0;44.003;0;176.5;14:36.321;09:14:36.321;0:36.418;0:37.712;0:44.003;232.3;Matthew BELL;;LMP3;;United Autosports;Ligier;
022;1;6;5:54.582;0;;4:39.605;0;37.596;0;37.381;0;58.8;20:30.903;09:20:30.903;4:39.605;0:37.596;0:37.381;204.9;Matthew BELL;0:04:08.225;LMP3;;United Autosports;Ligier;
022;1;7;1:50.747;0;;36.352;0;37.408;0;36.987;0;188.3;22:21.650;09:22:21.650;0:36.352;0:37.408;0:36.987;218.6;Matthew BELL;;LMP3;;United Autosports;Ligier;
022;1;8;1:51.628;0;;35.889;0;37.610;0;38.129;0;186.8;24:13.278;09:24:13.278;0:35.889;0:37.610;0:38.129;243.8;Matthew BELL;;LMP3;;United Autosports;Ligier;
022;1;9;1:49.973;0;;35.774;0;37.054;0;37.145;0;189.6;26:03.251;09:26:03.251;0:35.774;0:37.054;0:37.145;259.0;Matthew BELL;;LMP3;;United Autosports;Ligier;
022;1;10;1:59.505;0;B;38.130;0;37.239;0;44.136;0;174.5;28:02.756;09:28:02.756;0:38.130;0:37.239;0:44.136;262.1;Matthew BELL;;LMP3;;United Autosports;Ligier;
022;0;11;11:12.203;0;;9:42.993;0;46.886;0;42.324;0;31.0;39:14.959;09:39:14.959;9:42.993;0:46.886;0:42.324;190.1;James McGUIRE;0:09:07.264;LMP3;;United Autosports;Ligier;
022;0;12;1:58.320;0;;37.097;0;40.738;0;40.485;0;176.3;41:13.279;09:41:13.279;0:37.097;0:40.738;0:40.485;227.4;James McGUIRE;;LMP3;;United Autosports;Ligier;
022;0;13;2:10.002;0;B;36.259;0;40.818;0;52.925;0;160.4;43:23.281;09:43:23.281;0:36.259;0:40.818;0:52.925;259.0;James McGUIRE;;LMP3;;United Autosports;Ligier;
022;0;14;25:35.238;0;;24:10.089;0;42.688;0;42.461;0;13.6;1:08:58.519;10:08:58.519;24:10.089;0:42.688;0:42.461;180.9;James McGUIRE;0:23:36.544;LMP3;;United Autosports;Ligier;
022;0;15;1:58.932;0;;37.306;0;41.106;0;40.520;0;175.4;1:10:57.451;10:10:57.451;0:37.306;0:41.106;0:40.520;213.0;James McGUIRE;;LMP3;;United Autosports;Ligier;
022;0;16;1:56.329;0;;36.366;0;40.136;0;39.827;0;179.3;1:12:53.780;10:12:53.780;0:36.366;0:40.136;0:39.827;240.0;James McGUIRE;;LMP3;;United Autosports;Ligier;
022;0;17;1:54.446;0;;36.334;0;39.115;0;38.997;0;182.2;1:14:48.226;10:14:48.226;0:36.334;0:39.115;0:38.997;242.2;James McGUIRE;;LMP3;;United Autosports;Ligier;
022;0;18;1:54.237;0;;35.993;0;38.874;0;39.370;0;182.6;1:16:42.463;10:16:42.463;0:35.993;0:38.874;0:39.370;252.3;James McGUIRE;;LMP3;;United Autosports;Ligier;
