NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;2;1;2:26.895;0;;1:04.327;0;41.871;0;40.697;0;134.4;2:26.895;11:47:26.895;1:04.327;0:41.871;0:40.697;139.4;Riccardo PONZIO;0:00:19.986;LMP3;;Oregon Team;Norma;
10;2;2;1:52.287;0;;37.017;0;38.382;0;36.888;0;185.7;4:19.182;11:49:19.182;0:37.017;0:38.382;0:36.888;203.0;Riccardo PONZIO;;LMP3;;Oregon Team;Norma;
10;2;3;1:47.004;0;;34.616;0;36.391;0;35.997;0;194.9;6:06.186;11:51:06.186;0:34.616;0:36.391;0:35.997;268.0;Riccardo PONZIO;;LMP3;;Oregon Team;Norma;
10;2;4;1:46.847;0;;34.550;0;36.209;0;36.088;0;195.2;7:53.033;11:52:53.033;0:34.550;0:36.209;0:36.088;274.1;Riccardo PONZIO;;LMP3;;Oregon Team;Norma;
10;2;5;1:46.807;0;;34.279;0;36.604;0;35.924;0;195.3;9:39.840;11:54:39.840;0:34.279;0:36.604;0:35.924;270.7;Riccardo PONZIO;;LMP3;;Oregon Team;Norma;
10;2;6;1:46.136;2;;34.246;0;36.179;2;35.711;2;196.5;11:25.976;11:56:25.976;0:34.246;0:36.179;0:35.711;271.4;Riccardo PONZIO;;LMP3;;Oregon Team;Norma;
10;2;7;2:26.397;0;B;34.171;2;53.405;0;58.821;0;142.5;13:52.373;11:58:52.373;0:34.171;0:53.405;0:58.821;270.0;Riccardo PONZIO;;LMP3;;Oregon Team;Norma;
10;2;8;3:07.694;0;;1:53.450;0;37.644;0;36.600;0;111.1;17:00.067;12:02:00.067;1:53.450;0:37.644;0:36.600;195.7;Riccardo PONZIO;0:01:22.985;LMP3;;Oregon Team;Norma;
10;2;9;1:47.914;0;;34.509;0;36.816;0;36.589;0;193.3;18:47.981;12:03:47.981;0:34.509;0:36.816;0:36.589;272.7;Riccardo PONZIO;;LMP3;;Oregon Team;Norma;
10;2;10;1:47.663;0;;34.408;0;36.655;0;36.600;0;193.7;20:35.644;12:05:35.644;0:34.408;0:36.655;0:36.600;273.4;Riccardo PONZIO;;LMP3;;Oregon Team;Norma;
10;2;11;1:47.851;0;;34.623;0;36.935;0;36.293;0;193.4;22:23.495;12:07:23.495;0:34.623;0:36.935;0:36.293;272.0;Riccardo PONZIO;;LMP3;;Oregon Team;Norma;
10;2;12;1:47.214;0;;34.633;0;36.427;0;36.154;0;194.5;24:10.709;12:09:10.709;0:34.633;0:36.427;0:36.154;274.1;Riccardo PONZIO;;LMP3;;Oregon Team;Norma;
10;2;13;1:47.777;0;;34.750;0;36.686;0;36.341;0;193.5;25:58.486;12:10:58.486;0:34.750;0:36.686;0:36.341;272.0;Riccardo PONZIO;;LMP3;;Oregon Team;Norma;
10;2;14;1:47.635;0;;34.394;0;36.694;0;36.547;0;193.8;27:46.121;12:12:46.121;0:34.394;0:36.694;0:36.547;271.4;Riccardo PONZIO;;LMP3;;Oregon Team;Norma;
10;2;15;1:55.156;0;B;34.476;0;36.993;0;43.687;0;181.1;29:41.277;12:14:41.277;0:34.476;0:36.993;0:43.687;274.1;Riccardo PONZIO;;LMP3;;Oregon Team;Norma;
10;1;16;3:48.286;0;;2:32.013;0;38.697;0;37.576;0;91.4;33:29.563;12:18:29.563;2:32.013;0:38.697;0:37.576;158.1;Andres MENDEZ;0:01:57.256;LMP3;;Oregon Team;Norma;
10;1;17;1:50.279;0;;35.416;0;37.340;0;37.523;0;189.1;35:19.842;12:20:19.842;0:35.416;0:37.340;0:37.523;250.0;Andres MENDEZ;;LMP3;;Oregon Team;Norma;
