NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
55;1;1;3:03.717;0;;1:48.833;0;37.425;0;37.459;0;107.5;3:03.717;13:43:03.717;1:48.833;0:37.425;0:37.459;206.1;Matthew GRIFFIN;0:01:13.706;LMGTE;;Spirit of Race;Ferrari;
55;1;2;1:48.149;0;;34.753;0;36.559;0;36.837;0;192.8;4:51.866;13:44:51.866;0:34.753;0:36.559;0:36.837;268.0;Matthew GRIFFIN;;LMGTE;;Spirit of Race;Ferrari;
55;1;3;1:47.574;2;;34.579;0;36.339;2;36.656;2;193.9;6:39.440;13:46:39.440;0:34.579;0:36.339;0:36.656;268.7;Matthew GRIFFIN;;LMGTE;;Spirit of Race;Ferrari;
55;1;4;1:54.426;0;;34.557;0;36.768;0;43.101;0;182.3;8:33.866;13:48:33.866;0:34.557;0:36.768;0:43.101;268.7;Matthew GRIFFIN;;LMGTE;;Spirit of Race;Ferrari;
55;1;5;1:47.785;0;;34.545;2;36.437;0;36.803;0;193.5;10:21.651;13:50:21.651;0:34.545;0:36.437;0:36.803;271.4;Matthew GRIFFIN;;LMGTE;;Spirit of Race;Ferrari;
77;2;1;2:54.196;0;;1:33.803;0;40.531;0;39.862;0;113.3;2:54.196;13:42:54.196;1:33.803;0:40.531;0:39.862;206.9;Marc LIEB;0:00:56.705;LMGTE;;Proton Competition;Porsche;
77;2;2;1:52.351;0;;35.243;0;38.524;0;38.584;0;185.6;4:46.547;13:44:46.547;0:35.243;0:38.524;0:38.584;268.0;Marc LIEB;;LMGTE;;Proton Competition;Porsche;
77;2;3;1:48.296;0;;34.647;0;36.748;0;36.901;2;192.6;6:34.843;13:46:34.843;0:34.647;0:36.748;0:36.901;268.7;Marc LIEB;;LMGTE;;Proton Competition;Porsche;
77;2;4;1:48.199;2;;34.636;0;36.567;2;36.996;0;192.7;8:23.042;13:48:23.042;0:34.636;0:36.567;0:36.996;268.7;Marc LIEB;;LMGTE;;Proton Competition;Porsche;
77;2;5;1:50.382;0;;34.495;2;37.435;0;38.452;0;188.9;10:13.424;13:50:13.424;0:34.495;0:37.435;0:38.452;268.7;Marc LIEB;;LMGTE;;Proton Competition;Porsche;
80;1;1;2:15.117;0;;57.410;0;38.729;0;38.978;0;146.1;2:15.117;13:42:15.117;0:57.410;0:38.729;0:38.978;180.3;Riccardo PERA;0:00:19.288;LMGTE;;Ebimotors;Porsche;
80;1;2;1:47.967;0;;34.651;0;36.498;0;36.818;0;193.2;4:03.084;13:44:03.084;0:34.651;0:36.498;0:36.818;268.0;Riccardo PERA;;LMGTE;;Ebimotors;Porsche;
80;1;3;1:47.503;0;;34.581;0;36.342;0;36.580;2;194.0;5:50.587;13:45:50.587;0:34.581;0:36.342;0:36.580;268.0;Riccardo PERA;;LMGTE;;Ebimotors;Porsche;
80;1;4;1:47.493;3;;34.525;2;36.275;3;36.693;0;194.0;7:38.080;13:47:38.080;0:34.525;0:36.275;0:36.693;268.0;Riccardo PERA;;LMGTE;;Ebimotors;Porsche;
80;1;5;1:56.813;0;B;34.618;0;36.439;0;45.756;0;178.5;9:34.893;13:49:34.893;0:34.618;0:36.439;0:45.756;268.0;Riccardo PERA;;LMGTE;;Ebimotors;Porsche;
83;2;1;3:08.109;0;;1:51.760;0;38.030;0;38.319;0;105.0;3:08.109;13:43:08.109;1:51.760;0:38.030;0:38.319;191.2;Andrea BERTOLINI;0:01:15.974;LMGTE;;Krohn Racing;Ferrari;
83;2;2;1:48.133;0;;34.689;0;36.654;0;36.790;0;192.9;4:56.242;13:44:56.242;0:34.689;0:36.654;0:36.790;268.0;Andrea BERTOLINI;;LMGTE;;Krohn Racing;Ferrari;
83;2;3;1:47.878;2;;34.566;0;36.560;2;36.752;2;193.3;6:44.120;13:46:44.120;0:34.566;0:36.560;0:36.752;268.7;Andrea BERTOLINI;;LMGTE;;Krohn Racing;Ferrari;
83;2;4;1:48.255;0;;34.528;2;36.571;0;37.156;0;192.6;8:32.375;13:48:32.375;0:34.528;0:36.571;0:37.156;269.3;Andrea BERTOLINI;;LMGTE;;Krohn Racing;Ferrari;
83;2;5;2:03.779;0;B;34.797;0;38.938;0;50.044;0;168.5;10:36.154;13:50:36.154;0:34.797;0:38.938;0:50.044;267.3;Andrea BERTOLINI;;LMGTE;;Krohn Racing;Ferrari;
88;2;1;3:47.162;0;;2:25.009;0;43.233;0;38.920;0;86.9;3:47.162;13:43:47.162;2:25.009;0:43.233;0:38.920;205.7;Gianmaria BRUNI;0:01:48.277;LMGTE;;Proton Competition;Porsche;
88;2;2;1:47.756;0;;34.576;0;36.510;0;36.670;0;193.5;5:34.918;13:45:34.918;0:34.576;0:36.510;0:36.670;268.7;Gianmaria BRUNI;;LMGTE;;Proton Competition;Porsche;
88;2;3;1:47.620;0;;34.608;0;36.425;2;36.587;0;193.8;7:22.538;13:47:22.538;0:34.608;0:36.425;0:36.587;268.7;Gianmaria BRUNI;;LMGTE;;Proton Competition;Porsche;
88;2;4;1:47.511;2;;34.488;0;36.493;0;36.530;3;194.0;9:10.049;13:49:10.049;0:34.488;0:36.493;0:36.530;268.7;Gianmaria BRUNI;;LMGTE;;Proton Competition;Porsche;
88;2;5;1:47.647;0;;34.382;3;36.448;0;36.817;0;193.7;10:57.696;13:50:57.696;0:34.382;0:36.448;0:36.817;268.0;Gianmaria BRUNI;;LMGTE;;Proton Competition;Porsche;
