NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;2;1;2:18.130;0;;46.499;0;32.575;0;59.056;0;150.9;2:18.130;14:02:18.130;0:46.499;0:32.575;0:59.056;213.0;Riccardo PONZIO;0:00:09.759;LMP3;;Oregon Team;Norma;
10;2;2;2:14.095;0;;34.831;0;29.936;0;1:09.328;0;155.5;4:32.225;14:04:32.225;0:34.831;0:29.936;1:09.328;272.0;Riccardo PONZIO;;LMP3;;Oregon Team;Norma;
10;2;3;1:55.548;0;;34.391;0;29.902;0;51.255;0;180.4;6:27.773;14:06:27.773;0:34.391;0:29.902;0:51.255;266.7;Riccardo PONZIO;;LMP3;;Oregon Team;Norma;
10;2;4;1:54.289;0;;33.909;0;29.871;0;50.509;2;182.4;8:22.062;14:08:22.062;0:33.909;0:29.871;0:50.509;269.3;Riccardo PONZIO;;LMP3;;Oregon Team;Norma;
10;2;5;1:54.172;2;;33.539;2;29.813;2;50.820;0;182.6;10:16.234;14:10:16.234;0:33.539;0:29.813;0:50.820;269.3;Riccardo PONZIO;;LMP3;;Oregon Team;Norma;
11;0;1;2:54.175;0;;1:29.017;0;31.839;0;53.319;0;119.7;2:54.175;14:02:54.175;1:29.017;0:31.839;0:53.319;258.4;Giorgio MONDINI;0:00:53.245;LMP3;;EuroInternational;Ligier;
11;0;2;1:53.563;0;;33.631;0;30.029;0;49.903;0;183.6;4:47.738;14:04:47.738;0:33.631;0:30.029;0:49.903;262.8;Giorgio MONDINI;;LMP3;;EuroInternational;Ligier;
11;0;3;1:53.510;0;;33.514;0;30.017;0;49.979;0;183.7;6:41.248;14:06:41.248;0:33.514;0:30.017;0:49.979;262.8;Giorgio MONDINI;;LMP3;;EuroInternational;Ligier;
11;0;4;1:53.300;0;;33.348;0;30.011;0;49.941;0;184.0;8:34.548;14:08:34.548;0:33.348;0:30.011;0:49.941;264.7;Giorgio MONDINI;;LMP3;;EuroInternational;Ligier;
11;0;5;1:53.009;2;;33.162;2;29.986;2;49.861;2;184.5;10:27.557;14:10:27.557;0:33.162;0:29.986;0:49.861;265.4;Giorgio MONDINI;;LMP3;;EuroInternational;Ligier;
12;1;1;2:20.074;0;;55.882;0;30.558;0;53.634;0;148.8;2:20.074;14:02:20.074;0:55.882;0:30.558;0:53.634;268.7;Maxwell HANRATTY;0:00:19.269;LMP3;;EuroInternational;Ligier;
12;1;2;1:56.205;0;;34.086;0;30.424;0;51.695;0;179.4;4:16.279;14:04:16.279;0:34.086;0:30.424;0:51.695;270.0;Maxwell HANRATTY;;LMP3;;EuroInternational;Ligier;
12;1;3;1:55.306;0;;34.254;0;29.832;0;51.220;0;180.8;6:11.585;14:06:11.585;0:34.254;0:29.832;0:51.220;273.4;Maxwell HANRATTY;;LMP3;;EuroInternational;Ligier;
12;1;4;1:55.019;0;;33.874;0;29.736;0;51.409;0;181.3;8:06.604;14:08:06.604;0:33.874;0:29.736;0:51.409;274.1;Maxwell HANRATTY;;LMP3;;EuroInternational;Ligier;
12;1;5;1:54.027;2;;33.605;2;29.718;2;50.704;2;182.8;10:00.631;14:10:00.631;0:33.605;0:29.718;0:50.704;272.0;Maxwell HANRATTY;;LMP3;;EuroInternational;Ligier;
