NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;2;1;2:29.524;0;;47.384;0;1:05.107;0;37.033;0;165.7;2:29.524;13:34:29.524;0:47.384;1:05.107;0:37.033;223.0;Riccardo PONZIO;0:00:09.857;LMP3;;Oregon Team;Norma;
10;2;2;2:17.834;0;;40.412;0;1:01.732;0;35.690;0;182.9;4:47.358;13:36:47.358;0:40.412;1:01.732;0:35.690;255.0;Riccardo PONZIO;;LMP3;;Oregon Team;Norma;
10;2;3;2:15.692;0;;39.430;0;1:00.802;0;35.460;2;185.8;7:03.050;13:39:03.050;0:39.430;1:00.802;0:35.460;259.2;Riccardo PONZIO;;LMP3;;Oregon Team;Norma;
10;2;4;2:15.378;0;;39.396;0;1:00.495;0;35.487;0;186.2;9:18.428;13:41:18.428;0:39.396;1:00.495;0:35.487;262.4;Riccardo PONZIO;;LMP3;;Oregon Team;Norma;
10;2;5;2:15.671;0;;39.281;0;1:00.464;2;35.926;0;185.8;11:34.099;13:43:34.099;0:39.281;1:00.464;0:35.926;263.0;Riccardo PONZIO;;LMP3;;Oregon Team;Norma;
10;2;6;2:15.323;2;;39.159;2;1:00.638;0;35.526;0;186.3;13:49.422;13:45:49.422;0:39.159;1:00.638;0:35.526;263.0;Riccardo PONZIO;;LMP3;;Oregon Team;Norma;
11;0;1;2:53.913;0;;59.539;0;1:12.753;0;41.621;0;142.5;2:53.913;13:34:53.913;0:59.539;1:12.753;0:41.621;197.4;Mattia DRUDI;0:00:20.394;LMP3;;EuroInternational;Ligier;
11;0;2;2:15.035;0;;39.589;0;59.949;0;35.497;0;186.7;5:08.948;13:37:08.948;0:39.589;0:59.949;0:35.497;256.8;Mattia DRUDI;;LMP3;;EuroInternational;Ligier;
11;0;3;2:14.123;0;;39.318;0;59.459;0;35.346;0;188.0;7:23.071;13:39:23.071;0:39.318;0:59.459;0:35.346;258.6;Mattia DRUDI;;LMP3;;EuroInternational;Ligier;
11;0;4;2:13.699;2;;39.106;2;59.314;2;35.279;2;188.6;9:36.770;13:41:36.770;0:39.106;0:59.314;0:35.279;259.2;Mattia DRUDI;;LMP3;;EuroInternational;Ligier;
11;0;5;2:20.830;0;;39.289;0;59.678;0;41.863;0;179.0;11:57.600;13:43:57.600;0:39.289;0:59.678;0:41.863;260.5;Mattia DRUDI;;LMP3;;EuroInternational;Ligier;
11;0;6;2:29.794;0;B;39.288;0;1:01.617;0;48.889;0;168.3;14:27.394;13:46:27.394;0:39.288;1:01.617;0:48.889;259.2;Mattia DRUDI;;LMP3;;EuroInternational;Ligier;
12;1;1;2:57.416;0;;1:05.221;0;1:12.422;0;39.773;0;139.6;2:57.416;13:34:57.416;1:05.221;1:12.422;0:39.773;198.1;James DAYSON;0:00:21.716;LMP3;;EuroInternational;Ligier;
12;1;2;2:29.615;0;;42.924;0;1:08.246;0;38.445;0;168.5;5:27.031;13:37:27.031;0:42.924;1:08.246;0:38.445;248.5;James DAYSON;;LMP3;;EuroInternational;Ligier;
12;1;3;2:25.791;0;;41.745;0;1:06.492;0;37.554;0;172.9;7:52.822;13:39:52.822;0:41.745;1:06.492;0:37.554;252.6;James DAYSON;;LMP3;;EuroInternational;Ligier;
12;1;4;2:24.216;0;;41.560;0;1:05.368;2;37.288;2;174.8;10:17.038;13:42:17.038;0:41.560;1:05.368;0:37.288;252.6;James DAYSON;;LMP3;;EuroInternational;Ligier;
12;1;5;2:24.588;2;;41.503;2;1:05.421;0;37.664;0;174.4;12:41.626;13:44:41.626;0:41.503;1:05.421;0:37.664;253.2;James DAYSON;;LMP3;;EuroInternational;Ligier;
13;0;1;2:30.053;0;;48.499;0;1:04.714;0;36.840;0;165.1;2:30.053;13:34:30.053;0:48.499;1:04.714;0:36.840;249.7;Jakub SMIECHOWSKI;0:00:11.886;LMP3;;Inter Europol Competition;Ligier;
