NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;1;1;3:31.917;0;;2:14.606;0;39.664;0;37.647;0;74.5;3:31.917;12:33:31.917;2:14.606;0:39.664;0:37.647;;Damiano FIORAVANTI;0:01:39.373;LMP3;;Oregon Team;Norma;
10;1;2;1:48.817;0;;30.897;0;34.069;0;43.851;0;153.9;5:20.734;12:35:20.734;0:30.897;0:34.069;0:43.851;272.0;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;3;1:44.195;0;;31.195;0;33.882;0;39.118;0;160.8;7:04.929;12:37:04.929;0:31.195;0:33.882;0:39.118;271.4;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;4;1:43.084;0;;30.967;0;32.666;2;39.451;0;162.5;8:48.013;12:38:48.013;0:30.967;0:32.666;0:39.451;272.7;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;5;1:43.259;0;;30.880;2;32.807;0;39.572;0;162.2;10:31.272;12:40:31.272;0:30.880;0:32.807;0:39.572;274.8;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;6;1:40.954;2;;30.978;0;32.845;0;37.131;2;165.9;12:12.226;12:42:12.226;0:30.978;0:32.845;0:37.131;272.7;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;7;1:49.344;0;B;31.169;0;33.611;0;44.564;0;153.2;14:01.570;12:44:01.570;0:31.169;0:33.611;0:44.564;272.7;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;8;3:30.266;0;;2:18.556;0;33.904;0;37.806;0;79.7;17:31.836;12:47:31.836;2:18.556;0:33.904;0:37.806;;Damiano FIORAVANTI;0:01:51.379;LMP3;;Oregon Team;Norma;
10;1;9;1:44.260;0;;32.056;0;33.841;0;38.363;0;160.7;19:16.096;12:49:16.096;0:32.056;0:33.841;0:38.363;270.7;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;10;1:42.935;0;;31.595;0;33.573;0;37.767;0;162.7;20:59.031;12:50:59.031;0:31.595;0:33.573;0:37.767;270.7;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;11;1:42.824;0;;31.414;0;33.703;0;37.707;0;162.9;22:41.855;12:52:41.855;0:31.414;0:33.703;0:37.707;272.0;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;12;1:44.310;0;;31.491;0;34.611;0;38.208;0;160.6;24:26.165;12:54:26.165;0:31.491;0:34.611;0:38.208;272.0;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;13;1:43.829;0;;32.073;0;33.836;0;37.920;0;161.3;26:09.994;12:56:09.994;0:32.073;0:33.836;0:37.920;270.7;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;14;1:45.644;0;;31.743;0;34.799;0;39.102;0;158.6;27:55.638;12:57:55.638;0:31.743;0:34.799;0:39.102;273.4;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;15;1:43.429;0;;32.104;0;33.657;0;37.668;0;162.0;29:39.067;12:59:39.067;0:32.104;0:33.657;0:37.668;274.8;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;16;1:50.164;0;B;31.696;0;33.995;0;44.473;0;152.1;31:29.231;13:01:29.231;0:31.696;0:33.995;0:44.473;272.7;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;3;17;3:40.640;0;;2:24.059;0;36.297;0;40.284;0;75.9;35:09.871;13:05:09.871;2:24.059;0:36.297;0:40.284;;Lorenzo BONTEMPELLI;0:01:51.919;LMP3;;Oregon Team;Norma;
10;3;18;1:47.046;0;;32.717;0;34.686;0;39.643;0;156.5;36:56.917;13:06:56.917;0:32.717;0:34.686;0:39.643;268.0;Lorenzo BONTEMPELLI;;LMP3;;Oregon Team;Norma;
10;3;19;1:47.012;0;;32.674;0;34.809;0;39.529;0;156.5;38:43.929;13:08:43.929;0:32.674;0:34.809;0:39.529;270.0;Lorenzo BONTEMPELLI;;LMP3;;Oregon Team;Norma;
10;3;20;1:45.747;0;;32.341;0;34.164;1;39.242;1;158.4;40:29.676;13:10:29.676;0:32.341;0:34.164;0:39.242;269.3;Lorenzo BONTEMPELLI;;LMP3;;Oregon Team;Norma;
10;3;21;1:46.975;0;;32.899;0;34.507;0;39.569;0;156.6;42:16.651;13:12:16.651;0:32.899;0:34.507;0:39.569;268.0;Lorenzo BONTEMPELLI;;LMP3;;Oregon Team;Norma;
10;3;22;1:46.120;0;;32.273;1;34.468;0;39.379;0;157.8;44:02.771;13:14:02.771;0:32.273;0:34.468;0:39.379;268.7;Lorenzo BONTEMPELLI;;LMP3;;Oregon Team;Norma;
10;3;23;1:46.573;0;;32.304;0;34.791;0;39.478;0;157.2;45:49.344;13:15:49.344;0:32.304;0:34.791;0:39.478;270.7;Lorenzo BONTEMPELLI;;LMP3;;Oregon Team;Norma;
10;3;24;1:53.346;0;;32.478;0;35.578;0;45.290;0;147.8;47:42.690;13:17:42.690;0:32.478;0:35.578;0:45.290;270.7;Lorenzo BONTEMPELLI;;LMP3;;Oregon Team;Norma;
10;3;25;1:52.046;0;;32.564;0;34.804;0;44.678;0;149.5;49:34.736;13:19:34.736;0:32.564;0:34.804;0:44.678;270.7;Lorenzo BONTEMPELLI;;LMP3;;Oregon Team;Norma;
10;3;26;3:29.370;0;B;1:11.322;0;1:01.925;0;1:16.123;0;80.0;53:04.106;13:23:04.106;1:11.322;1:01.925;1:16.123;80.8;Lorenzo BONTEMPELLI;;LMP3;;Oregon Team;Norma;
10;3;27;7:10.118;0;B;5:23.295;0;38.286;0;1:08.537;0;38.9;1:00:14.224;13:30:14.224;5:23.295;0:38.286;1:08.537;;Lorenzo BONTEMPELLI;0:04:55.099;LMP3;;Oregon Team;Norma;
10;2;28;4:05.288;0;;2:47.152;0;37.976;0;40.160;0;68.3;1:04:19.512;13:34:19.512;2:47.152;0:37.976;0:40.160;;Gustas GRINBERGAS;0:01:56.620;LMP3;;Oregon Team;Norma;
10;2;29;1:47.972;0;;34.514;0;34.698;0;38.760;0;155.1;1:06:07.484;13:36:07.484;0:34.514;0:34.698;0:38.760;231.8;Gustas GRINBERGAS;;LMP3;;Oregon Team;Norma;
10;2;30;1:44.928;0;;32.330;0;33.735;0;38.863;0;159.6;1:07:52.412;13:37:52.412;0:32.330;0:33.735;0:38.863;270.0;Gustas GRINBERGAS;;LMP3;;Oregon Team;Norma;
10;2;31;1:45.745;0;;32.545;0;34.035;0;39.165;0;158.4;1:09:38.157;13:39:38.157;0:32.545;0:34.035;0:39.165;270.7;Gustas GRINBERGAS;;LMP3;;Oregon Team;Norma;
10;2;32;1:44.316;0;;32.258;0;33.718;0;38.340;0;160.6;1:11:22.473;13:41:22.473;0:32.258;0:33.718;0:38.340;270.7;Gustas GRINBERGAS;;LMP3;;Oregon Team;Norma;
10;2;33;1:43.890;0;;31.981;0;33.755;0;38.154;0;161.2;1:13:06.363;13:43:06.363;0:31.981;0:33.755;0:38.154;272.7;Gustas GRINBERGAS;;LMP3;;Oregon Team;Norma;
10;2;34;1:43.920;0;;31.979;0;33.649;0;38.292;0;161.2;1:14:50.283;13:44:50.283;0:31.979;0:33.649;0:38.292;272.7;Gustas GRINBERGAS;;LMP3;;Oregon Team;Norma;
10;2;35;1:44.004;0;;32.125;0;33.640;0;38.239;0;161.1;1:16:34.287;13:46:34.287;0:32.125;0:33.640;0:38.239;272.0;Gustas GRINBERGAS;;LMP3;;Oregon Team;Norma;
10;2;36;1:43.707;0;;32.037;0;33.435;1;38.235;0;161.5;1:18:17.994;13:48:17.994;0:32.037;0:33.435;0:38.235;272.7;Gustas GRINBERGAS;;LMP3;;Oregon Team;Norma;
10;2;37;1:44.332;0;;32.025;0;34.138;0;38.169;0;160.6;1:20:02.326;13:50:02.326;0:32.025;0:34.138;0:38.169;272.0;Gustas GRINBERGAS;;LMP3;;Oregon Team;Norma;
10;2;38;1:43.562;0;;31.896;0;33.533;0;38.133;1;161.7;1:21:45.888;13:51:45.888;0:31.896;0:33.533;0:38.133;272.7;Gustas GRINBERGAS;;LMP3;;Oregon Team;Norma;
10;2;39;1:46.219;0;;31.879;1;35.085;0;39.255;0;157.7;1:23:32.107;13:53:32.107;0:31.879;0:35.085;0:39.255;274.8;Gustas GRINBERGAS;;LMP3;;Oregon Team;Norma;
10;2;40;1:45.357;0;;32.983;0;34.052;0;38.322;0;159.0;1:25:17.464;13:55:17.464;0:32.983;0:34.052;0:38.322;274.8;Gustas GRINBERGAS;;LMP3;;Oregon Team;Norma;
10;2;41;1:46.853;0;;32.100;0;34.220;0;40.533;0;156.8;1:27:04.317;13:57:04.317;0:32.100;0:34.220;0:40.533;274.1;Gustas GRINBERGAS;;LMP3;;Oregon Team;Norma;
10;2;42;1:44.306;0;;32.108;0;34.040;0;38.158;0;160.6;1:28:48.623;13:58:48.623;0:32.108;0:34.040;0:38.158;273.4;Gustas GRINBERGAS;;LMP3;;Oregon Team;Norma;
10;2;43;1:43.888;0;;31.981;0;33.609;0;38.298;0;161.2;1:30:32.511;14:00:32.511;0:31.981;0:33.609;0:38.298;274.1;Gustas GRINBERGAS;;LMP3;;Oregon Team;Norma;
11;1;1;9:41.404;0;;8:27.043;0;36.264;0;38.097;0;27.2;9:41.404;12:39:41.404;8:27.043;0:36.264;0:38.097;;Mikkel JENSEN;0:07:53.174;LMP3;;Eurointernational;Ligier;
11;1;2;1:41.164;0;;31.063;0;33.150;0;36.951;0;165.6;11:22.568;12:41:22.568;0:31.063;0:33.150;0:36.951;268.0;Mikkel JENSEN;;LMP3;;Eurointernational;Ligier;
11;1;3;1:44.222;0;;32.281;0;34.558;0;37.383;0;160.7;13:06.790;12:43:06.790;0:32.281;0:34.558;0:37.383;266.7;Mikkel JENSEN;;LMP3;;Eurointernational;Ligier;
11;1;4;1:40.565;0;;31.291;0;32.647;2;36.627;2;166.6;14:47.355;12:44:47.355;0:31.291;0:32.647;0:36.627;266.0;Mikkel JENSEN;;LMP3;;Eurointernational;Ligier;
11;1;5;1:45.282;0;;33.914;0;34.375;0;36.993;0;159.1;16:32.637;12:46:32.637;0:33.914;0:34.375;0:36.993;268.0;Mikkel JENSEN;;LMP3;;Eurointernational;Ligier;
11;1;6;1:40.418;2;;30.964;2;32.720;0;36.734;0;166.8;18:13.055;12:48:13.055;0:30.964;0:32.720;0:36.734;266.7;Mikkel JENSEN;;LMP3;;Eurointernational;Ligier;
