NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
G15;1;1;2:31.000;0;;1:03.535;0;43.392;0;44.073;0;104.6;2:31.000;14:37:31.000;1:03.535;0:43.392;0:44.073;; HALL / MOORE;0:00:26.111;GT4;GTC;Tockwith Motorsport;;
G15;1;2;1:57.315;0;;36.529;0;38.308;0;42.478;2;142.8;4:28.315;14:39:28.315;0:36.529;0:38.308;0:42.478;243.8; HALL / MOORE;;GT4;GTC;Tockwith Motorsport;;
G15;1;3;1:57.942;0;;36.513;0;38.897;0;42.532;0;142.0;6:26.257;14:41:26.257;0:36.513;0:38.897;0:42.532;249.4; HALL / MOORE;;GT4;GTC;Tockwith Motorsport;;
G15;1;4;1:57.090;2;;36.000;2;38.168;0;42.922;0;143.1;8:23.347;14:43:23.347;0:36.000;0:38.168;0:42.922;248.3; HALL / MOORE;;GT4;GTC;Tockwith Motorsport;;
G15;1;5;2:00.418;0;;38.951;0;38.305;0;43.162;0;139.1;10:23.765;14:45:23.765;0:38.951;0:38.305;0:43.162;242.2; HALL / MOORE;;GT4;GTC;Tockwith Motorsport;;
G15;1;6;1:57.396;0;;36.068;0;38.064;2;43.264;0;142.7;12:21.161;14:47:21.161;0:36.068;0:38.064;0:43.264;246.0; HALL / MOORE;;GT4;GTC;Tockwith Motorsport;;
G15;1;7;1:57.411;0;;36.423;0;38.299;0;42.689;0;142.7;14:18.572;14:49:18.572;0:36.423;0:38.299;0:42.689;245.5; HALL / MOORE;;GT4;GTC;Tockwith Motorsport;;
G15;1;8;2:07.922;0;B;36.080;0;38.223;0;53.619;0;130.9;16:26.494;14:51:26.494;0:36.080;0:38.223;0:53.619;245.5; HALL / MOORE;;GT4;GTC;Tockwith Motorsport;;
G16;1;1;3:37.839;0;;2:08.195;0;44.333;0;45.311;0;72.5;3:37.839;14:38:37.839;2:08.195;0:44.333;0:45.311;; PIRES / MACHADO;0:01:26.979;GT4;Pro-Am;ABM Grand Prix;;
G16;1;2;1:54.728;0;;35.804;0;37.021;2;41.903;0;146.0;5:32.567;14:40:32.567;0:35.804;0:37.021;0:41.903;233.3; PIRES / MACHADO;;GT4;Pro-Am;ABM Grand Prix;;
