NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;1;1;2:15.713;0;;35.292;0;33.644;0;1:06.777;0;116.4;2:15.713;12:32:53.611;0:35.292;0:33.644;1:06.777;;Mikkel JENSEN;;LMP3;;Eurointernational;Ligier;
11;1;2;55:09.215;0;;53:25.959;0;43.177;0;1:00.079;0;5.1;57:24.928;13:28:02.826;53:25.959;0:43.177;1:00.079;;Mikkel JENSEN;;LMP3;;Eurointernational;Ligier;
11;1;3;2:29.162;0;B;55.522;0;40.186;0;53.454;0;112.3;59:54.090;13:30:31.988;0:55.522;0:40.186;0:53.454;;Mikkel JENSEN;;LMP3;;Eurointernational;Ligier;
11;2;4;3:43.797;0;;2:26.664;0;36.506;0;40.627;0;74.8;1:03:37.887;13:34:15.785;2:26.664;0:36.506;0:40.627;;Jens PETERSEN;0:01:58.658;LMP3;;Eurointernational;Ligier;
11;2;5;1:47.622;0;;33.600;0;35.123;0;38.899;0;155.6;1:05:25.509;13:36:03.407;0:33.600;0:35.123;0:38.899;231.8;Jens PETERSEN;;LMP3;;Eurointernational;Ligier;
11;2;6;1:44.305;0;;32.569;0;34.040;0;37.696;0;160.6;1:07:09.814;13:37:47.712;0:32.569;0:34.040;0:37.696;261.5;Jens PETERSEN;;LMP3;;Eurointernational;Ligier;
11;2;7;1:43.671;0;;32.119;0;33.916;0;37.636;2;161.6;1:08:53.485;13:39:31.383;0:32.119;0:33.916;0:37.636;260.9;Jens PETERSEN;;LMP3;;Eurointernational;Ligier;
11;2;8;1:44.907;0;;32.143;0;34.441;0;38.323;0;159.7;1:10:38.392;13:41:16.290;0:32.143;0:34.441;0:38.323;260.2;Jens PETERSEN;;LMP3;;Eurointernational;Ligier;
11;2;9;1:44.410;0;;32.091;0;33.798;0;38.521;0;160.4;1:12:22.802;13:43:00.700;0:32.091;0:33.798;0:38.521;262.8;Jens PETERSEN;;LMP3;;Eurointernational;Ligier;
11;2;10;2:58.467;0;;45.626;0;1:04.150;0;1:08.691;0;93.9;1:15:21.269;13:45:59.167;0:45.626;1:04.150;1:08.691;198.9;Jens PETERSEN;;LMP3;;Eurointernational;Ligier;
11;2;11;2:37.778;0;;59.785;0;45.465;0;52.528;0;106.2;1:17:59.047;13:48:36.945;0:59.785;0:45.465;0:52.528;;Jens PETERSEN;;LMP3;;Eurointernational;Ligier;
11;2;12;2:23.930;0;;42.692;0;43.561;0;57.677;0;116.4;1:20:22.977;13:51:00.875;0:42.692;0:43.561;0:57.677;229.8;Jens PETERSEN;;LMP3;;Eurointernational;Ligier;
11;2;13;2:23.705;0;;46.417;0;44.039;0;53.249;0;116.6;1:22:46.682;13:53:24.580;0:46.417;0:44.039;0:53.249;133.5;Jens PETERSEN;;LMP3;;Eurointernational;Ligier;
11;2;14;2:17.717;0;;42.001;0;43.824;0;51.892;0;121.6;1:25:04.399;13:55:42.297;0:42.001;0:43.824;0:51.892;178.2;Jens PETERSEN;;LMP3;;Eurointernational;Ligier;
11;2;15;1:46.658;0;;33.090;0;34.312;0;39.256;0;157.1;1:26:51.057;13:57:28.955;0:33.090;0:34.312;0:39.256;259.0;Jens PETERSEN;;LMP3;;Eurointernational;Ligier;
