NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
20;1;1;3:26.367;0;;2:11.830;0;39.134;0;35.403;0;95.7;3:26.367;14:23:26.367;2:11.830;0:39.134;0:35.403;185.9;Anders FJORDBACH;0:01:37.005;LMP2;;High Class Racing;Oreca;
20;1;2;1:36.374;2;;31.214;2;32.814;2;32.346;2;216.4;5:02.741;14:25:02.741;0:31.214;0:32.814;0:32.346;305.9;Anders FJORDBACH;;LMP2;;High Class Racing;Oreca;
20;1;3;1:38.357;0;;31.526;0;33.652;0;33.179;0;212.0;6:41.098;14:26:41.098;0:31.526;0:33.652;0:33.179;308.6;Anders FJORDBACH;;LMP2;;High Class Racing;Oreca;
20;1;4;1:43.290;0;;33.525;0;34.086;0;35.679;0;201.9;8:24.388;14:28:24.388;0:33.525;0:34.086;0:35.679;309.5;Anders FJORDBACH;;LMP2;;High Class Racing;Oreca;
20;1;5;1:51.724;0;B;32.461;0;33.143;0;46.120;0;186.7;10:16.112;14:30:16.112;0:32.461;0:33.143;0:46.120;304.2;Anders FJORDBACH;;LMP2;;High Class Racing;Oreca;
21;2;1;3:19.950;0;;2:06.145;0;39.045;0;34.760;0;98.7;3:19.950;14:23:19.950;2:06.145;0:39.045;0:34.760;176.2;Renger VAN DER ZANDE;0:01:32.037;LMP2;;DragonSpeed;Oreca;
21;2;2;1:36.211;0;;31.476;0;32.621;0;32.114;0;216.8;4:56.161;14:24:56.161;0:31.476;0:32.621;0:32.114;301.7;Renger VAN DER ZANDE;;LMP2;;DragonSpeed;Oreca;
21;2;3;1:35.630;0;;31.147;2;32.585;0;31.898;0;218.1;6:31.791;14:26:31.791;0:31.147;0:32.585;0:31.898;303.4;Renger VAN DER ZANDE;;LMP2;;DragonSpeed;Oreca;
21;2;4;1:35.506;2;;31.155;0;32.515;2;31.836;2;218.4;8:07.297;14:28:07.297;0:31.155;0:32.515;0:31.836;304.2;Renger VAN DER ZANDE;;LMP2;;DragonSpeed;Oreca;
21;2;5;1:46.774;0;;32.784;0;40.923;0;33.067;0;195.3;9:54.071;14:29:54.071;0:32.784;0:40.923;0:33.067;304.2;Renger VAN DER ZANDE;;LMP2;;DragonSpeed;Oreca;
21;2;6;4:06.940;0;B;1:05.447;0;1:24.120;0;1:37.373;0;84.5;14:01.011;14:34:01.011;1:05.447;1:24.120;1:37.373;147.9;Renger VAN DER ZANDE;;LMP2;;DragonSpeed;Oreca;
22;2;1;1:49.169;0;;40.537;0;34.457;0;34.175;0;180.8;1:49.169;14:21:49.169;0:40.537;0:34.457;0:34.175;192.5;Filipe ALBUQUERQUE;0:00:05.169;LMP2;;United Autosports;Ligier;
22;2;2;1:44.053;0;;31.359;0;36.742;0;35.952;0;200.4;3:33.222;14:23:33.222;0:31.359;0:36.742;0:35.952;302.5;Filipe ALBUQUERQUE;;LMP2;;United Autosports;Ligier;
22;2;3;1:43.322;0;B;31.223;2;32.815;0;39.284;0;201.8;5:16.544;14:25:16.544;0:31.223;0:32.815;0:39.284;305.9;Filipe ALBUQUERQUE;;LMP2;;United Autosports;Ligier;
22;2;4;2:27.431;0;;1:21.205;0;33.668;0;32.558;0;141.5;7:43.975;14:27:43.975;1:21.205;0:33.668;0:32.558;227.8;Filipe ALBUQUERQUE;0:00:53.391;LMP2;;United Autosports;Ligier;
22;2;5;1:35.984;2;;31.320;0;32.559;2;32.105;2;217.3;9:19.959;14:29:19.959;0:31.320;0:32.559;0:32.105;304.2;Filipe ALBUQUERQUE;;LMP2;;United Autosports;Ligier;
22;2;6;3:20.942;0;B;31.286;0;1:15.725;0;1:33.931;0;103.8;12:40.901;14:32:40.901;0:31.286;1:15.725;1:33.931;305.1;Filipe ALBUQUERQUE;;LMP2;;United Autosports;Ligier;
23;2;1;2:13.152;0;;56.346;0;36.902;0;39.904;0;148.3;2:13.152;14:22:13.152;0:56.346;0:36.902;0:39.904;206.9;William STEVENS;0:00:19.970;LMP2;;Panis Barthez Competition;Ligier;
23;2;2;1:36.425;0;;31.408;0;32.706;2;32.311;2;216.3;3:49.577;14:23:49.577;0:31.408;0:32.706;0:32.311;302.5;William STEVENS;;LMP2;;Panis Barthez Competition;Ligier;
23;2;3;1:36.287;2;;31.248;2;32.712;0;32.327;0;216.6;5:25.864;14:25:25.864;0:31.248;0:32.712;0:32.327;303.4;William STEVENS;;LMP2;;Panis Barthez Competition;Ligier;
23;2;4;1:44.064;0;B;31.260;0;32.905;0;39.899;0;200.4;7:09.928;14:27:09.928;0:31.260;0:32.905;0:39.899;303.4;William STEVENS;;LMP2;;Panis Barthez Competition;Ligier;
23;2;5;2:28.001;0;;1:20.708;0;33.951;0;33.342;0;140.9;9:37.929;14:29:37.929;1:20.708;0:33.951;0:33.342;229.8;William STEVENS;0:00:53.300;LMP2;;Panis Barthez Competition;Ligier;
23;2;6;4:02.269;0;B;1:03.954;0;1:22.304;0;1:36.011;0;86.1;13:40.198;14:33:40.198;1:03.954;1:22.304;1:36.011;304.2;William STEVENS;;LMP2;;Panis Barthez Competition;Ligier;
24;2;1;2:21.087;0;;1:08.575;0;36.516;0;35.996;0;139.9;2:21.087;14:22:21.087;1:08.575;0:36.516;0:35.996;133.2;Konstantin TERESCHENKO;0:00:23.848;LMP2;;Panis Barthez Competition;Ligier;
24;2;2;1:36.771;0;;31.837;0;32.643;0;32.291;2;215.5;3:57.858;14:23:57.858;0:31.837;0:32.643;0:32.291;300.0;Konstantin TERESCHENKO;;LMP2;;Panis Barthez Competition;Ligier;
24;2;3;1:36.369;2;;31.437;2;32.585;2;32.347;0;216.4;5:34.227;14:25:34.227;0:31.437;0:32.585;0:32.347;301.7;Konstantin TERESCHENKO;;LMP2;;Panis Barthez Competition;Ligier;
24;2;4;1:42.659;0;B;31.509;0;32.651;0;38.499;0;203.1;7:16.886;14:27:16.886;0:31.509;0:32.651;0:38.499;301.7;Konstantin TERESCHENKO;;LMP2;;Panis Barthez Competition;Ligier;
24;2;5;2:32.736;0;;1:25.230;0;34.317;0;33.189;0;136.5;9:49.622;14:29:49.622;1:25.230;0:34.317;0:33.189;229.8;Konstantin TERESCHENKO;0:00:55.772;LMP2;;Panis Barthez Competition;Ligier;
24;2;6;4:04.271;0;B;1:02.398;0;1:22.671;0;1:39.202;0;85.4;13:53.893;14:33:53.893;1:02.398;1:22.671;1:39.202;165.6;Konstantin TERESCHENKO;;LMP2;;Panis Barthez Competition;Ligier;
25;2;1;2:34.341;0;;1:21.463;0;36.763;0;36.115;0;127.9;2:34.341;14:22:34.341;1:21.463;0:36.763;0:36.115;80.4;Andrea PIZZITOLA;0:00:34.314;LMP2;;Algarve Pro Racing;Oreca;
25;2;2;1:36.594;0;;31.470;0;32.773;0;32.351;0;215.9;4:10.935;14:24:10.935;0:31.470;0:32.773;0:32.351;304.2;Andrea PIZZITOLA;;LMP2;;Algarve Pro Racing;Oreca;
25;2;3;1:36.066;0;;31.265;0;32.455;2;32.346;0;217.1;5:47.001;14:25:47.001;0:31.265;0:32.455;0:32.346;304.2;Andrea PIZZITOLA;;LMP2;;Algarve Pro Racing;Oreca;
25;2;4;1:35.886;2;;31.184;2;32.604;0;32.098;2;217.5;7:22.887;14:27:22.887;0:31.184;0:32.604;0:32.098;304.2;Andrea PIZZITOLA;;LMP2;;Algarve Pro Racing;Oreca;
25;2;5;1:48.631;0;B;34.344;0;34.413;0;39.874;0;192.0;9:11.518;14:29:11.518;0:34.344;0:34.413;0:39.874;305.1;Andrea PIZZITOLA;;LMP2;;Algarve Pro Racing;Oreca;
26;3;1;3:28.574;0;;2:12.882;0;39.147;0;36.545;0;94.7;3:28.574;14:23:28.574;2:12.882;0:39.147;0:36.545;184.0;Norman NATO;0:01:34.290;LMP2;;G-Drive Racing;Aurus;
26;3;2;1:39.145;0;;31.037;0;34.754;0;33.354;0;210.3;5:07.719;14:25:07.719;0:31.037;0:34.754;0:33.354;307.7;Norman NATO;;LMP2;;G-Drive Racing;Aurus;
26;3;3;1:35.213;2;;30.983;0;32.380;2;31.850;2;219.0;6:42.932;14:26:42.932;0:30.983;0:32.380;0:31.850;308.6;Norman NATO;;LMP2;;G-Drive Racing;Aurus;
26;3;4;1:37.462;0;;30.984;0;33.236;0;33.242;0;214.0;8:20.394;14:28:20.394;0:30.984;0:33.236;0:33.242;309.5;Norman NATO;;LMP2;;G-Drive Racing;Aurus;
26;3;5;1:35.213;0;;30.911;3;32.414;0;31.888;0;219.0;9:55.607;14:29:55.607;0:30.911;0:32.414;0:31.888;308.6;Norman NATO;;LMP2;;G-Drive Racing;Aurus;
27;2;1;3:01.033;0;;1:33.760;0;45.933;0;41.340;0;109.1;3:01.033;14:23:01.033;1:33.760;0:45.933;0:41.340;204.2;Erik MARIS;0:00:58.881;LMP2;;Idec Sport;Ligier;
