NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;1;1;3:25.152;0;;2:05.004;0;43.234;0;36.914;0;79.2;3:25.152;11:03:25.152;2:05.004;0:43.234;0:36.914;189.5;Damiano FIORAVANTI;0:01:32.960;LMP3;;Oregon Team;Norma;
10;1;2;1:40.503;0;;28.792;0;38.281;0;33.430;2;166.7;5:05.655;11:05:05.655;0:28.792;0:38.281;0:33.430;266.0;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;3;1:40.371;2;;28.444;3;38.192;2;33.735;0;167.0;6:46.026;11:06:46.026;0:28.444;0:38.192;0:33.735;267.3;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;4;1:49.832;0;;31.648;0;44.136;0;34.048;0;152.6;8:35.858;11:08:35.858;0:31.648;0:44.136;0:34.048;257.1;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;5;1:42.432;0;;28.698;0;38.280;0;35.454;0;163.6;10:18.290;11:10:18.290;0:28.698;0:38.280;0:35.454;267.3;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
11;1;1;1:54.866;0;;37.185;0;41.027;0;36.654;0;141.4;1:54.866;11:01:54.866;0:37.185;0:41.027;0:36.654;175.9;Mikkel JENSEN;0:00:02.947;LMP3;;Eurointernational;Ligier;
11;1;2;1:40.931;0;;29.232;0;38.403;0;33.296;3;166.0;3:35.797;11:03:35.797;0:29.232;0:38.403;0:33.296;254.7;Mikkel JENSEN;;LMP3;;Eurointernational;Ligier;
11;1;3;1:40.635;0;;28.937;0;38.310;0;33.388;0;166.5;5:16.432;11:05:16.432;0:28.937;0:38.310;0:33.388;257.1;Mikkel JENSEN;;LMP3;;Eurointernational;Ligier;
11;1;4;1:40.187;3;;28.847;2;38.042;3;33.298;0;167.3;6:56.619;11:06:56.619;0:28.847;0:38.042;0:33.298;257.8;Mikkel JENSEN;;LMP3;;Eurointernational;Ligier;
11;1;5;1:40.514;0;;28.903;0;38.126;0;33.485;0;166.7;8:37.133;11:08:37.133;0:28.903;0:38.126;0:33.485;259.6;Mikkel JENSEN;;LMP3;;Eurointernational;Ligier;
13;2;1;2:14.610;0;;1:00.160;0;39.828;0;34.622;0;120.7;2:14.610;11:02:14.610;1:00.160;0:39.828;0:34.622;105.5;Nigel MOORE;0:00:18.027;LMP3;;Inter Europol Competition;Ligier;
13;2;2;1:41.855;0;;29.124;2;39.097;0;33.634;0;164.5;3:56.465;11:03:56.465;0:29.124;0:39.097;0:33.634;257.1;Nigel MOORE;;LMP3;;Inter Europol Competition;Ligier;
