NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;1;1;1:53.837;0;;36.601;0;41.267;0;35.969;0;142.7;1:53.837;18:31:43.679;0:36.601;0:41.267;0:35.969;;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;2;1:44.542;0;;29.536;0;40.534;0;34.472;0;160.3;3:38.379;18:33:28.221;0:29.536;0:40.534;0:34.472;264.1;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;3;1:42.974;0;;29.441;0;39.421;0;34.112;0;162.7;5:21.353;18:35:11.195;0:29.441;0:39.421;0:34.112;264.7;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;4;1:42.932;2;;29.408;2;39.274;2;34.250;0;162.8;7:04.285;18:36:54.127;0:29.408;0:39.274;0:34.250;265.4;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;5;1:44.109;0;;30.604;0;39.411;0;34.094;2;161.0;8:48.394;18:38:38.236;0:30.604;0:39.411;0:34.094;265.4;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;6;1:43.451;0;;29.857;0;39.322;0;34.272;0;162.0;10:31.845;18:40:21.687;0:29.857;0:39.322;0:34.272;264.7;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;7;1:43.502;0;;29.595;0;39.459;0;34.448;0;161.9;12:15.347;18:42:05.189;0:29.595;0:39.459;0:34.448;264.7;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;8;1:44.036;0;;29.543;0;39.769;0;34.724;0;161.1;13:59.383;18:43:49.225;0:29.543;0:39.769;0:34.724;265.4;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;9;1:44.182;0;;29.824;0;39.754;0;34.604;0;160.9;15:43.565;18:45:33.407;0:29.824;0:39.754;0:34.604;265.4;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;10;1:44.726;0;;29.531;0;40.059;0;35.136;0;160.0;17:28.291;18:47:18.133;0:29.531;0:40.059;0:35.136;265.4;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;11;1:44.696;0;;29.727;0;39.974;0;34.995;0;160.1;19:12.987;18:49:02.829;0:29.727;0:39.974;0:34.995;265.4;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;12;1:44.269;0;;29.776;0;39.781;0;34.712;0;160.7;20:57.256;18:50:47.098;0:29.776;0:39.781;0:34.712;266.0;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;13;1:44.736;0;;29.712;0;40.030;0;34.994;0;160.0;22:41.992;18:52:31.834;0:29.712;0:40.030;0:34.994;266.7;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;14;1:55.513;0;B;31.311;0;41.844;0;42.358;0;145.1;24:37.505;18:54:27.347;0:31.311;0:41.844;0:42.358;267.3;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;15;5:40.511;0;;4:24.795;0;40.682;0;35.034;0;49.2;30:18.016;19:00:07.858;4:24.795;0:40.682;0:35.034;190.5;Damiano FIORAVANTI;0:03:57.029;LMP3;;Oregon Team;Norma;
10;1;16;1:45.001;0;;29.972;0;40.015;0;35.014;0;159.6;32:03.017;19:01:52.859;0:29.972;0:40.015;0:35.014;264.7;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;17;1:55.495;0;;30.067;0;40.593;0;44.835;0;145.1;33:58.512;19:03:48.354;0:30.067;0:40.593;0:44.835;265.4;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;18;3:27.280;0;;1:12.449;0;1:19.245;0;55.586;0;80.8;37:25.792;19:07:15.634;1:12.449;1:19.245;0:55.586;;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;19;2:16.018;0;;59.712;0;40.759;0;35.547;0;123.2;39:41.810;19:09:31.652;0:59.712;0:40.759;0:35.547;;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;20;1:44.806;0;;30.013;0;40.036;0;34.757;0;159.9;41:26.616;19:11:16.458;0:30.013;0:40.036;0:34.757;264.1;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;21;1:46.038;0;;29.961;0;40.647;0;35.430;0;158.0;43:12.654;19:13:02.496;0:29.961;0:40.647;0:35.430;266.7;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;22;1:45.832;0;;30.275;0;40.312;0;35.245;0;158.3;44:58.486;19:14:48.328;0:30.275;0:40.312;0:35.245;266.0;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;23;1:46.878;0;;29.969;0;41.304;0;35.605;0;156.8;46:45.364;19:16:35.206;0:29.969;0:41.304;0:35.605;266.0;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;24;1:45.518;0;;30.551;0;40.041;0;34.926;0;158.8;48:30.882;19:18:20.724;0:30.551;0:40.041;0:34.926;264.1;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;25;1:45.817;0;;30.062;0;40.647;0;35.108;0;158.4;50:16.699;19:20:06.541;0:30.062;0:40.647;0:35.108;263.4;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;26;1:45.868;0;;29.958;0;40.047;0;35.863;0;158.3;52:02.567;19:21:52.409;0:29.958;0:40.047;0:35.863;266.0;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;27;1:46.120;0;;30.578;0;40.320;0;35.222;0;157.9;53:48.687;19:23:38.529;0:30.578;0:40.320;0:35.222;264.7;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;28;1:45.725;0;;30.149;0;40.376;0;35.200;0;158.5;55:34.412;19:25:24.254;0:30.149;0:40.376;0:35.200;266.0;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;29;1:45.333;0;;29.941;0;40.072;0;35.320;0;159.1;57:19.745;19:27:09.587;0:29.941;0:40.072;0:35.320;264.7;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;30;1:44.839;0;;29.844;0;39.856;0;35.139;0;159.8;59:04.584;19:28:54.426;0:29.844;0:39.856;0:35.139;265.4;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;31;1:45.413;0;;29.908;0;40.187;0;35.318;0;159.0;1:00:49.997;19:30:39.839;0:29.908;0:40.187;0:35.318;265.4;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;32;1:45.020;0;;29.888;0;39.966;0;35.166;0;159.6;1:02:35.017;19:32:24.859;0:29.888;0:39.966;0:35.166;266.0;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;33;1:45.957;0;;29.947;0;40.479;0;35.531;0;158.2;1:04:20.974;19:34:10.816;0:29.947;0:40.479;0:35.531;266.0;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;34;1:46.532;0;;30.110;0;40.908;0;35.514;0;157.3;1:06:07.506;19:35:57.348;0:30.110;0:40.908;0:35.514;265.4;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;35;1:45.849;0;;29.899;0;40.216;0;35.734;0;158.3;1:07:53.355;19:37:43.197;0:29.899;0:40.216;0:35.734;267.3;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;36;1:47.034;0;;30.218;0;41.009;0;35.807;0;156.6;1:09:40.389;19:39:30.231;0:30.218;0:41.009;0:35.807;267.3;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;37;1:47.276;0;;30.538;0;41.338;0;35.400;0;156.2;1:11:27.665;19:41:17.507;0:30.538;0:41.338;0:35.400;266.7;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;38;1:51.193;0;;30.897;0;41.187;0;39.109;0;150.7;1:13:18.858;19:43:08.700;0:30.897;0:41.187;0:39.109;266.0;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;39;1:47.551;0;;30.440;0;41.193;0;35.918;0;155.8;1:15:06.409;19:44:56.251;0:30.440;0:41.193;0:35.918;264.1;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;40;1:47.089;0;;30.251;0;40.827;0;36.011;0;156.5;1:16:53.498;19:46:43.340;0:30.251;0:40.827;0:36.011;266.0;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;41;1:47.528;0;;30.186;0;41.688;0;35.654;0;155.8;1:18:41.026;19:48:30.868;0:30.186;0:41.688;0:35.654;266.7;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;42;1:46.889;0;;30.295;0;40.533;0;36.061;0;156.8;1:20:27.915;19:50:17.757;0:30.295;0:40.533;0:36.061;266.7;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;43;1:55.824;0;;31.159;0;40.867;0;43.798;0;144.7;1:22:23.739;19:52:13.581;0:31.159;0:40.867;0:43.798;264.1;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;44;3:25.883;0;B;1:12.661;0;1:17.978;0;55.244;0;81.4;1:25:49.622;19:55:39.464;1:12.661;1:17.978;0:55.244;;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;2;45;3:33.019;0;;2:15.465;0;41.646;0;35.908;0;78.7;1:29:22.641;19:59:12.483;2:15.465;0:41.646;0:35.908;187.2;Gustas GRINBERGAS;0:01:45.475;LMP3;;Oregon Team;Norma;
10;2;46;1:48.612;0;;30.749;0;41.414;0;36.449;0;154.3;1:31:11.253;20:01:01.095;0:30.749;0:41.414;0:36.449;264.1;Gustas GRINBERGAS;;LMP3;;Oregon Team;Norma;
10;2;47;1:49.519;0;;30.664;0;41.326;0;37.529;0;153.0;1:33:00.772;20:02:50.614;0:30.664;0:41.326;0:37.529;266.7;Gustas GRINBERGAS;;LMP3;;Oregon Team;Norma;
10;2;48;1:55.789;0;;36.618;0;42.990;0;36.181;0;144.7;1:34:56.561;20:04:46.403;0:36.618;0:42.990;0:36.181;264.1;Gustas GRINBERGAS;;LMP3;;Oregon Team;Norma;
10;2;49;1:46.340;0;;30.563;0;40.566;0;35.211;0;157.6;1:36:42.901;20:06:32.743;0:30.563;0:40.566;0:35.211;263.4;Gustas GRINBERGAS;;LMP3;;Oregon Team;Norma;
10;2;50;1:47.850;0;;31.125;0;40.939;0;35.786;0;155.4;1:38:30.751;20:08:20.593;0:31.125;0:40.939;0:35.786;266.7;Gustas GRINBERGAS;;LMP3;;Oregon Team;Norma;
