NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;1;1;2:03.978;0;;42.525;0;30.038;0;51.415;0;164.3;2:03.978;12:32:12.808;0:42.525;0:30.038;0:51.415;290.3;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;2;1:53.380;0;;34.246;0;28.894;0;50.240;0;183.2;3:57.358;12:34:06.188;0:34.246;0:28.894;0:50.240;292.7;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;3;1:52.621;0;;33.481;0;28.795;0;50.345;0;184.4;5:49.979;12:35:58.809;0:33.481;0:28.795;0:50.345;288.0;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;4;1:51.508;0;;33.197;0;28.697;0;49.614;0;186.3;7:41.487;12:37:50.317;0:33.197;0:28.697;0:49.614;287.2;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;5;1:51.223;0;;32.840;2;28.644;2;49.739;0;186.8;9:32.710;12:39:41.540;0:32.840;0:28.644;0:49.739;288.8;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;6;1:51.381;0;;33.116;0;28.677;0;49.588;0;186.5;11:24.091;12:41:32.921;0:33.116;0:28.677;0:49.588;289.5;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;7;1:51.235;0;;33.256;0;28.751;0;49.228;2;186.7;13:15.326;12:43:24.156;0:33.256;0:28.751;0:49.228;289.5;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;8;1:51.170;0;;32.988;0;28.669;0;49.513;0;186.8;15:06.496;12:45:15.326;0:32.988;0:28.669;0:49.513;290.3;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;9;1:51.860;0;;33.237;0;28.727;0;49.896;0;185.7;16:58.356;12:47:07.186;0:33.237;0:28.727;0:49.896;289.5;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;10;1:51.345;0;;33.143;0;28.820;0;49.382;0;186.6;18:49.701;12:48:58.531;0:33.143;0:28.820;0:49.382;288.8;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;11;1:52.042;0;;33.057;0;28.750;0;50.235;0;185.4;20:41.743;12:50:50.573;0:33.057;0:28.750;0:50.235;288.8;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;12;1:52.006;0;;33.259;0;28.777;0;49.970;0;185.5;22:33.749;12:52:42.579;0:33.259;0:28.777;0:49.970;288.0;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;13;1:51.794;0;;33.050;0;28.768;0;49.976;0;185.8;24:25.543;12:54:34.373;0:33.050;0:28.768;0:49.976;289.5;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;14;1:52.768;0;;33.034;0;28.782;0;50.952;0;184.2;26:18.311;12:56:27.141;0:33.034;0:28.782;0:50.952;290.3;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;15;1:51.747;0;;33.159;0;28.726;0;49.862;0;185.9;28:10.058;12:58:18.888;0:33.159;0:28.726;0:49.862;290.3;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;16;1:52.076;0;;33.216;0;28.721;0;50.139;0;185.3;30:02.134;13:00:10.964;0:33.216;0:28.721;0:50.139;290.3;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;17;1:52.482;0;;33.082;0;28.877;0;50.523;0;184.7;31:54.616;13:02:03.446;0:33.082;0:28.877;0:50.523;288.8;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;18;1:52.350;0;;33.266;0;28.914;0;50.170;0;184.9;33:46.966;13:03:55.796;0:33.266;0:28.914;0:50.170;286.5;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;19;1:52.216;0;;33.160;0;28.916;0;50.140;0;185.1;35:39.182;13:05:48.012;0:33.160;0:28.916;0:50.140;285.7;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;20;1:52.803;0;;33.377;0;28.720;0;50.706;0;184.1;37:31.985;13:07:40.815;0:33.377;0:28.720;0:50.706;289.5;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;21;1:51.803;0;;33.467;0;28.798;0;49.538;0;185.8;39:23.788;13:09:32.618;0:33.467;0:28.798;0:49.538;286.5;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;22;1:52.375;0;;33.070;0;28.893;0;50.412;0;184.8;41:16.163;13:11:24.993;0:33.070;0:28.893;0:50.412;290.3;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;23;1:51.708;0;;33.299;0;28.932;0;49.477;0;185.9;43:07.871;13:13:16.701;0:33.299;0:28.932;0:49.477;288.0;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;24;1:51.148;2;;33.177;0;28.728;0;49.243;0;186.9;44:59.019;13:15:07.849;0:33.177;0:28.728;0:49.243;288.0;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;25;1:51.194;0;;33.075;0;28.780;0;49.339;0;186.8;46:50.213;13:16:59.043;0:33.075;0:28.780;0:49.339;289.5;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;26;1:52.264;0;;33.742;0;28.958;0;49.564;0;185.0;48:42.477;13:18:51.307;0:33.742;0:28.958;0:49.564;288.8;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;27;1:52.603;0;;33.191;0;28.948;0;50.464;0;184.5;50:35.080;13:20:43.910;0:33.191;0:28.948;0:50.464;283.5;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;28;1:51.830;0;;33.208;0;28.924;0;49.698;0;185.7;52:26.910;13:22:35.740;0:33.208;0:28.924;0:49.698;285.7;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;29;1:52.141;0;;33.094;0;28.810;0;50.237;0;185.2;54:19.051;13:24:27.881;0:33.094;0:28.810;0:50.237;287.2;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;30;1:51.894;0;;33.159;0;28.864;0;49.871;0;185.6;56:10.945;13:26:19.775;0:33.159;0:28.864;0:49.871;285.0;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;31;1:52.011;0;;32.973;0;28.783;0;50.255;0;185.4;58:02.956;13:28:11.786;0:32.973;0:28.783;0:50.255;285.7;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;32;1:51.945;0;;33.306;0;28.871;0;49.768;0;185.6;59:54.901;13:30:03.731;0:33.306;0:28.871;0:49.768;286.5;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;33;1:52.040;0;;33.135;0;29.001;0;49.904;0;185.4;1:01:46.941;13:31:55.771;0:33.135;0:29.001;0:49.904;285.0;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;34;1:59.960;0;B;33.332;0;28.729;0;57.899;0;173.2;1:03:46.901;13:33:55.731;0:33.332;0:28.729;0:57.899;286.5;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;35;2:49.258;0;;1:30.030;0;29.016;0;50.212;0;122.7;1:06:36.159;13:36:44.989;1:30.030;0:29.016;0:50.212;286.5;Damiani FIORAVANTI;0:01:13.436;LMP3;;Oregon Team;Norma;
10;1;36;1:54.067;0;;33.564;0;28.953;0;51.550;0;182.1;1:08:30.226;13:38:39.056;0:33.564;0:28.953;0:51.550;288.0;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;37;1:56.869;0;;36.304;0;29.887;0;50.678;0;177.7;1:10:27.095;13:40:35.925;0:36.304;0:29.887;0:50.678;287.2;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;38;1:53.034;0;;33.979;0;29.094;0;49.961;0;183.8;1:12:20.129;13:42:28.959;0:33.979;0:29.094;0:49.961;288.0;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;39;1:53.443;0;;34.322;0;29.108;0;50.013;0;183.1;1:14:13.572;13:44:22.402;0:34.322;0:29.108;0:50.013;288.8;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;40;1:52.383;0;;33.360;0;28.885;0;50.138;0;184.8;1:16:05.955;13:46:14.785;0:33.360;0:28.885;0:50.138;288.8;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;41;1:53.894;0;;33.431;0;28.912;0;51.551;0;182.4;1:17:59.849;13:48:08.679;0:33.431;0:28.912;0:51.551;290.3;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;42;1:53.941;0;;34.363;0;29.029;0;50.549;0;182.3;1:19:53.790;13:50:02.620;0:34.363;0:29.029;0:50.549;291.1;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;43;1:52.029;0;;33.226;0;29.108;0;49.695;0;185.4;1:21:45.819;13:51:54.649;0:33.226;0:29.108;0:49.695;287.2;Damiani FIORAVANTI;;LMP3;;Oregon Team;Norma;
