NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;1;1;2:19.307;0;;;0;;0;35.145;0;148.8;2:19.307;11:13:19.307;;;0:35.145;192.5;Damiano FIORAVANTI;0:01:16.397;LMP3;;Oregon Team;Norma;
10;1;2;1:54.074;0;;35.033;0;47.871;0;31.170;2;186.2;4:13.381;11:15:13.381;0:35.033;0:47.871;0:31.170;250.0;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;3;1:53.744;2;;34.708;0;47.634;2;31.402;0;186.8;6:07.125;11:17:07.125;0:34.708;0:47.634;0:31.402;251.2;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;4;1:53.835;0;;34.699;2;47.743;0;31.393;0;186.6;8:00.960;11:19:00.960;0:34.699;0:47.743;0:31.393;250.6;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;5;1:54.255;0;;34.835;0;48.049;0;31.371;0;185.9;9:55.215;11:20:55.215;0:34.835;0:48.049;0:31.371;250.0;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
10;1;6;1:53.967;0;;34.847;0;47.785;0;31.335;0;186.4;11:49.182;11:22:49.182;0:34.847;0:47.785;0:31.335;251.2;Damiano FIORAVANTI;;LMP3;;Oregon Team;Norma;
11;1;1;1:25.802;0;;;0;;0;36.245;0;241.7;1:25.802;11:12:25.802;;;0:36.245;231.8;Mikkel JENSEN;0:00:10.255;LMP3;;Eurointernational;Ligier;
11;1;2;1:54.291;0;;34.859;0;48.021;0;31.411;0;185.9;3:20.093;11:14:20.093;0:34.859;0:48.021;0:31.411;239.5;Mikkel JENSEN;;LMP3;;Eurointernational;Ligier;
11;1;3;1:54.671;0;;34.907;0;48.134;0;31.630;0;185.3;5:14.764;11:16:14.764;0:34.907;0:48.134;0:31.630;241.1;Mikkel JENSEN;;LMP3;;Eurointernational;Ligier;
11;1;4;1:54.017;0;;34.785;0;47.918;0;31.314;0;186.3;7:08.781;11:18:08.781;0:34.785;0:47.918;0:31.314;241.1;Mikkel JENSEN;;LMP3;;Eurointernational;Ligier;
