NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
15;1;1;4:07.248;0;;1:42.052;0;1:34.490;0;50.706;0;100.2;4:07.248;11:44:07.248;1:42.052;1:34.490;0:50.706;115.4; CANTIELLO / SERRA;;FCS;;Luxtend;;
15;1;2;3:11.971;2;;55.285;0;1:28.304;2;48.382;2;131.3;7:19.219;11:47:19.219;0:55.285;1:28.304;0:48.382;165.4; CANTIELLO / SERRA;;FCS;;Luxtend;;
15;1;3;3:15.092;0;;54.902;2;1:30.380;0;49.810;0;129.2;10:34.311;11:50:34.311;0:54.902;1:30.380;0:49.810;168.8; CANTIELLO / SERRA;;FCS;;Luxtend;;
15;1;4;4:58.943;0;B;2:40.006;0;1:28.994;0;49.943;0;84.3;15:33.254;11:55:33.254;2:40.006;1:28.994;0:49.943;165.2; CANTIELLO / SERRA;0:01:31.727;FCS;;Luxtend;;
15;1;5;3:16.550;0;;57.479;0;1:28.628;0;50.443;0;128.3;18:49.804;11:58:49.804;0:57.479;1:28.628;0:50.443;172.8; CANTIELLO / SERRA;;FCS;;Luxtend;;
15;1;6;3:18.175;0;;56.420;0;1:28.418;0;53.337;0;127.2;22:07.979;12:02:07.979;0:56.420;1:28.418;0:53.337;167.7; CANTIELLO / SERRA;;FCS;;Luxtend;;
18;1;1;4:02.735;0;;1:34.354;0;1:35.944;0;52.437;0;102.1;4:02.735;11:44:02.735;1:34.354;1:35.944;0:52.437;139.1; CAUNES / CAUNES;;FCR;;Greenbird Racing;;
18;1;2;3:19.496;0;;57.077;0;1:32.160;0;50.259;0;126.4;7:22.231;11:47:22.231;0:57.077;1:32.160;0:50.259;172.0; CAUNES / CAUNES;;FCR;;Greenbird Racing;;
18;1;3;3:15.978;0;;55.052;0;1:31.237;0;49.689;0;128.7;10:38.209;11:50:38.209;0:55.052;1:31.237;0:49.689;160.3; CAUNES / CAUNES;;FCR;;Greenbird Racing;;
18;1;4;3:12.553;0;;54.115;0;1:29.051;0;49.387;0;130.9;13:50.762;11:53:50.762;0:54.115;1:29.051;0:49.387;181.5; CAUNES / CAUNES;;FCR;;Greenbird Racing;;
18;1;5;3:11.288;2;;53.904;0;1:28.005;2;49.379;2;131.8;17:02.050;11:57:02.050;0:53.904;1:28.005;0:49.379;179.1; CAUNES / CAUNES;;FCR;;Greenbird Racing;;
18;1;6;3:12.447;0;;53.711;2;1:28.649;0;50.087;0;131.0;20:14.497;12:00:14.497;0:53.711;1:28.649;0:50.087;179.7; CAUNES / CAUNES;;FCR;;Greenbird Racing;;
19;1;1;3:13.153;0;;56.350;0;1:29.245;0;47.558;0;128.3;3:13.153;11:43:13.153;0:56.350;1:29.245;0:47.558;130.2; SIMON;;FCR;;Valvoline Racing Team;;
19;1;2;2:58.704;0;;52.273;0;1:20.946;0;45.485;0;141.1;6:11.857;11:46:11.857;0:52.273;1:20.946;0:45.485;188.1; SIMON;;FCR;;Valvoline Racing Team;;
19;1;3;2:57.501;0;;51.414;0;1:20.721;0;45.366;2;142.1;9:09.358;11:49:09.358;0:51.414;1:20.721;0:45.366;186.2; SIMON;;FCR;;Valvoline Racing Team;;
19;1;4;2:56.995;2;;51.194;2;1:20.238;2;45.563;0;142.5;12:06.353;11:52:06.353;0:51.194;1:20.238;0:45.563;187.8; SIMON;;FCR;;Valvoline Racing Team;;
19;1;5;2:57.957;0;;51.581;0;1:20.728;0;45.648;0;141.7;15:04.310;11:55:04.310;0:51.581;1:20.728;0:45.648;194.2; SIMON;;FCR;;Valvoline Racing Team;;
19;1;6;3:33.890;0;;1:01.981;0;1:35.317;0;56.592;0;117.9;18:38.200;11:58:38.200;1:01.981;1:35.317;0:56.592;121.2; SIMON;;FCR;;Valvoline Racing Team;;
2;1;1;3:00.535;0;;47.378;0;1:28.220;0;44.937;0;137.2;3:00.535;11:43:00.535;0:47.378;1:28.220;0:44.937;160.5; TERRIOU;;FCR;;Terriou Racing;;
2;1;2;2:52.767;0;;49.330;0;1:19.400;0;44.037;0;145.9;5:53.302;11:45:53.302;0:49.330;1:19.400;0:44.037;185.5; TERRIOU;;FCR;;Terriou Racing;;
2;1;3;2:50.575;0;;48.744;0;1:18.526;0;43.305;3;147.8;8:43.877;11:48:43.877;0:48.744;1:18.526;0:43.305;184.9; TERRIOU;;FCR;;Terriou Racing;;
