NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;1;1;3:08.348;0;;59.132;0;1:21.745;0;47.471;0;131.5;3:08.348;13:42:39.150;0:59.132;1:21.745;0:47.471;183.4;Michel DUPERRET;;ROAD;;;;
1;1;2;2:58.453;0;;52.861;2;1:19.309;0;46.283;0;141.3;6:06.801;13:45:37.603;0:52.861;1:19.309;0:46.283;184.6;Michel DUPERRET;;ROAD;;;;
1;1;3;2:59.368;0;;53.178;0;1:18.904;0;47.286;0;140.6;9:06.169;13:48:36.971;0:53.178;1:18.904;0:47.286;184.3;Michel DUPERRET;;ROAD;;;;
1;1;4;2:57.960;2;;53.765;0;1:18.276;2;45.919;2;141.7;12:04.129;13:51:34.931;0:53.765;1:18.276;0:45.919;175.1;Michel DUPERRET;;ROAD;;;;
1;1;5;2:59.621;0;;54.536;0;1:18.859;0;46.226;0;140.4;15:03.750;13:54:34.552;0:54.536;1:18.859;0:46.226;173.1;Michel DUPERRET;;ROAD;;;;
1;1;6;2:59.866;0;;54.385;0;1:19.079;0;46.402;0;140.2;18:03.616;13:57:34.418;0:54.385;1:19.079;0:46.402;170.1;Michel DUPERRET;;ROAD;;;;
1;1;7;3:09.711;0;;55.342;0;1:24.702;0;49.667;0;132.9;21:13.327;14:00:44.129;0:55.342;1:24.702;0:49.667;165.9;Michel DUPERRET;;ROAD;;;;
1;1;8;4:02.581;0;;1:33.544;0;1:30.211;0;58.826;0;103.9;25:15.908;14:04:46.710;1:33.544;1:30.211;0:58.826;137.0;Michel DUPERRET;;ROAD;;;;
1;1;9;3:26.800;0;;1:02.006;0;1:20.079;0;1:04.715;0;121.9;28:42.708;14:08:13.510;1:02.006;1:20.079;1:04.715;156.6;Michel DUPERRET;;ROAD;;;;
12;1;1;3:02.805;0;;55.684;0;1:21.002;0;46.119;0;135.5;3:02.805;13:42:33.607;0:55.684;1:21.002;0:46.119;173.9;Antoine WEIL;;ROAD;;;;
