NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;2;1;2:25.915;0;;45.216;0;1:05.266;0;35.433;0;169.8;2:25.915;12:33:12.981;0:45.216;1:05.266;0:35.433;249.7;Gustas GRINBERGAS;;LMP3;;Oregon Team;Norma;
10;2;2;2:19.172;0;;40.110;0;1:03.709;0;35.353;0;181.2;4:45.087;12:35:32.153;0:40.110;1:03.709;0:35.353;263.6;Gustas GRINBERGAS;;LMP3;;Oregon Team;Norma;
10;2;3;2:18.656;0;;39.812;0;1:03.469;0;35.375;0;181.8;7:03.743;12:37:50.809;0:39.812;1:03.469;0:35.375;265.6;Gustas GRINBERGAS;;LMP3;;Oregon Team;Norma;
10;2;4;2:18.417;0;;39.888;0;1:03.115;1;35.414;0;182.2;9:22.160;12:40:09.226;0:39.888;1:03.115;0:35.414;264.3;Gustas GRINBERGAS;;LMP3;;Oregon Team;Norma;
10;2;5;2:19.897;0;;40.137;0;1:04.288;0;35.472;0;180.2;11:42.057;12:42:29.123;0:40.137;1:04.288;0:35.472;266.2;Gustas GRINBERGAS;;LMP3;;Oregon Team;Norma;
10;2;6;2:19.581;0;;40.054;0;1:04.079;0;35.448;0;180.6;14:01.638;12:44:48.704;0:40.054;1:04.079;0:35.448;263.6;Gustas GRINBERGAS;;LMP3;;Oregon Team;Norma;
10;2;7;2:18.779;0;;39.951;0;1:03.511;0;35.317;0;181.7;16:20.417;12:47:07.483;0:39.951;1:03.511;0:35.317;263.6;Gustas GRINBERGAS;;LMP3;;Oregon Team;Norma;
10;2;8;2:18.998;0;;39.792;0;1:03.807;0;35.399;0;181.4;18:39.415;12:49:26.481;0:39.792;1:03.807;0:35.399;265.6;Gustas GRINBERGAS;;LMP3;;Oregon Team;Norma;
10;2;9;2:18.453;0;;39.877;0;1:03.347;0;35.229;1;182.1;20:57.868;12:51:44.934;0:39.877;1:03.347;0:35.229;264.3;Gustas GRINBERGAS;;LMP3;;Oregon Team;Norma;
10;2;10;2:18.923;0;;39.811;0;1:03.646;0;35.466;0;181.5;23:16.791;12:54:03.857;0:39.811;1:03.646;0:35.466;265.6;Gustas GRINBERGAS;;LMP3;;Oregon Team;Norma;
10;2;11;2:22.214;0;;40.610;0;1:06.035;0;35.569;0;177.3;25:39.005;12:56:26.071;0:40.610;1:06.035;0:35.569;264.9;Gustas GRINBERGAS;;LMP3;;Oregon Team;Norma;
10;2;12;2:21.176;0;;39.851;0;1:05.257;0;36.068;0;178.6;28:00.181;12:58:47.247;0:39.851;1:05.257;0:36.068;265.6;Gustas GRINBERGAS;;LMP3;;Oregon Team;Norma;
10;2;13;2:21.632;0;;39.932;0;1:04.373;0;37.327;0;178.0;30:21.813;13:01:08.879;0:39.932;1:04.373;0:37.327;265.6;Gustas GRINBERGAS;;LMP3;;Oregon Team;Norma;
10;2;14;2:20.246;0;;39.935;0;1:04.879;0;35.432;0;179.8;32:42.059;13:03:29.125;0:39.935;1:04.879;0:35.432;265.6;Gustas GRINBERGAS;;LMP3;;Oregon Team;Norma;
10;2;15;2:22.205;0;;39.839;0;1:05.353;0;37.013;0;177.3;35:04.264;13:05:51.330;0:39.839;1:05.353;0:37.013;259.9;Gustas GRINBERGAS;;LMP3;;Oregon Team;Norma;
10;2;16;2:23.479;0;;41.313;0;1:06.072;0;36.094;0;175.7;37:27.743;13:08:14.809;0:41.313;1:06.072;0:36.094;256.8;Gustas GRINBERGAS;;LMP3;;Oregon Team;Norma;
10;2;17;3:50.793;0;;40.705;0;1:48.681;0;1:21.407;0;109.3;41:18.536;13:12:05.602;0:40.705;1:48.681;1:21.407;256.2;Gustas GRINBERGAS;;LMP3;;Oregon Team;Norma;
