NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;2;1;2:33.661;0;;56.123;0;31.411;2;1:06.127;0;132.6;2:33.661;12:43:33.661;0:56.123;0:31.411;1:06.127;262.8;Garett GRIST;0:00:18.483;LMP3;;Nielsen Racing;Duqueine;
10;2;2;2:12.422;0;;39.486;0;31.901;0;1:01.035;0;156.9;4:46.083;12:45:46.083;0:39.486;0:31.901;1:01.035;266.0;Garett GRIST;;LMP3;;Nielsen Racing;Duqueine;
10;2;3;2:12.470;0;;39.739;0;32.177;0;1:00.554;0;156.8;6:58.553;12:47:58.553;0:39.739;0:32.177;1:00.554;265.4;Garett GRIST;;LMP3;;Nielsen Racing;Duqueine;
10;2;4;2:13.456;0;;39.382;0;32.034;0;1:02.040;0;155.7;9:12.009;12:50:12.009;0:39.382;0:32.034;1:02.040;267.3;Garett GRIST;;LMP3;;Nielsen Racing;Duqueine;
10;2;5;2:10.741;2;;39.312;2;32.135;0;59.294;2;158.9;11:22.750;12:52:22.750;0:39.312;0:32.135;0:59.294;267.3;Garett GRIST;;LMP3;;Nielsen Racing;Duqueine;
11;1;1;2:30.696;0;B;51.635;0;30.575;2;1:08.486;0;135.2;2:30.696;12:43:30.696;0:51.635;0:30.575;1:08.486;270.0;Niko KARI;0:00:12.807;LMP3;;Eurointernational;Ligier;
11;1;2;3:25.650;0;;1:51.848;0;32.647;0;1:01.155;0;101.0;5:56.346;12:46:56.346;1:51.848;0:32.647;1:01.155;266.0;Niko KARI;0:01:20.717;LMP3;;Eurointernational;Ligier;
11;1;3;2:10.893;0;;38.710;0;31.714;0;1:00.469;0;158.7;8:07.239;12:49:07.239;0:38.710;0:31.714;1:00.469;266.0;Niko KARI;;LMP3;;Eurointernational;Ligier;
11;1;4;2:09.367;2;;38.204;2;31.718;0;59.445;2;160.6;10:16.606;12:51:16.606;0:38.204;0:31.718;0:59.445;267.3;Niko KARI;;LMP3;;Eurointernational;Ligier;
13;1;1;3:15.254;0;B;53.915;0;30.514;2;1:50.825;0;104.4;3:15.254;12:44:15.254;0:53.915;0:30.514;1:50.825;266.7;Nigel MOORE;0:00:16.983;LMP3;;Inter Europol Competition;Ligier;
