NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;2;1;2:44.950;0;;1:02.362;0;1:05.998;0;36.590;0;150.2;2:44.950;12:17:44.950;1:02.362;1:05.998;0:36.590;258.0;Garett GRIST;0:00:26.543;LMP3;;Nielsen Racing;Duqueine;
10;2;2;3:54.065;0;B;39.737;0;1:40.911;0;1:33.417;0;107.7;6:39.015;12:21:39.015;0:39.737;1:40.911;1:33.417;222.5;Garett GRIST;;LMP3;;Nielsen Racing;Duqueine;
10;2;3;8:41.298;0;;7:00.512;0;1:02.303;0;38.483;0;48.4;15:20.313;12:30:20.313;7:00.512;1:02.303;0:38.483;255.6;Garett GRIST;0:06:32.161;LMP3;;Nielsen Racing;Duqueine;
10;2;4;2:17.449;0;;39.106;0;1:03.145;0;35.198;0;183.4;17:37.762;12:32:37.762;0:39.106;1:03.145;0:35.198;263.6;Garett GRIST;;LMP3;;Nielsen Racing;Duqueine;
10;2;5;2:15.767;0;;39.098;0;1:01.350;0;35.319;0;185.7;19:53.529;12:34:53.529;0:39.098;1:01.350;0:35.319;264.3;Garett GRIST;;LMP3;;Nielsen Racing;Duqueine;
10;2;6;2:17.232;0;;39.318;0;1:02.277;0;35.637;0;183.7;22:10.761;12:37:10.761;0:39.318;1:02.277;0:35.637;265.6;Garett GRIST;;LMP3;;Nielsen Racing;Duqueine;
10;2;7;2:15.405;2;;39.052;2;1:01.344;2;35.009;2;186.2;24:26.166;12:39:26.166;0:39.052;1:01.344;0:35.009;265.6;Garett GRIST;;LMP3;;Nielsen Racing;Duqueine;
10;2;8;2:29.164;0;B;40.068;0;1:05.109;0;43.987;0;169.0;26:55.330;12:41:55.330;0:40.068;1:05.109;0:43.987;234.0;Garett GRIST;;LMP3;;Nielsen Racing;Duqueine;
10;3;9;4:36.541;0;;2:53.926;0;1:05.985;0;36.630;0;91.2;31:31.871;12:46:31.871;2:53.926;1:05.985;0:36.630;252.6;Charles CREWS;0:02:22.344;LMP3;;Nielsen Racing;Duqueine;
10;3;10;2:20.485;0;;40.897;0;1:03.668;0;35.920;0;179.5;33:52.356;12:48:52.356;0:40.897;1:03.668;0:35.920;257.4;Charles CREWS;;LMP3;;Nielsen Racing;Duqueine;
10;3;11;2:20.533;0;;40.296;0;1:04.261;0;35.976;0;179.4;36:12.889;12:51:12.889;0:40.296;1:04.261;0:35.976;261.1;Charles CREWS;;LMP3;;Nielsen Racing;Duqueine;
10;3;12;2:19.711;0;;39.997;0;1:03.974;0;35.740;0;180.5;38:32.600;12:53:32.600;0:39.997;1:03.974;0:35.740;260.5;Charles CREWS;;LMP3;;Nielsen Racing;Duqueine;
10;3;13;2:21.658;0;;40.489;0;1:05.207;0;35.962;0;178.0;40:54.258;12:55:54.258;0:40.489;1:05.207;0:35.962;258.0;Charles CREWS;;LMP3;;Nielsen Racing;Duqueine;
10;3;14;2:20.157;0;;40.034;0;1:04.546;0;35.577;0;179.9;43:14.415;12:58:14.415;0:40.034;1:04.546;0:35.577;261.1;Charles CREWS;;LMP3;;Nielsen Racing;Duqueine;
10;3;15;2:19.135;0;;40.137;0;1:03.490;0;35.508;0;181.2;45:33.550;13:00:33.550;0:40.137;1:03.490;0:35.508;259.2;Charles CREWS;;LMP3;;Nielsen Racing;Duqueine;
