NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
10;1;1;6:08.682;0;;4:50.324;0;44.766;0;33.592;0;44.1;6:08.682;11:56:08.682;4:50.324;0:44.766;0:33.592;179.1;Karl VANDEWOESTYNE;0:04:15.814;Pro-Am;;2B Autosport;Porsche;GF;290.324;44.766;33.592;
10;1;2;1:49.663;0;;34.658;0;43.030;0;31.975;0;152.9;7:58.345;11:57:58.345;0:34.658;0:43.030;0:31.975;224.5;Karl VANDEWOESTYNE;;Pro-Am;;2B Autosport;Porsche;GF;34.658;43.030;31.975;
10;1;3;1:44.820;0;;31.317;0;41.877;0;31.626;0;159.9;9:43.165;11:59:43.165;0:31.317;0:41.877;0:31.626;260.2;Karl VANDEWOESTYNE;;Pro-Am;;2B Autosport;Porsche;GF;31.317;41.877;31.626;
10;1;4;1:44.664;0;;31.172;0;41.840;0;31.652;0;160.2;11:27.829;12:01:27.829;0:31.172;0:41.840;0:31.652;260.2;Karl VANDEWOESTYNE;;Pro-Am;;2B Autosport;Porsche;GF;31.172;41.840;31.652;
10;1;5;1:47.950;0;;31.308;0;43.744;0;32.898;0;155.3;13:15.779;12:03:15.779;0:31.308;0:43.744;0:32.898;259.6;Karl VANDEWOESTYNE;;Pro-Am;;2B Autosport;Porsche;GF;31.308;43.744;32.898;
10;1;6;2:06.574;0;B;34.142;0;46.181;0;46.251;0;132.5;15:22.353;12:05:22.353;0:34.142;0:46.181;0:46.251;252.3;Karl VANDEWOESTYNE;;Pro-Am;;2B Autosport;Porsche;GF;34.142;46.181;46.251;
10;1;7;7:55.975;0;;6:34.202;0;47.994;0;33.779;0;35.2;23:18.328;12:13:18.328;6:34.202;0:47.994;0:33.779;104.8;Karl VANDEWOESTYNE;0:05:56.091;Pro-Am;;2B Autosport;Porsche;GF;394.202;47.994;33.779;
10;1;8;2:00.516;0;;32.439;0;44.563;0;43.514;0;139.1;25:18.844;12:15:18.844;0:32.439;0:44.563;0:43.514;259.0;Karl VANDEWOESTYNE;;Pro-Am;;2B Autosport;Porsche;GF;32.439;44.563;43.514;
10;1;9;1:46.720;0;;31.442;0;43.636;0;31.642;0;157.1;27:05.564;12:17:05.564;0:31.442;0:43.636;0:31.642;262.1;Karl VANDEWOESTYNE;;Pro-Am;;2B Autosport;Porsche;GF;31.442;43.636;31.642;
10;1;10;1:43.963;2;;31.010;2;41.638;2;31.315;2;161.3;28:49.527;12:18:49.527;0:31.010;0:41.638;0:31.315;260.9;Karl VANDEWOESTYNE;;Pro-Am;;2B Autosport;Porsche;GF;31.010;41.638;31.315;
10;1;11;2:09.319;0;B;35.675;0;47.486;0;46.158;0;129.6;30:58.846;12:20:58.846;0:35.675;0:47.486;0:46.158;260.2;Karl VANDEWOESTYNE;;Pro-Am;;2B Autosport;Porsche;FF;35.675;47.486;46.158;
11;1;1;2:44.916;0;;1:15.944;0;52.625;0;36.347;0;98.6;2:44.916;11:52:44.916;1:15.944;0:52.625;0:36.347;81.9;Malo BOLLIET;0:00:25.840;Pro;Rookie;Racing Technology;Porsche;GF;75.944;52.625;36.347;
11;1;2;2:08.267;0;;34.861;0;54.223;0;39.183;0;130.7;4:53.183;11:54:53.183;0:34.861;0:54.223;0:39.183;242.7;Malo BOLLIET;;Pro;Rookie;Racing Technology;Porsche;GF;34.861;54.223;39.183;
11;1;3;1:51.200;0;;34.331;0;44.474;0;32.395;0;150.8;6:44.383;11:56:44.383;0:34.331;0:44.474;0:32.395;254.1;Malo BOLLIET;;Pro;Rookie;Racing Technology;Porsche;GF;34.331;44.474;32.395;
11;1;4;1:44.861;0;;31.275;0;42.000;0;31.586;0;159.9;8:29.244;11:58:29.244;0:31.275;0:42.000;0:31.586;257.8;Malo BOLLIET;;Pro;Rookie;Racing Technology;Porsche;GF;31.275;42.000;31.586;
11;1;5;1:44.442;0;;31.103;0;41.836;0;31.503;0;160.5;10:13.686;12:00:13.686;0:31.103;0:41.836;0:31.503;259.6;Malo BOLLIET;;Pro;Rookie;Racing Technology;Porsche;GF;31.103;41.836;31.503;
11;1;6;1:46.131;0;;31.420;0;42.902;0;31.809;0;158.0;11:59.817;12:01:59.817;0:31.420;0:42.902;0:31.809;259.6;Malo BOLLIET;;Pro;Rookie;Racing Technology;Porsche;GF;31.420;42.902;31.809;
11;1;7;1:54.210;0;B;31.122;0;42.054;0;41.034;0;146.8;13:54.027;12:03:54.027;0:31.122;0:42.054;0:41.034;259.0;Malo BOLLIET;;Pro;Rookie;Racing Technology;Porsche;GF;31.122;42.054;41.034;
11;1;8;4:53.973;0;;3:31.866;0;46.906;0;35.201;0;57.0;18:48.000;12:08:48.000;3:31.866;0:46.906;0:35.201;149.4;Malo BOLLIET;0:02:56.926;Pro;Rookie;Racing Technology;Porsche;GF;211.866;46.906;35.201;
11;1;9;1:53.929;0;;36.522;0;44.360;0;33.047;0;147.2;20:41.929;12:10:41.929;0:36.522;0:44.360;0:33.047;203.4;Malo BOLLIET;;Pro;Rookie;Racing Technology;Porsche;GF;36.522;44.360;33.047;
11;1;10;1:49.616;0;;33.206;0;44.589;0;31.821;0;152.9;22:31.545;12:12:31.545;0:33.206;0:44.589;0:31.821;254.7;Malo BOLLIET;;Pro;Rookie;Racing Technology;Porsche;GF;33.206;44.589;31.821;
11;1;11;1:43.754;2;;30.913;0;41.512;0;31.329;2;161.6;24:15.299;12:14:15.299;0:30.913;0:41.512;0:31.329;260.2;Malo BOLLIET;;Pro;Rookie;Racing Technology;Porsche;GF;30.913;41.512;31.329;
11;1;12;1:43.754;0;;30.834;2;41.490;2;31.430;0;161.6;25:59.053;12:15:59.053;0:30.834;0:41.490;0:31.430;260.2;Malo BOLLIET;;Pro;Rookie;Racing Technology;Porsche;GF;30.834;41.490;31.430;
