NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
10;1;1;2:14.135;0;;39.188;0;51.181;0;43.766;0;121.3;2:14.135;17:00:41.514;0:39.188;0:51.181;0:43.766;;Karl VANDEWOESTYNE;;Pro-Am;;2B Autosport;Porsche;SF;39.188;51.181;43.766;
10;1;2;3:15.019;0;;1:04.084;0;1:21.461;0;49.474;0;86.0;5:29.154;17:03:56.533;1:04.084;1:21.461;0:49.474;128.4;Karl VANDEWOESTYNE;;Pro-Am;;2B Autosport;Porsche;SF;64.084;81.461;49.474;
10;1;3;2:47.075;0;;50.224;0;1:09.497;0;47.354;0;100.3;8:16.229;17:06:43.608;0:50.224;1:09.497;0:47.354;133.2;Karl VANDEWOESTYNE;;Pro-Am;;2B Autosport;Porsche;SF;50.224;69.497;47.354;
10;1;4;2:45.170;0;;47.481;0;1:10.067;0;47.622;0;101.5;11:01.399;17:09:28.778;0:47.481;1:10.067;0:47.622;165.9;Karl VANDEWOESTYNE;;Pro-Am;;2B Autosport;Porsche;SF;47.481;70.067;47.622;
10;1;5;2:26.182;0;;43.213;0;54.220;0;48.749;0;114.7;13:27.581;17:11:54.960;0:43.213;0:54.220;0:48.749;155.6;Karl VANDEWOESTYNE;;Pro-Am;;2B Autosport;Porsche;GF;43.213;54.220;48.749;
10;1;6;2:05.948;0;;33.714;0;56.889;0;35.345;0;133.1;15:33.529;17:14:00.908;0:33.714;0:56.889;0:35.345;265.4;Karl VANDEWOESTYNE;;Pro-Am;;2B Autosport;Porsche;SF;33.714;56.889;35.345;
10;1;7;3:08.087;0;;59.418;0;1:14.014;0;54.655;0;89.1;18:41.616;17:17:08.995;0:59.418;1:14.014;0:54.655;148.1;Karl VANDEWOESTYNE;;Pro-Am;;2B Autosport;Porsche;SF;59.418;74.014;54.655;
10;1;8;2:44.685;0;;1:04.350;0;54.699;0;45.636;0;101.8;21:26.301;17:19:53.680;1:04.350;0:54.699;0:45.636;62.8;Karl VANDEWOESTYNE;;Pro-Am;;2B Autosport;Porsche;GF;64.350;54.699;45.636;
10;1;9;1:48.677;0;;32.537;0;43.498;0;32.642;0;154.3;23:14.978;17:21:42.357;0:32.537;0:43.498;0:32.642;262.8;Karl VANDEWOESTYNE;;Pro-Am;;2B Autosport;Porsche;GF;32.537;43.498;32.642;
10;1;10;1:47.298;0;;31.965;0;42.907;0;32.426;0;156.2;25:02.276;17:23:29.655;0:31.965;0:42.907;0:32.426;266.7;Karl VANDEWOESTYNE;;Pro-Am;;2B Autosport;Porsche;GF;31.965;42.907;32.426;
10;1;11;1:47.060;2;;32.136;0;42.830;2;32.094;2;156.6;26:49.336;17:25:16.715;0:32.136;0:42.830;0:32.094;265.4;Karl VANDEWOESTYNE;;Pro-Am;;2B Autosport;Porsche;GF;32.136;42.830;32.094;
10;1;12;1:47.398;0;;31.555;0;43.663;0;32.180;0;156.1;28:36.734;17:27:04.113;0:31.555;0:43.663;0:32.180;263.4;Karl VANDEWOESTYNE;;Pro-Am;;2B Autosport;Porsche;GF;31.555;43.663;32.180;
10;1;13;1:47.334;0;;31.510;2;43.265;0;32.559;0;156.2;30:24.068;17:28:51.447;0:31.510;0:43.265;0:32.559;264.7;Karl VANDEWOESTYNE;;Pro-Am;;2B Autosport;Porsche;GF;31.510;43.265;32.559;
10;1;14;1:47.844;0;;31.512;0;43.504;0;32.828;0;155.5;32:11.912;17:30:39.291;0:31.512;0:43.504;0:32.828;265.4;Karl VANDEWOESTYNE;;Pro-Am;;2B Autosport;Porsche;FF;31.512;43.504;32.828;
11;1;1;2:12.529;0;;39.032;0;50.423;0;43.074;0;122.7;2:12.529;17:00:39.908;0:39.032;0:50.423;0:43.074;;Malo BOLLIET;;Pro;Rookie;Racing Technology;Porsche;SF;39.032;50.423;43.074;
11;1;2;3:15.406;0;;1:03.748;0;1:21.888;0;49.770;0;85.8;5:27.935;17:03:55.314;1:03.748;1:21.888;0:49.770;101.4;Malo BOLLIET;;Pro;Rookie;Racing Technology;Porsche;SF;63.748;81.888;49.770;
11;1;3;2:46.536;0;;50.265;0;1:08.209;0;48.062;0;100.7;8:14.471;17:06:41.850;0:50.265;1:08.209;0:48.062;170.6;Malo BOLLIET;;Pro;Rookie;Racing Technology;Porsche;SF;50.265;68.209;48.062;
11;1;4;2:45.724;0;;47.893;0;1:09.701;0;48.130;0;101.2;11:00.195;17:09:27.574;0:47.893;1:09.701;0:48.130;180.3;Malo BOLLIET;;Pro;Rookie;Racing Technology;Porsche;SF;47.893;69.701;48.130;
11;1;5;2:26.789;0;;42.913;0;54.089;0;49.787;0;114.2;13:26.984;17:11:54.363;0:42.913;0:54.089;0:49.787;145.6;Malo BOLLIET;;Pro;Rookie;Racing Technology;Porsche;GF;42.913;54.089;49.787;
