NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;1;1;2:05.096;0;;59.485;0;36.830;0;28.781;0;108.8;2:05.096;08:02:05.096;0:59.485;0:36.830;0:28.781;181.5;Jordan Taylor;0:00:26.590;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;1;2;1:29.948;0;;30.284;0;33.499;0;26.165;0;151.4;3:35.044;08:03:35.044;0:30.284;0:33.499;0:26.165;231.8;Jordan Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;1;3;1:27.645;0;;28.828;0;32.848;0;25.969;0;155.3;5:02.689;08:05:02.689;0:28.828;0:32.848;0:25.969;242.4;Jordan Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;1;4;1:27.237;0;;28.278;0;32.868;0;26.091;0;156.1;6:29.926;08:06:29.926;0:28.278;0:32.868;0:26.091;243.8;Jordan Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;1;5;1:25.613;0;;28.039;0;32.092;0;25.482;0;159.0;7:55.539;08:07:55.539;0:28.039;0:32.092;0:25.482;243.8;Jordan Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;1;6;1:25.418;0;;28.041;0;32.091;0;25.286;0;159.4;9:20.957;08:09:20.957;0:28.041;0:32.091;0:25.286;242.4;Jordan Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;1;7;1:35.605;0;B;27.748;0;32.457;0;35.400;0;142.4;10:56.562;08:10:56.562;0:27.748;0:32.457;0:35.400;244.7;Jordan Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;1;8;15:01.589;0;;14:01.169;0;34.138;0;26.282;0;15.1;25:58.151;08:25:58.151;14:01.169;0:34.138;0:26.282;224.8;Jordan Taylor;0:13:43.197;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;1;9;1:24.933;0;;27.737;0;31.958;0;25.238;2;160.3;27:23.084;08:27:23.084;0:27.737;0:31.958;0:25.238;242.9;Jordan Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;1;10;1:25.637;0;;27.561;0;32.673;0;25.403;0;159.0;28:48.721;08:28:48.721;0:27.561;0:32.673;0:25.403;245.2;Jordan Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;1;11;1:24.765;2;;27.530;3;31.890;2;25.345;0;160.6;30:13.486;08:30:13.486;0:27.530;0:31.890;0:25.345;245.7;Jordan Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
16;0;1;2:10.621;0;;1:03.635;0;37.076;0;29.910;0;104.2;2:10.621;08:02:10.621;1:03.635;0:37.076;0:29.910;200.4;Spencer Pumpelly;0:00:31.726;GTD;;Change Racing;Lamborghini;
16;0;2;1:35.159;0;;31.821;0;35.405;0;27.933;0;143.1;3:45.780;08:03:45.780;0:31.821;0:35.405;0:27.933;220.2;Spencer Pumpelly;;GTD;;Change Racing;Lamborghini;
16;0;3;1:34.395;0;;30.945;0;35.617;0;27.833;0;144.2;5:20.175;08:05:20.175;0:30.945;0:35.617;0:27.833;223.3;Spencer Pumpelly;;GTD;;Change Racing;Lamborghini;
16;0;4;1:33.427;0;;30.707;0;35.358;0;27.362;0;145.7;6:53.602;08:06:53.602;0:30.707;0:35.358;0:27.362;224.0;Spencer Pumpelly;;GTD;;Change Racing;Lamborghini;
