NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;1;1;1:41.789;0;;37.862;0;36.512;0;27.415;0;133.8;1:41.789;12:56:42.084;0:37.862;0:36.512;0:27.415;183.1;Jordan Taylor;0:00:05.373;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;1;2;1:28.919;0;;29.308;0;33.433;0;26.178;0;153.1;3:10.708;12:58:11.003;0:29.308;0:33.433;0:26.178;239.2;Jordan Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;1;3;1:26.881;0;;28.516;0;32.633;0;25.732;0;156.7;4:37.589;12:59:37.884;0:28.516;0:32.633;0:25.732;241.0;Jordan Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;1;4;1:30.387;0;;27.974;0;35.121;0;27.292;0;150.6;6:07.976;13:01:08.271;0:27.974;0:35.121;0:27.292;243.8;Jordan Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;1;5;10:15.162;0;;9:13.935;0;34.169;0;27.058;0;22.1;16:23.138;13:11:23.433;9:13.935;0:34.169;0:27.058;244.3;Jordan Taylor;0:07:11.606;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;1;6;1:28.335;0;;28.392;0;32.365;0;27.578;0;154.1;17:51.473;13:12:51.768;0:28.392;0:32.365;0:27.578;239.7;Jordan Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;1;7;1:26.088;0;;28.038;0;32.472;0;25.578;0;158.2;19:17.561;13:14:17.856;0:28.038;0:32.472;0:25.578;242.4;Jordan Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;1;8;1:25.611;0;;27.884;0;32.153;1;25.574;0;159.0;20:43.172;13:15:43.467;0:27.884;0:32.153;0:25.574;242.9;Jordan Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;1;9;1:25.499;0;;27.740;0;32.349;0;25.410;2;159.2;22:08.671;13:17:08.966;0:27.740;0:32.349;0:25.410;243.8;Jordan Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;1;10;1:36.259;0;B;27.836;0;32.410;0;36.013;0;141.4;23:44.930;13:18:45.225;0:27.836;0:32.410;0:36.013;243.8;Jordan Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;1;11;5:08.663;0;;4:09.178;0;33.408;0;26.077;0;44.1;28:53.593;13:23:53.888;4:09.178;0:33.408;0:26.077;236.1;Jordan Taylor;0:03:52.983;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;1;12;1:26.947;0;;27.836;0;32.344;0;26.767;0;156.6;30:20.540;13:25:20.835;0:27.836;0:32.344;0:26.767;242.4;Jordan Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;1;13;1:36.129;0;B;27.881;0;32.288;0;35.960;0;141.6;31:56.669;13:26:56.964;0:27.881;0:32.288;0:35.960;243.8;Jordan Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;1;14;3:31.239;0;;2:32.957;0;32.707;0;25.575;0;64.5;35:27.908;13:30:28.203;2:32.957;0:32.707;0:25.575;231.4;Jordan Taylor;0:02:15.139;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;1;15;1:27.359;0;;28.120;0;33.549;0;25.690;0;155.9;36:55.267;13:31:55.562;0:28.120;0:33.549;0:25.690;241.9;Jordan Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;1;16;1:43.197;0;;42.628;0;32.921;0;27.648;0;131.9;38:38.464;13:33:38.759;0:42.628;0:32.921;0:27.648;242.9;Jordan Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;1;17;1:37.551;0;B;27.558;1;32.217;0;37.776;0;139.6;40:16.015;13:35:16.310;0:27.558;0:32.217;0:37.776;242.4;Jordan Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;0;18;4:13.422;0;;3:13.236;0;33.497;0;26.689;0;53.7;44:29.437;13:39:29.732;3:13.236;0:33.497;0:26.689;236.5;Ricky Taylor;0:02:55.569;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;0;19;1:26.229;0;;28.041;0;32.192;0;25.996;0;157.9;45:55.666;13:40:55.961;0:28.041;0:32.192;0:25.996;241.9;Ricky Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;0;20;1:26.033;0;;27.897;0;32.552;0;25.584;0;158.3;47:21.699;13:42:21.994;0:27.897;0:32.552;0:25.584;242.9;Ricky Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;0;21;1:25.456;0;;27.771;0;32.190;0;25.495;0;159.3;48:47.155;13:43:47.450;0:27.771;0:32.190;0:25.495;242.4;Ricky Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;0;22;1:24.877;2;;27.518;2;31.862;0;25.497;0;160.4;50:12.032;13:45:12.327;0:27.518;0:31.862;0:25.497;242.9;Ricky Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;0;23;1:38.656;0;B;28.532;0;32.399;0;37.725;0;138.0;51:50.688;13:46:50.983;0:28.532;0:32.399;0:37.725;241.9;Ricky Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;0;24;5:55.574;0;;4:56.278;0;33.291;0;26.005;0;38.3;57:46.262;13:52:46.557;4:56.278;0:33.291;0:26.005;219.4;Ricky Taylor;0:04:37.955;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;0;25;1:25.370;0;;27.830;0;32.078;0;25.462;0;159.5;59:11.632;13:54:11.927;0:27.830;0:32.078;0:25.462;241.0;Ricky Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;0;26;1:26.102;0;;28.024;0;32.435;0;25.643;0;158.1;1:00:37.734;13:55:38.029;0:28.024;0:32.435;0:25.643;241.5;Ricky Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
