NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;46:53.993;0;;45:48.604;0;37.840;0;27.549;0;4.8;46:53.993;17:51:53.993;45:48.604;0:37.840;0:27.549;140.6;Ricky Taylor;0:45:12.081;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;0;2;1:28.358;0;;29.753;0;32.783;0;25.822;0;154.1;48:22.351;17:53:22.351;0:29.753;0:32.783;0:25.822;239.2;Ricky Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;0;3;1:28.727;0;;28.191;0;32.196;0;28.340;0;153.4;49:51.078;17:54:51.078;0:28.191;0:32.196;0:28.340;242.9;Ricky Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;0;4;1:24.917;0;;27.772;0;31.914;0;25.231;0;160.3;51:15.995;17:56:15.995;0:27.772;0:31.914;0:25.231;243.3;Ricky Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;0;5;1:25.684;0;;27.457;0;32.027;0;26.200;0;158.9;52:41.679;17:57:41.679;0:27.457;0:32.027;0:26.200;243.8;Ricky Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;0;6;1:24.253;2;;27.393;0;31.810;2;25.050;2;161.6;54:05.932;17:59:05.932;0:27.393;0:31.810;0:25.050;244.7;Ricky Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;0;7;1:26.687;0;;27.279;2;32.202;0;27.206;0;157.1;55:32.619;18:00:32.619;0:27.279;0:32.202;0:27.206;243.8;Ricky Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;0;8;1:30.851;0;;30.502;0;34.102;0;26.247;0;149.9;57:03.470;18:02:03.470;0:30.502;0:34.102;0:26.247;223.3;Ricky Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;0;9;1:24.726;0;;27.511;0;31.895;0;25.320;0;160.7;58:28.196;18:03:28.196;0:27.511;0:31.895;0:25.320;246.2;Ricky Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;0;10;1:24.743;0;;27.303;0;31.960;0;25.480;0;160.7;59:52.939;18:04:52.939;0:27.303;0:31.960;0:25.480;245.7;Ricky Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
10;0;11;1:40.878;0;B;27.408;0;32.106;0;41.364;0;135.0;1:01:33.817;18:06:33.817;0:27.408;0:32.106;0:41.364;244.7;Ricky Taylor;;P;;Konica Minolta Corvette DP for Wayne Taylor Racing;Chevrolet;
16;0;1;3:00.344;0;;1:47.694;0;38.208;0;34.442;0;75.5;3:00.344;17:08:00.344;1:47.694;0:38.208;0:34.442;212.1;Spencer Pumpelly;0:01:15.283;GTD;;Change Racing;Lamborghini;
16;0;2;1:38.628;0;;33.620;0;36.852;0;28.156;0;138.0;4:38.972;17:09:38.972;0:33.620;0:36.852;0:28.156;181.5;Spencer Pumpelly;;GTD;;Change Racing;Lamborghini;
16;0;3;1:33.636;0;;30.752;0;35.266;0;27.618;0;145.4;6:12.608;17:11:12.608;0:30.752;0:35.266;0:27.618;222.1;Spencer Pumpelly;;GTD;;Change Racing;Lamborghini;
16;0;4;1:33.845;0;;30.891;0;35.528;0;27.426;0;145.1;7:46.453;17:12:46.453;0:30.891;0:35.528;0:27.426;223.3;Spencer Pumpelly;;GTD;;Change Racing;Lamborghini;
16;0;5;1:32.897;0;;30.360;0;34.967;0;27.570;0;146.6;9:19.350;17:14:19.350;0:30.360;0:34.967;0:27.570;223.3;Spencer Pumpelly;;GTD;;Change Racing;Lamborghini;
16;0;6;1:32.078;0;;30.236;0;34.583;0;27.259;2;147.9;10:51.428;17:15:51.428;0:30.236;0:34.583;0:27.259;224.8;Spencer Pumpelly;;GTD;;Change Racing;Lamborghini;
16;0;7;1:31.917;2;;30.130;2;34.480;2;27.307;0;148.1;12:23.345;17:17:23.345;0:30.130;0:34.480;0:27.307;224.4;Spencer Pumpelly;;GTD;;Change Racing;Lamborghini;
16;0;8;1:34.245;0;;30.266;0;34.481;0;29.498;0;144.5;13:57.590;17:18:57.590;0:30.266;0:34.481;0:29.498;224.4;Spencer Pumpelly;;GTD;;Change Racing;Lamborghini;
20;1;1;22:16.121;0;;20:57.677;0;40.329;0;38.115;0;10.2;22:16.121;17:27:16.121;20:57.677;0:40.329;0:38.115;176.3;Tomy Drissi;0:20:23.387;PC;;BAR1 Motorsports;Chevrolet;
