NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
0;0;1;1:20.141;0;;26.654;0;34.570;0;18.917;0;177.8;1:20.141;11:07:34.128;0:26.654;0:34.570;0:18.917;263.6;Katherine Legge;;P;;Panoz DeltaWing Racing;DeltaWing;
0;0;2;1:15.083;0;;23.065;0;33.506;0;18.512;0;189.7;2:35.224;11:08:49.211;0:23.065;0:33.506;0:18.512;274.1;Katherine Legge;;P;;Panoz DeltaWing Racing;DeltaWing;
0;0;3;1:13.801;0;;22.449;0;33.248;0;18.104;0;193.0;3:49.025;11:10:03.012;0:22.449;0:33.248;0:18.104;272.7;Katherine Legge;;P;;Panoz DeltaWing Racing;DeltaWing;
0;0;4;1:14.234;0;;22.526;0;33.529;0;18.179;0;191.9;5:03.259;11:11:17.246;0:22.526;0:33.529;0:18.179;274.1;Katherine Legge;;P;;Panoz DeltaWing Racing;DeltaWing;
0;0;5;1:13.375;0;;22.259;0;33.125;0;17.991;0;194.2;6:16.634;11:12:30.621;0:22.259;0:33.125;0:17.991;274.1;Katherine Legge;;P;;Panoz DeltaWing Racing;DeltaWing;
0;0;6;1:13.954;0;;22.519;0;33.245;0;18.190;0;192.6;7:30.588;11:13:44.575;0:22.519;0:33.245;0:18.190;274.8;Katherine Legge;;P;;Panoz DeltaWing Racing;DeltaWing;
0;0;7;1:13.969;0;;22.506;0;33.222;0;18.241;0;192.6;8:44.557;11:14:58.544;0:22.506;0:33.222;0:18.241;274.8;Katherine Legge;;P;;Panoz DeltaWing Racing;DeltaWing;
0;0;8;1:13.449;0;;22.086;0;33.368;0;17.995;0;194.0;9:58.006;11:16:11.993;0:22.086;0:33.368;0:17.995;276.2;Katherine Legge;;P;;Panoz DeltaWing Racing;DeltaWing;
0;0;9;1:16.115;0;;22.456;0;35.481;0;18.178;0;187.2;11:14.121;11:17:28.108;0:22.456;0:35.481;0:18.178;275.5;Katherine Legge;;P;;Panoz DeltaWing Racing;DeltaWing;
0;0;10;1:15.019;0;;22.627;0;34.056;0;18.336;0;189.9;12:29.140;11:18:43.127;0:22.627;0:34.056;0:18.336;272.1;Katherine Legge;;P;;Panoz DeltaWing Racing;DeltaWing;
0;0;11;1:15.941;0;;23.973;0;33.329;0;18.639;0;187.6;13:45.081;11:19:59.068;0:23.973;0:33.329;0:18.639;277.6;Katherine Legge;;P;;Panoz DeltaWing Racing;DeltaWing;
0;0;12;1:15.966;0;;22.497;0;34.272;0;19.197;0;187.5;15:01.047;11:21:15.034;0:22.497;0:34.272;0:19.197;259.8;Katherine Legge;;P;;Panoz DeltaWing Racing;DeltaWing;
0;0;13;1:14.515;0;;23.091;0;33.466;0;17.958;0;191.2;16:15.562;11:22:29.549;0:23.091;0:33.466;0:17.958;274.8;Katherine Legge;;P;;Panoz DeltaWing Racing;DeltaWing;
0;0;14;1:15.000;0;;22.680;0;33.340;0;18.980;0;190.0;17:30.562;11:23:44.549;0:22.680;0:33.340;0:18.980;276.9;Katherine Legge;;P;;Panoz DeltaWing Racing;DeltaWing;
0;0;15;1:14.080;0;;22.209;0;33.792;0;18.079;0;192.3;18:44.642;11:24:58.629;0:22.209;0:33.792;0:18.079;274.8;Katherine Legge;;P;;Panoz DeltaWing Racing;DeltaWing;
0;0;16;1:13.421;0;;22.030;0;33.286;0;18.105;0;194.0;19:58.063;11:26:12.050;0:22.030;0:33.286;0:18.105;276.2;Katherine Legge;;P;;Panoz DeltaWing Racing;DeltaWing;
0;0;17;1:13.784;0;;22.196;0;33.354;0;18.234;0;193.1;21:11.847;11:27:25.834;0:22.196;0:33.354;0:18.234;278.3;Katherine Legge;;P;;Panoz DeltaWing Racing;DeltaWing;
0;0;18;1:14.193;0;;22.321;0;33.274;0;18.598;0;192.0;22:26.040;11:28:40.027;0:22.321;0:33.274;0:18.598;257.4;Katherine Legge;;P;;Panoz DeltaWing Racing;DeltaWing;
0;0;19;1:13.767;0;;22.244;0;32.913;2;18.610;0;193.1;23:39.807;11:29:53.794;0:22.244;0:32.913;0:18.610;278.3;Katherine Legge;;P;;Panoz DeltaWing Racing;DeltaWing;
0;0;20;1:14.349;0;;22.593;0;33.543;0;18.213;0;191.6;24:54.156;11:31:08.143;0:22.593;0:33.543;0:18.213;277.6;Katherine Legge;;P;;Panoz DeltaWing Racing;DeltaWing;
0;0;21;1:14.070;0;;22.099;0;33.175;0;18.796;0;192.3;26:08.226;11:32:22.213;0:22.099;0:33.175;0:18.796;279.7;Katherine Legge;;P;;Panoz DeltaWing Racing;DeltaWing;
0;0;22;1:14.550;0;;22.288;0;33.228;0;19.034;0;191.1;27:22.776;11:33:36.763;0:22.288;0:33.228;0:19.034;279.7;Katherine Legge;;P;;Panoz DeltaWing Racing;DeltaWing;
0;0;23;1:15.277;0;;22.781;0;33.543;0;18.953;0;189.3;28:38.053;11:34:52.040;0:22.781;0:33.543;0:18.953;260.5;Katherine Legge;;P;;Panoz DeltaWing Racing;DeltaWing;
