NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
0;0;1;30:24.601;0;B;1:53.921;0;56.116;0;27:34.564;0;10.8;30:24.601;10:55:24.601;1:53.921;0:56.116;27:34.564;173.1;Katherine Legge;0:00:54.480;P;;Panoz DeltaWing Racing;DeltaWing;
0;0;2;2:26.730;0;;57.367;0;53.829;0;35.534;0;134.2;32:51.331;10:57:51.331;0:57.367;0:53.829;0:35.534;145.5;Katherine Legge;0:27:10.898;P;;Panoz DeltaWing Racing;DeltaWing;
0;0;3;2:27.905;0;B;46.448;0;49.939;0;51.518;0;133.2;35:19.236;11:00:19.236;0:46.448;0:49.939;0:51.518;219.5;Katherine Legge;;P;;Panoz DeltaWing Racing;DeltaWing;
0;0;4;2:13.347;0;;54.427;0;46.712;0;32.208;0;147.7;37:32.583;11:02:32.583;0:54.427;0:46.712;0:32.208;260.2;Katherine Legge;0:00:31.784;P;;Panoz DeltaWing Racing;DeltaWing;
0;0;5;2:05.060;0;;46.387;0;46.460;0;32.213;0;157.5;39:37.643;11:04:37.643;0:46.387;0:46.460;0:32.213;272.0;Katherine Legge;;P;;Panoz DeltaWing Racing;DeltaWing;
0;0;6;2:01.689;2;;44.095;2;45.887;0;31.707;0;161.9;41:39.332;11:06:39.332;0:44.095;0:45.887;0:31.707;276.2;Katherine Legge;;P;;Panoz DeltaWing Racing;DeltaWing;
0;0;7;2:03.710;0;;45.981;0;46.098;0;31.631;2;159.2;43:43.042;11:08:43.042;0:45.981;0:46.098;0:31.631;274.8;Katherine Legge;;P;;Panoz DeltaWing Racing;DeltaWing;
0;0;8;5:47.878;0;B;45.963;0;46.740;0;4:15.175;0;56.6;49:30.920;11:14:30.920;0:45.963;0:46.740;4:15.175;255.3;Katherine Legge;;P;;Panoz DeltaWing Racing;DeltaWing;
0;0;9;2:11.192;0;;53.801;0;45.662;2;31.729;0;150.1;51:42.112;11:16:42.112;0:53.801;0:45.662;0:31.729;271.3;Katherine Legge;0:03:53.870;P;;Panoz DeltaWing Racing;DeltaWing;
0;0;10;2:02.417;0;;44.749;0;45.908;0;31.760;0;160.9;53:44.529;11:18:44.529;0:44.749;0:45.908;0:31.760;263.4;Katherine Legge;;P;;Panoz DeltaWing Racing;DeltaWing;
0;0;11;2:03.451;0;;44.607;0;45.847;0;32.997;0;159.6;55:47.980;11:20:47.980;0:44.607;0:45.847;0:32.997;275.5;Katherine Legge;;P;;Panoz DeltaWing Racing;DeltaWing;
