NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
0;1;1;1:18:55.610;0;;1:17:22.069;0;59.498;0;34.043;0;4.2;1:18:55.610;17:03:55.610;1:17:22.069;0:59.498;0:34.043;180.6;Sean Rayhall;1:16:30.004;P;;Panoz DeltaWing Racing;DeltaWing;
0;1;2;2:03.544;0;;45.578;0;46.665;0;31.301;0;159.4;1:20:59.154;17:05:59.154;0:45.578;0:46.665;0:31.301;251.7;Sean Rayhall;;P;;Panoz DeltaWing Racing;DeltaWing;
0;1;3;2:00.030;2;;43.412;2;45.454;0;31.164;2;164.1;1:22:59.184;17:07:59.184;0:43.412;0:45.454;0:31.164;276.9;Sean Rayhall;;P;;Panoz DeltaWing Racing;DeltaWing;
0;1;4;2:00.103;0;;43.485;0;45.428;2;31.190;0;164.0;1:24:59.287;17:09:59.287;0:43.485;0:45.428;0:31.190;277.6;Sean Rayhall;;P;;Panoz DeltaWing Racing;DeltaWing;
0;1;5;7:57.293;0;B;43.644;0;45.915;0;6:27.734;0;41.3;1:32:56.580;17:17:56.580;0:43.644;0:45.915;6:27.734;276.9;Sean Rayhall;;P;;Panoz DeltaWing Racing;DeltaWing;
007;0;1;3:40.811;0;;2:08.814;0;54.292;0;37.705;0;89.2;3:40.811;15:48:40.811;2:08.814;0:54.292;0:37.705;212.2;David Calvert-Jones;0:01:11.177;GTD;;TRG-AMR;Aston Martin;
007;0;2;2:14.370;0;;48.977;0;50.379;0;35.014;0;146.6;5:55.181;15:50:55.181;0:48.977;0:50.379;0:35.014;247.7;David Calvert-Jones;;GTD;;TRG-AMR;Aston Martin;
007;0;3;2:12.394;0;;48.133;0;49.460;2;34.801;0;148.8;8:07.575;15:53:07.575;0:48.133;0:49.460;0:34.801;251.7;David Calvert-Jones;;GTD;;TRG-AMR;Aston Martin;
007;0;4;2:21.573;0;;51.980;0;52.636;0;36.957;0;139.1;10:29.148;15:55:29.148;0:51.980;0:52.636;0:36.957;216.8;David Calvert-Jones;;GTD;;TRG-AMR;Aston Martin;
007;0;5;2:12.181;2;;47.698;2;49.855;0;34.628;0;149.0;12:41.329;15:57:41.329;0:47.698;0:49.855;0:34.628;254.1;David Calvert-Jones;;GTD;;TRG-AMR;Aston Martin;
