NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
0;1;1;2:06.401;0;;47.943;0;46.400;0;32.058;0;155.8;2:06.401;11:38:05.096;0:47.943;0:46.400;0:32.058;272.7;Sean Rayhall;;P;;Panoz DeltaWing Racing;DeltaWing;
0;1;2;2:02.021;0;;44.567;0;45.927;0;31.527;0;161.4;4:08.422;11:40:07.117;0:44.567;0:45.927;0:31.527;259.6;Sean Rayhall;;P;;Panoz DeltaWing Racing;DeltaWing;
0;1;3;2:02.039;0;;44.457;0;45.934;0;31.648;0;161.4;6:10.461;11:42:09.156;0:44.457;0:45.934;0:31.648;279.0;Sean Rayhall;;P;;Panoz DeltaWing Racing;DeltaWing;
0;1;4;2:01.468;0;;44.283;0;45.704;0;31.481;0;162.2;8:11.929;11:44:10.624;0:44.283;0:45.704;0:31.481;278.3;Sean Rayhall;;P;;Panoz DeltaWing Racing;DeltaWing;
0;1;5;2:01.384;0;;44.434;0;45.680;0;31.270;2;162.3;10:13.313;11:46:12.008;0:44.434;0:45.680;0:31.270;278.3;Sean Rayhall;;P;;Panoz DeltaWing Racing;DeltaWing;
0;1;6;2:01.695;0;;44.590;0;45.663;1;31.442;0;161.9;12:15.008;11:48:13.703;0:44.590;0:45.663;0:31.442;274.8;Sean Rayhall;;P;;Panoz DeltaWing Racing;DeltaWing;
0;1;7;2:01.781;0;;44.267;0;45.898;0;31.616;0;161.8;14:16.789;11:50:15.484;0:44.267;0:45.898;0:31.616;277.6;Sean Rayhall;;P;;Panoz DeltaWing Racing;DeltaWing;
0;1;8;2:02.024;0;;44.512;0;46.005;0;31.507;0;161.4;16:18.813;11:52:17.508;0:44.512;0:46.005;0:31.507;276.2;Sean Rayhall;;P;;Panoz DeltaWing Racing;DeltaWing;
0;1;9;2:01.685;0;;43.961;2;46.102;0;31.622;0;161.9;18:20.498;11:54:19.193;0:43.961;0:46.102;0:31.622;274.8;Sean Rayhall;;P;;Panoz DeltaWing Racing;DeltaWing;
0;1;10;2:03.532;0;;44.784;0;46.693;0;32.055;0;159.5;20:24.030;11:56:22.725;0:44.784;0:46.693;0:32.055;275.5;Sean Rayhall;;P;;Panoz DeltaWing Racing;DeltaWing;
0;1;11;2:03.723;0;;45.011;0;46.701;0;32.011;0;159.2;22:27.753;11:58:26.448;0:45.011;0:46.701;0:32.011;279.0;Sean Rayhall;;P;;Panoz DeltaWing Racing;DeltaWing;
0;1;12;2:04.134;0;;44.802;0;46.679;0;32.653;0;158.7;24:31.887;12:00:30.582;0:44.802;0:46.679;0:32.653;268.0;Sean Rayhall;;P;;Panoz DeltaWing Racing;DeltaWing;
0;1;13;2:02.695;0;;44.310;0;46.282;0;32.103;0;160.5;26:34.582;12:02:33.277;0:44.310;0:46.282;0:32.103;262.1;Sean Rayhall;;P;;Panoz DeltaWing Racing;DeltaWing;
0;1;14;2:02.567;0;;44.626;0;46.058;0;31.883;0;160.7;28:37.149;12:04:35.844;0:44.626;0:46.058;0:31.883;279.0;Sean Rayhall;;P;;Panoz DeltaWing Racing;DeltaWing;
0;1;15;2:03.201;0;;45.339;0;46.091;0;31.771;0;159.9;30:40.350;12:06:39.045;0:45.339;0:46.091;0:31.771;274.8;Sean Rayhall;;P;;Panoz DeltaWing Racing;DeltaWing;
0;1;16;2:04.584;0;;46.534;0;46.227;0;31.823;0;158.1;32:44.934;12:08:43.629;0:46.534;0:46.227;0:31.823;278.3;Sean Rayhall;;P;;Panoz DeltaWing Racing;DeltaWing;
0;1;17;2:03.302;0;;44.865;0;46.591;0;31.846;0;159.8;34:48.236;12:10:46.931;0:44.865;0:46.591;0:31.846;274.8;Sean Rayhall;;P;;Panoz DeltaWing Racing;DeltaWing;
0;1;18;2:14.004;0;;49.355;0;50.685;0;33.964;0;147.0;37:02.240;12:13:00.935;0:49.355;0:50.685;0:33.964;208.5;Sean Rayhall;;P;;Panoz DeltaWing Racing;DeltaWing;
